stage_index,label,E_el,E_d,E_hist,log10_E_total,grad_logEel,grad_logEd,grad_logEhist,alpha_max,psi_raw_max,psi_active_max
0,initial_joint,0.004915300291031599,0.00546076288446784,2.3400720237987116e-05,-1.9829890727996826,0.0,0.0,0.0,1.0005369186401367,2703.6845703125,0.923909068107605
0,initial_uv,0.022332753986120224,0.005085140001028776,0.0,-1.5619659423828125,0.0,0.0,0.0,0.9366666674613953,2703.6845703125,43.38181686401367
1,r1_uv,0.007522035390138626,0.005085140001028776,0.0,-1.8993821144104004,0.2311512529850006,0.0,0.0,0.9366666674613953,56.13855743408203,0.9001356363296509
2,r1_alpha,0.007021630182862282,0.0054220580495893955,8.497278031427413e-06,-1.904754400253296,0.8800593018531799,2.7091407775878906,999.8212890625,1.0004876852035522,56.13855743408203,0.2230508178472519
3,r2_uv,0.005489064380526543,0.0054220580495893955,8.497278031427413e-06,-1.9617925882339478,0.00801901239901781,0.0,0.0,1.0004876852035522,1423.3768310546875,7.035637855529785
4,r2_alpha,0.005024455953389406,0.005473994184285402,1.0020119589171372e-05,-1.978460431098938,1.174130916595459,2.928410291671753,842.2623901367188,1.0004923343658447,1423.3768310546875,0.2914975583553314
5,r3_uv,0.004863083362579346,0.005473994184285402,1.0020119589171372e-05,-1.985181450843811,0.023125097155570984,0.0,0.0,1.0004923343658447,2544.619873046875,0.4505613446235657
6,r3_alpha,0.004851474426686764,0.005481655243784189,8.060268555709627e-06,-1.9854296445846558,1.1220595836639404,2.3960399627685547,1025.4591064453125,1.000614881515503,2544.619873046875,0.3560222387313843
7,r4_uv,0.004847624804824591,0.005481655243784189,8.060268555709627e-06,-1.9855912923812866,0.004816278349608183,0.0,0.0,1.000614881515503,2610.966552734375,0.3627706468105316
8,r4_alpha,0.004846249241381884,0.005482060834765434,7.6210571933188476e-06,-1.9856505393981934,1.084238886833191,2.416700601577759,1054.1776123046875,1.0006296634674072,2610.966552734375,0.34763261675834656
9,r5_uv,0.00484495609998703,0.005482060834765434,7.6210571933188476e-06,-1.985704779624939,0.0029164194129407406,0.0,0.0,1.0006296634674072,2631.53271484375,0.3489045798778534
10,r5_alpha,0.004844898823648691,0.005481666885316372,7.489436029572971e-06,-1.9857292175292969,1.0703964233398438,2.3920421600341797,1069.2039794921875,1.0006364583969116,2631.53271484375,0.35254400968551636
11,r6_uv,0.004844282288104296,0.005481666885316372,7.489436029572971e-06,-1.9857550859451294,0.004173255525529385,0.0,0.0,1.0006364583969116,2642.22021484375,0.35232046246528625
12,r6_alpha,0.004844458773732185,0.005481281317770481,7.4177837632305454e-06,-1.985766887664795,1.0629819631576538,2.3892037868499756,1094.288818359375,1.000637173652649,2642.22021484375,0.3573503792285919
