stage_index,label,E_el,E_d,E_hist,log10_E_total,grad_logEel,grad_logEd,grad_logEhist,alpha_max,psi_raw_max,psi_active_max,branch
0,initial_joint,0.0049153002910315,0.0054607628844678,2.3400720237987116e-05,-1.9829890727996824,0.0,0.0,0.0,1.0005369186401367,2703.6845703125,0.923909068107605,baseline_r3_a2000
0,initial_uv,0.0223327539861202,0.0050851400010287,0.0,-1.5619659423828125,0.0,0.0,0.0,0.9366666674613952,2703.6845703125,43.38181686401367,baseline_r3_a2000
1,r1_uv,0.0074627781286835,0.0050851400010287,0.0,-1.9014283418655396,0.0650392025709152,0.0,0.0,0.9366666674613952,53.94855499267578,0.8650023937225342,baseline_r3_a2000
2,r1_alpha,0.0070328274741768,0.0052549364045262,1.070742837327998e-05,-1.910148859024048,1.584963321685791,3.931695938110352,898.6513061523438,0.9850802421569824,53.94855499267578,0.2615018784999847,baseline_r3_a2000
3,r2_uv,0.0063139176927506,0.0052549364045262,1.070742837327998e-05,-1.936307907104492,0.0101993214339017,0.0,0.0,0.9850802421569824,571.6273193359375,3.411724090576172,baseline_r3_a2000
4,r2_alpha,0.0056173345074057,0.0054487362504005,9.025468898471445e-06,-1.9556525945663452,1.778754711151123,3.3694186210632324,938.2127685546876,1.0004098415374756,571.6273193359375,0.2594282925128937,baseline_r3_a2000
5,r3_uv,0.0049518980085849,0.0054487362504005,9.025468898471445e-06,-1.9825634956359863,0.0041461423970758,0.0,0.0,1.0004098415374756,2409.91943359375,0.9815862774848938,baseline_r3_a2000
6,r3_alpha,0.0048539596609771,0.0054796999320387,7.632030246895738e-06,-1.9854252338409424,1.1224058866500854,2.4698591232299805,1071.6605224609375,1.00060772895813,2409.91943359375,0.3176754117012024,baseline_r3_a2000
0,initial_joint,0.0049153002910315,0.0054607628844678,2.3400720237987116e-05,-1.9829890727996824,0.0,0.0,0.0,1.0005369186401367,2703.6845703125,0.923909068107605,shortAlpha_a200
0,initial_uv,0.0223327539861202,0.0050851400010287,0.0,-1.5619659423828125,0.0,0.0,0.0,0.9366666674613952,2703.6845703125,43.38181686401367,shortAlpha_a200
1,r1_uv,0.0074627781286835,0.0050851400010287,0.0,-1.9014283418655396,0.0650392025709152,0.0,0.0,0.9366666674613952,53.94855499267578,0.8650023937225342,shortAlpha_a200
2,r1_alpha,0.0070284348912537,0.0052796541713178,1.898837217595428e-05,-1.90913987159729,1.507190823554993,4.263411521911621,635.2847900390625,0.993125855922699,53.94855499267578,0.2657176256179809,shortAlpha_a200
3,r2_uv,0.006147866602987,0.0052796541713178,1.898837217595428e-05,-1.9413269758224487,0.0023800616618245,0.0,0.0,0.993125855922699,694.0836181640625,4.36444091796875,shortAlpha_a200
4,r2_alpha,0.0054482435807585,0.0054651303216814,7.565807209175546e-06,-1.961740016937256,1.2786619663238523,2.61147403717041,997.3220825195312,1.0004329681396484,694.0836181640625,0.2208436429500579,shortAlpha_a200
5,r3_uv,0.0048874304629862,0.0054651303216814,7.565807209175546e-06,-1.9846349954605105,0.0048429425805807,0.0,0.0,1.0004329681396484,2519.082763671875,0.620026707649231,shortAlpha_a200
6,r3_alpha,0.0048482855781912,0.0054823253303766,7.708876182732638e-06,-1.9855501651763916,1.1369415521621704,2.5018935203552246,1051.223876953125,1.0006035566329956,2519.082763671875,0.3164796531200409,shortAlpha_a200
0,initial_joint,0.0049153002910315,0.0054607628844678,2.3400720237987116e-05,-1.9829890727996824,0.0,0.0,0.0,1.0005369186401367,2703.6845703125,0.923909068107605,shortAlpha_a500
0,initial_uv,0.0223327539861202,0.0050851400010287,0.0,-1.5619659423828125,0.0,0.0,0.0,0.9366666674613952,2703.6845703125,43.38181686401367,shortAlpha_a500
1,r1_uv,0.0074627781286835,0.0050851400010287,0.0,-1.9014283418655396,0.0650392025709152,0.0,0.0,0.9366666674613952,53.94855499267578,0.8650023937225342,shortAlpha_a500
2,r1_alpha,0.0070312581956386,0.0052602253854274,1.1562708095880224e-05,-1.9099873304367063,1.5657647848129272,3.8984224796295166,852.4314575195312,0.9885775446891784,53.94855499267578,0.2558115124702453,shortAlpha_a500
3,r2_uv,0.0062921661883592,0.0052602253854274,1.1562708095880224e-05,-1.9368935823440552,0.0074081439524888,0.0,0.0,0.9885775446891784,594.8103637695312,3.455322265625,shortAlpha_a500
4,r2_alpha,0.0055948034860193,0.0054520228877663,9.041172233992256e-06,-1.9564073085784912,1.7485098838806152,3.411367416381836,948.6571044921876,1.000402808189392,594.8103637695312,0.2791631817817688,shortAlpha_a500
5,r3_uv,0.0049470788799226,0.0054520228877663,9.041172233992256e-06,-1.9826269149780271,0.003234785515815,0.0,0.0,1.000402808189392,2422.880126953125,1.0507358312606812,shortAlpha_a500
6,r3_alpha,0.0048531414940953,0.0054803090170025,8.09974972071359e-06,-1.9854145050048828,1.1331104040145874,2.423936367034912,1024.3841552734375,1.0006041526794434,2422.880126953125,0.3101548552513122,shortAlpha_a500
0,initial_joint,0.0049153002910315,0.0054607628844678,2.3400720237987116e-05,-1.9829890727996824,0.0,0.0,0.0,1.0005369186401367,2703.6845703125,0.923909068107605,smallStagger_r6
0,initial_uv,0.0223327539861202,0.0050851400010287,0.0,-1.5619659423828125,0.0,0.0,0.0,0.9366666674613952,2703.6845703125,43.38181686401367,smallStagger_r6
1,r1_uv,0.0075220353901386,0.0050851400010287,0.0,-1.8993821144104004,0.2311512529850006,0.0,0.0,0.9366666674613952,56.13855743408203,0.9001356363296509,smallStagger_r6
2,r1_alpha,0.0070208106189966,0.0054215216077864,8.836484994390048e-06,-1.9047900438308716,0.8822805881500244,2.7059807777404785,980.309814453125,1.0004730224609375,56.13855743408203,0.226522147655487,smallStagger_r6
3,r2_uv,0.0055002295412123,0.0054215216077864,8.836484994390048e-06,-1.961356520652771,0.0136588746681809,0.0,0.0,1.0004730224609375,1401.7572021484375,7.058354377746582,smallStagger_r6
