branch,selected_state,field,metric,PIDL,FEM22_projected,PIDL_over_FEM
baseline_r3_a2000,r3_uv,alpha,tip_2l0_mean,0.31867603731306293,0.314738863189609,1.0125093357825408
baseline_r3_a2000,r3_uv,alpha,p99,0.9323023051023481,0.9870517235994317,0.9445323713154244
baseline_r3_a2000,r3_uv,alpha,p999,1.000243068099022,0.9968556761741638,1.0033980765780044
baseline_r3_a2000,r3_uv,alpha,max,1.0004098415374756,0.9969969987869263,1.0034231223912427
baseline_r3_a2000,r3_uv,eps_eq,tip_2l0_mean,0.892152541045901,0.8817975951126987,1.0117429963413302
baseline_r3_a2000,r3_uv,eps_eq,p99,0.5412003403902048,15.26583920748479,0.0354517254527911
baseline_r3_a2000,r3_uv,eps_eq,p999,56.562381771087644,31.141321869303304,1.816312808058493
baseline_r3_a2000,r3_uv,eps_eq,max,59.83981704711914,34.033600800343166,1.758257006014943
baseline_r3_a2000,r3_uv,psi_raw,tip_2l0_mean,3.3151201667449968,2.8790210039561908,1.1514748111213995
baseline_r3_a2000,r3_uv,psi_raw,p99,0.18249239683151205,156.2744430541712,0.0011677686591930621
baseline_r3_a2000,r3_uv,psi_raw,p999,2153.0573879394533,651.2774658203125,3.305898792656035
baseline_r3_a2000,r3_uv,psi_raw,max,2409.91943359375,685.90625,3.513482248621805
baseline_r3_a2000,r3_uv,g_alpha,tip_2l0_mean,0.54753851156383,0.5569531401259017,0.9830961926887719
baseline_r3_a2000,r3_uv,g_alpha,p99,1.0001783394813537,1.0000028610229492,1.000175477956358
baseline_r3_a2000,r3_uv,g_alpha,p999,1.000235557794571,1.0000030994415283,1.0002324576325539
baseline_r3_a2000,r3_uv,g_alpha,max,1.0002706050872803,1.000003457069397,1.0002671470943372
baseline_r3_a2000,r3_uv,psi_active,tip_2l0_mean,0.05757906448372776,0.05526433389245597,1.0418847098704969
baseline_r3_a2000,r3_uv,psi_active,p99,0.03546125978231419,0.033885182105004706,1.0465122976888679
baseline_r3_a2000,r3_uv,psi_active,p999,0.23056839948893082,0.10800871253013611,2.1347203766047915
baseline_r3_a2000,r3_uv,psi_active,max,0.9815862774848938,0.2543211281299591,3.859633231035761
shortAlpha_a200,r3_uv,alpha,tip_2l0_mean,0.3195049283669413,0.314738863189609,1.01514291920938
shortAlpha_a200,r3_uv,alpha,p99,0.9341196501255034,0.9870517235994317,0.946373556513428
shortAlpha_a200,r3_uv,alpha,p999,1.000314713716507,0.9968556761741638,1.0034699481830895
shortAlpha_a200,r3_uv,alpha,max,1.0004329681396484,0.9969969987869263,1.003446318651814
shortAlpha_a200,r3_uv,eps_eq,tip_2l0_mean,0.9120328698036132,0.8817975951126987,1.0342882253915087
shortAlpha_a200,r3_uv,eps_eq,p99,0.4415518903732248,15.26583920748479,0.028924180608212707
shortAlpha_a200,r3_uv,eps_eq,p999,57.80050280380249,31.141321869303304,1.856070947995876
shortAlpha_a200,r3_uv,eps_eq,max,61.17957305908203,34.033600800343166,1.797622691116044
shortAlpha_a200,r3_uv,psi_raw,tip_2l0_mean,3.4824415665362847,2.8790210039561908,1.2095922752042818
shortAlpha_a200,r3_uv,psi_raw,p99,0.1196725904941553,156.2744430541712,0.0007657847832013826
shortAlpha_a200,r3_uv,psi_raw,p999,2248.388946044922,651.2774658203125,3.4522750502552357
shortAlpha_a200,r3_uv,psi_raw,max,2519.082763671875,685.90625,3.6726342173903137
shortAlpha_a200,r3_uv,g_alpha,tip_2l0_mean,0.5464070548890659,0.5569531401259017,0.9810646812504698
shortAlpha_a200,r3_uv,g_alpha,p99,1.0001873970031738,1.0000028610229492,1.0001845354522645
shortAlpha_a200,r3_uv,g_alpha,p999,1.0002555849552155,1.0000030994415283,1.0002524847311256
shortAlpha_a200,r3_uv,g_alpha,max,1.0002925395965576,1.000003457069397,1.0002890815277858
shortAlpha_a200,r3_uv,psi_active,tip_2l0_mean,0.059081037230504375,0.05526433389245597,1.0690626859897685
shortAlpha_a200,r3_uv,psi_active,p99,0.035142937377095125,0.033885182105004706,1.0371181499982156
shortAlpha_a200,r3_uv,psi_active,p999,0.16443125651776905,0.10800871253013611,1.5223888209193326
shortAlpha_a200,r3_uv,psi_active,max,0.620026707649231,0.2543211281299591,2.437967746558575
shortAlpha_a500,r3_uv,alpha,tip_2l0_mean,0.31720605661762474,0.314738863189609,1.0078388585477271
shortAlpha_a500,r3_uv,alpha,p99,0.9320259743928904,0.9870517235994317,0.9442524156627965
shortAlpha_a500,r3_uv,alpha,p999,1.0002498631477357,0.9968556761741638,1.0034048930599446
shortAlpha_a500,r3_uv,alpha,max,1.000402808189392,0.9969969987869263,1.0034160678583885
shortAlpha_a500,r3_uv,eps_eq,tip_2l0_mean,0.8927933934109309,0.8817975951126987,1.0124697531034057
shortAlpha_a500,r3_uv,eps_eq,p99,0.5245113629102686,15.26583920748479,0.03435850173589555
