branch,selected_uv,psi_raw_max,psi_active_max,alpha_max_after_alpha,grad_logEhist_after_alpha,eps_eq_tip2_ratio,psi_raw_max_ratio,psi_active_tip2_ratio,alpha_max_ratio
baseline_r3_a2000,r3_uv,2409.91943359375,0.9815862774848938,1.00060772895813,1071.6605224609375,1.0117429963413302,3.513482248621805,1.0418847098704969,1.0034231223912427
shortAlpha_a200,r3_uv,2519.082763671875,0.620026707649231,1.0006035566329956,1051.223876953125,1.0342882253915087,3.6726342173903137,1.0690626859897685,1.003446318651814
shortAlpha_a500,r3_uv,2422.880126953125,1.0507358312606812,1.0006041526794434,1024.3841552734375,1.0124697531034057,3.532377969953073,1.0463430951710189,1.0034160678583885
smallStagger_r6,r6_uv,2643.45654296875,0.3502680659294128,1.000631332397461,1149.3824462890625,1.0514239053045096,3.8539618832293043,1.0483580274068949,1.0036428890249045
alphaLR1e6_r6,r6_uv,2642.22021484375,0.3523204624652862,1.000637173652649,1094.288818359375,1.0507007605218799,3.852159409312497,1.0520385991595795,1.0036504218311726
