label,field,metric,PIDL,FEM22_projected,PIDL_over_FEM
initial_joint,alpha,tip_2l0_mean,0.31314147314531254,0.314738863189609,0.9949247130522483
initial_joint,alpha,domain_mean,0.007967773737200898,0.008607513097589791,0.9256766323634144
initial_joint,alpha,p99,0.9329845702648161,0.9870517235994317,0.9452235865234583
initial_joint,alpha,p999,1.000438810110092,0.9968556761741638,1.0035944360067046
initial_joint,alpha,max,1.0005369186401367,0.9969969987869263,1.0035505822560324
initial_uv,alpha,tip_2l0_mean,0.2838709418676813,0.314738863189609,0.901925294483472
initial_uv,alpha,domain_mean,0.006804813303148472,0.008607513097589791,0.7905667091060138
initial_uv,alpha,p99,0.8733333349227905,0.9870517235994317,0.8847898383055853
initial_uv,alpha,p999,0.9366666674613953,0.9968556761741638,0.9396211406010465
initial_uv,alpha,max,0.9366666674613953,0.9969969987869263,0.9394879509176691
r1_uv,alpha,tip_2l0_mean,0.2838709418676813,0.314738863189609,0.901925294483472
r1_uv,alpha,domain_mean,0.006804813303148472,0.008607513097589791,0.7905667091060138
r1_uv,alpha,p99,0.8733333349227905,0.9870517235994317,0.8847898383055853
r1_uv,alpha,p999,0.9366666674613953,0.9968556761741638,0.9396211406010465
r1_uv,alpha,max,0.9366666674613953,0.9969969987869263,0.9394879509176691
r1_alpha,alpha,tip_2l0_mean,0.31578194497789025,0.314738863189609,1.0033141181794665
r1_alpha,alpha,domain_mean,0.007862669314664674,0.008607513097589791,0.9134658554125601
r1_alpha,alpha,p99,0.8915274727344509,0.9870517235994317,0.9032226492481698
r1_alpha,alpha,p999,0.977372998952866,0.9968556761741638,0.9804558697041578
r1_alpha,alpha,max,0.9850802421569824,0.9969969987869263,0.9880473495462441
r2_uv,alpha,tip_2l0_mean,0.31578194497789025,0.314738863189609,1.0033141181794665
r2_uv,alpha,domain_mean,0.007862669314664674,0.008607513097589791,0.9134658554125601
r2_uv,alpha,p99,0.8915274727344509,0.9870517235994317,0.9032226492481698
r2_uv,alpha,p999,0.977372998952866,0.9968556761741638,0.9804558697041578
r2_uv,alpha,max,0.9850802421569824,0.9969969987869263,0.9880473495462441
r2_alpha,alpha,tip_2l0_mean,0.31867603731306293,0.314738863189609,1.0125093357825408
r2_alpha,alpha,domain_mean,0.00811247457534674,0.008607513097589791,0.9424876248655761
r2_alpha,alpha,p99,0.9323023051023481,0.9870517235994317,0.9445323713154244
r2_alpha,alpha,p999,1.000243068099022,0.9968556761741638,1.0033980765780044
r2_alpha,alpha,max,1.0004098415374756,0.9969969987869263,1.0034231223912427
r3_uv,alpha,tip_2l0_mean,0.31867603731306293,0.314738863189609,1.0125093357825408
r3_uv,alpha,domain_mean,0.00811247457534674,0.008607513097589791,0.9424876248655761
r3_uv,alpha,p99,0.9323023051023481,0.9870517235994317,0.9445323713154244
r3_uv,alpha,p999,1.000243068099022,0.9968556761741638,1.0033980765780044
r3_uv,alpha,max,1.0004098415374756,0.9969969987869263,1.0034231223912427
r3_alpha,alpha,tip_2l0_mean,0.3248504610110334,0.314738863189609,1.0321269439653942
r3_alpha,alpha,domain_mean,0.007989421832393227,0.008607513097589791,0.9281916555701045
r3_alpha,alpha,p99,0.9344220745563494,0.9870517235994317,0.9466799481883681
r3_alpha,alpha,p999,1.0003557206392288,0.9968556761741638,1.0035110844515607
r3_alpha,alpha,max,1.0006077289581299,0.9969969987869263,1.0036216058579883
initial_joint,eps_eq,tip_2l0_mean,0.9328110918013638,0.8817975951126987,1.0578517076610368
initial_joint,eps_eq,domain_mean,0.13238398658442366,0.13137322151499992,1.007693843979523
initial_joint,eps_eq,p99,0.34657855093479056,15.26583920748479,0.022702882312874373
initial_joint,eps_eq,p999,59.62558366394043,31.141321869303304,1.9146773510187665
initial_joint,eps_eq,max,63.38054275512695,34.033600800343166,1.8622931827562565
initial_uv,eps_eq,tip_2l0_mean,0.9328110918013638,0.8817975951126987,1.0578517076610368
initial_uv,eps_eq,domain_mean,0.13238398658442366,0.13137322151499992,1.007693843979523
initial_uv,eps_eq,p99,0.34657855093479056,15.26583920748479,0.022702882312874373
initial_uv,eps_eq,p999,59.62558366394043,31.141321869303304,1.9146773510187665
initial_uv,eps_eq,max,63.38054275512695,34.033600800343166,1.8622931827562565
r1_uv,eps_eq,tip_2l0_mean,0.45487295886313045,0.8817975951126987,0.5158473570173381
r1_uv,eps_eq,domain_mean,0.1278354948824359,0.13137322151499992,0.9730711739290028
r1_uv,eps_eq,p99,2.4169355511665334,15.26583920748479,0.15832313692794026
r1_uv,eps_eq,p999,8.632487349510193,31.141321869303304,0.2772036262859936
r1_uv,eps_eq,max,8.973820686340332,34.033600800343166,0.26367532307218716
r1_alpha,eps_eq,tip_2l0_mean,0.45487295886313045,0.8817975951126987,0.5158473570173381
r1_alpha,eps_eq,domain_mean,0.1278354948824359,0.13137322151499992,0.9730711739290028
r1_alpha,eps_eq,p99,2.4169355511665334,15.26583920748479,0.15832313692794026
r1_alpha,eps_eq,p999,8.632487349510193,31.141321869303304,0.2772036262859936
r1_alpha,eps_eq,max,8.973820686340332,34.033600800343166,0.26367532307218716
r2_uv,eps_eq,tip_2l0_mean,0.6636166916040208,0.8817975951126987,0.7525725804675242
r2_uv,eps_eq,domain_mean,0.1276979655743945,0.13137322151499992,0.9720243144057651
r2_uv,eps_eq,p99,2.1524711108207506,15.26583920748479,0.14099919968798055
r2_uv,eps_eq,p999,28.08388556289673,31.141321869303304,0.9018205996765873
r2_uv,eps_eq,max,29.147628784179688,34.033600800343166,0.8564368182835884
r2_alpha,eps_eq,tip_2l0_mean,0.6636166916040208,0.8817975951126987,0.7525725804675242
r2_alpha,eps_eq,domain_mean,0.1276979655743945,0.13137322151499992,0.9720243144057651
r2_alpha,eps_eq,p99,2.1524711108207506,15.26583920748479,0.14099919968798055
r2_alpha,eps_eq,p999,28.08388556289673,31.141321869303304,0.9018205996765873
r2_alpha,eps_eq,max,29.147628784179688,34.033600800343166,0.8564368182835884
r3_uv,eps_eq,tip_2l0_mean,0.892152541045901,0.8817975951126987,1.0117429963413302
r3_uv,eps_eq,domain_mean,0.13080729303430502,0.13137322151499992,0.995692208243289
r3_uv,eps_eq,p99,0.5412003403902048,15.26583920748479,0.0354517254527911
r3_uv,eps_eq,p999,56.562381771087644,31.141321869303304,1.816312808058493
r3_uv,eps_eq,max,59.83981704711914,34.033600800343166,1.758257006014943
r3_alpha,eps_eq,tip_2l0_mean,0.892152541045901,0.8817975951126987,1.0117429963413302
r3_alpha,eps_eq,domain_mean,0.13080729303430502,0.13137322151499992,0.995692208243289
r3_alpha,eps_eq,p99,0.5412003403902048,15.26583920748479,0.0354517254527911
