saved_index,fem_cycle,selector,x,y,alpha_bar,psi_raw,g_alpha,psi_active,delta_alpha_bar
0,1,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.009147096425294876,2789.979736328125,3.278552867413964e-06,0.009147096425294876,0.009147096425294876
0,1,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.009147096425294876,2789.979736328125,3.278552867413964e-06,0.009147096425294876,0.009147096425294876
0,1,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.009147096425294876,2789.979736328125,3.278552867413964e-06,0.009147096425294876,0.009147096425294876
0,1,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.009147096425294876,2789.979736328125,3.278552867413964e-06,0.009147096425294876,0.009147096425294876
0,1,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.009147096425294876,2789.979736328125,3.278552867413964e-06,0.009147096425294876,0.009147096425294876
0,1,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
0,1,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.42620447278022766,6.352391242980957,0.06709355115890503,0.42620447278022766,0.42620447278022766
1,2,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.013271380215883255,2778.84521484375,1.4841718893876532e-06,0.004124283790588379,0.004124283790588379
1,2,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.013271380215883255,2778.84521484375,1.4841718893876532e-06,0.004124283790588379,0.004124283790588379
1,2,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.013271380215883255,2778.84521484375,1.4841718893876532e-06,0.004124283790588379,0.004124283790588379
1,2,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.013271380215883255,2778.84521484375,1.4841718893876532e-06,0.004124283790588379,0.004124283790588379
1,2,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_psi_raw,-0.4973333477973938,-0.0006666667177341878,0.013271380215883255,2778.84521484375,1.4841718893876532e-06,0.004124283790588379,0.004124283790588379
1,2,max_psi_active,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
1,2,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,0.8450718522071838,6.359902858734131,0.06586065888404846,0.4188673794269562,0.4188673794269562
2,3,max_psi_raw,-0.49533337354660034,-0.0006666667177341878,0.015389256179332733,2783.668701171875,1.6712941715013585e-06,0.004652329254895449,0.004652329254895449
2,3,max_psi_active,0.0026666668709367514,0.0013333334354683757,1.2746434211730957,6.5619916915893555,0.065463587641716,0.4295715093612671,0.4295715093612671
2,3,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,1.2746434211730957,6.5619916915893555,0.065463587641716,0.4295715093612671,0.4295715093612671
2,3,max_psi_raw,-0.49533337354660034,-0.0006666667177341878,0.015389256179332733,2783.668701171875,1.6712941715013585e-06,0.004652329254895449,0.004652329254895449
2,3,max_psi_active,0.0026666668709367514,0.0013333334354683757,1.2746434211730957,6.5619916915893555,0.065463587641716,0.4295715093612671,0.4295715093612671
2,3,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,1.2746434211730957,6.5619916915893555,0.065463587641716,0.4295715093612671,0.4295715093612671
2,3,max_psi_raw,-0.49533337354660034,-0.0006666667177341878,0.015389256179332733,2783.668701171875,1.6712941715013585e-06,0.004652329254895449,0.004652329254895449
2,3,max_psi_active,0.0026666668709367514,0.0013333334354683757,1.2746434211730957,6.5619916915893555,0.065463587641716,0.4295715093612671,0.4295715093612671
2,3,max_delta_alpha_bar,0.0026666668709367514,0.0013333334354683757,1.2746434211730957,6.5619916915893555,0.065463587641716,0.4295715093612671,0.4295715093612671
2,3,max_psi_raw,-0.49533337354660034,-0.0006666667177341878,0.015389256179332733,2783.668701171875,1.6712941715013585e-06,0.004652329254895449,0.004652329254895449
