saved_index,fem_cycle,note,alpha_bar_max,f_min,psi_raw_max,psi_active_max,g_min,E_el,E_d
0,1,PIDL saved index j mapped to FEM cycle c=j+1,0.42620447278022766,1.0,2789.979736328125,0.42620447278022766,1.2748721474054037e-06,0.0047905705869197845,0.0054361289367079735
1,2,PIDL saved index j mapped to FEM cycle c=j+1,0.8450718522071838,0.5527249574661255,2778.84521484375,0.4188673794269562,1.0007322543970076e-06,0.004788347985595465,0.005428996402770281
2,3,PIDL saved index j mapped to FEM cycle c=j+1,1.2746434211730957,0.31752490997314453,2783.668701171875,0.4295715093612671,1.0001365353673464e-06,0.004787455778568983,0.00541806872934103
3,4,PIDL saved index j mapped to FEM cycle c=j+1,1.7029584646224976,0.20605698227882385,2780.628662109375,0.42831507325172424,1.0001176633522846e-06,0.004786936566233635,0.005403206218034029
19,20,PIDL saved index j mapped to FEM cycle c=j+1,2.472960948944092,0.11314140260219574,2800.923583984375,0.4794183671474457,1.0077608294523088e-06,0.004322568420320749,0.00552206439897418
39,40,PIDL saved index j mapped to FEM cycle c=j+1,2.474531888961792,0.11302193999290466,2776.083984375,0.4186673164367676,1.0000275096899713e-06,0.003432448022067547,0.005891931708902121
68,69,PIDL saved index j mapped to FEM cycle c=j+1,2.7445032596588135,0.09499561786651611,2660.416259765625,0.3516468405723572,1.0000582051361562e-06,0.0016976010520011187,0.006788795348256826
82,83,FEM n_step2 cycle missing; PIDL event beyond available c70 reference,2.889237403869629,0.08705546706914902,2420.0048828125,0.012020192109048367,,1.4413650205824524e-05,0.007582593709230423
85,86,FEM n_step2 cycle missing; PIDL event beyond available c70 reference,2.9131720066070557,0.08583880960941315,2418.84521484375,0.011952382512390614,,1.316497400694061e-05,0.007559194695204496
