saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL_resstiff,PIDL_over_FEM
0,1,alpha_bar,max,0.2424047440290451,0.42620447278022766,1.7582348665963383
0,1,alpha_bar,p999,0.11238760501146317,0.11187652498483658,0.9954525231979588
0,1,alpha_bar,p99,0.03599074773490292,0.035191863775253296,0.9778030741252178
0,1,alpha_bar,domain_mean,0.004831751804360173,0.004787523299455643,0.9908462796320336
0,1,alpha_bar,tip_2l0_mean,0.056241058275375615,0.05581296980381012,0.992388328301551
0,1,alpha_bar,tip_2l0_integral,7.108870208417807e-05,7.054759771563113e-05,0.9923883211722418
0,1,alpha_bar,right_band_mean,0.00856146456690375,0.008581905625760555,1.0023875656667232
0,1,delta_alpha_bar,max,0.2424047440290451,0.42620447278022766,1.7582348665963383
0,1,delta_alpha_bar,p999,0.11238760501146317,0.11187652498483658,0.9954525231979588
0,1,delta_alpha_bar,p99,0.03599074773490292,0.035191863775253296,0.9778030741252178
0,1,delta_alpha_bar,domain_mean,0.004831751804360173,0.004787523299455643,0.9908462796320336
0,1,delta_alpha_bar,tip_2l0_mean,0.056241058275375615,0.05581296980381012,0.992388328301551
0,1,delta_alpha_bar,tip_2l0_integral,7.108870208417807e-05,7.054759771563113e-05,0.9923883211722418
0,1,delta_alpha_bar,right_band_mean,0.00856146456690375,0.008581905625760555,1.0023875656667232
0,1,psi_raw,max,685.90625,2789.979736328125,4.067581737778487
0,1,psi_raw,p999,651.2774658203125,2536.76953125,3.8950672553284607
0,1,psi_raw,p99,156.2744430541712,0.054723817855119705,0.00035017765404001574
0,1,psi_raw,domain_mean,0.9048060786237279,1.858420968055725,2.0539439466217013
0,1,psi_raw,tip_2l0_mean,2.8790208175156233,6.726137161254883,2.3362586058196793
0,1,psi_raw,tip_2l0_integral,0.0036390825398128247,0.008501837961375713,2.336258622430972
0,1,psi_raw,right_band_mean,0.008561442121806203,0.008581540547311306,1.0023475514077134
0,1,g_alpha,max,1.000005315816677,1.0002758502960205,1.0002705330412394
0,1,g_alpha,p999,1.0000050650857428,1.0002167224884033,1.000211656330603
0,1,g_alpha,p99,1.0000045129327986,1.000145673751831,1.000141160181986
0,1,g_alpha,domain_mean,0.9885646693074747,0.9894202351570129,1.0008654627017346
0,1,g_alpha,tip_2l0_mean,0.5569526599001612,0.552388072013855,0.9918043521201165
0,1,g_alpha,tip_2l0_integral,0.0007039882059254989,0.0006982185877859592,0.9918043823874086
0,1,g_alpha,right_band_mean,1.0000043109952526,1.0000426769256592,1.000038365765012
0,1,psi_active,max,0.25432828021337345,0.42620447278022766,1.6758044855359988
0,1,psi_active,p999,0.1080088495014654,0.11187652498483658,1.0358088758580721
0,1,psi_active,p99,0.033885238633461316,0.035191863775253296,1.0385603051501517
0,1,psi_active,domain_mean,0.0047911518129206635,0.004787523299455643,0.9992426636419168
0,1,psi_active,tip_2l0_mean,0.05526669625117313,0.05581296980381012,1.0098843171329497
0,1,psi_active,tip_2l0_integral,6.985710840893967e-05,7.054759771563113e-05,1.0098843098779493
0,1,psi_active,right_band_mean,0.008561478878424783,0.008581905625760555,1.0023858900577618
1,2,alpha_bar,max,0.48751550912857056,0.8450718522071838,1.7334255759734536
1,2,alpha_bar,p999,0.22638249397277832,0.22024156153202057,0.9728736425993426
1,2,alpha_bar,p99,0.07216600738465768,0.07047408074140549,0.9765550748258258
1,2,alpha_bar,domain_mean,0.009673479094925592,0.009572814218699932,0.9895937257694116
1,2,alpha_bar,tip_2l0_mean,0.11275953790459826,0.111575648188591,0.98950075764758
1,2,alpha_bar,tip_2l0_integral,0.00014252806478144166,0.00014103163266554475,0.9895007897694282
1,2,alpha_bar,right_band_mean,0.01712135508122586,0.017163753509521484,1.00247634770113
1,2,delta_alpha_bar,max,0.24511076509952545,0.4188673794269562,1.7088901797392624
1,2,delta_alpha_bar,p999,0.1125040277838707,0.1107076108455658,0.9840324211169047
1,2,delta_alpha_bar,p99,0.035971394926309165,0.03515366464853287,0.9772672069167322
1,2,delta_alpha_bar,domain_mean,0.0048417272905654195,0.004785291384905577,0.9883438487397228
1,2,delta_alpha_bar,tip_2l0_mean,0.056518479629222636,0.05576268211007118,0.9866274265672095
1,2,delta_alpha_bar,tip_2l0_integral,7.143936269726357e-05,7.048403494991362e-05,0.9866274318347671
1,2,delta_alpha_bar,right_band_mean,0.008559890514322111,0.008581847883760929,1.0025651460613987
1,2,psi_raw,max,663.7318725585938,2778.84521484375,4.186698469265442
1,2,psi_raw,p999,638.1360473632812,2539.01123046875,3.9787929877331143
1,2,psi_raw,p99,157.86733627316562,0.054791878908872604,0.00034707546350223786
1,2,psi_raw,domain_mean,0.8943307701759456,1.8598626852035522,2.0796138824985895
1,2,psi_raw,tip_2l0_mean,2.997225525052507,6.810303211212158,2.2722024600043573
1,2,psi_raw,tip_2l0_integral,0.0037884932994378096,0.008608223870396614,2.272202479986971
1,2,psi_raw,right_band_mean,0.008559840719614705,0.008581121452152729,1.0024861131456873
1,2,g_alpha,max,1.0000093391442924,1.0003013610839844,1.0002920192124825
1,2,g_alpha,p999,1.0000088883750615,1.000260353088379,1.0002514624782246
1,2,g_alpha,p99,1.0000076790427737,1.000190258026123,1.0001825775813282
1,2,g_alpha,domain_mean,0.988548077901483,0.9894267320632935,1.0008888330081787
1,2,g_alpha,tip_2l0_mean,0.5557448984461288,0.5506265759468079,0.9907901583736857
1,2,g_alpha,tip_2l0_integral,0.0007024615953525956,0.0006959920283406973,0.990790148451246
1,2,g_alpha,right_band_mean,1.000007417263074,1.0000848770141602,1.000077459176551
1,2,psi_active,max,0.2571633085059211,0.4188673794269562,1.628799154360358
1,2,psi_active,p999,0.10912325263361138,0.1107076108455658,1.014518978986761
1,2,psi_active,p99,0.03408058094268215,0.03515366464853287,1.0314866612061417
1,2,psi_active,domain_mean,0.004789459832938539,0.004785291384905577,0.9991296621793768
1,2,psi_active,tip_2l0_mean,0.05552929811295059,0.05576268211007118,1.0042028983807048
1,2,psi_active,tip_2l0_integral,7.01890371828835e-05,7.048403494991362e-05,1.004202903742097
1,2,psi_active,right_band_mean,0.008559903904960165,0.008581847883760929,1.00256357770419
2,3,alpha_bar,max,0.7322266101837158,1.2746434211730957,1.7407772449751415
2,3,alpha_bar,p999,0.3374171853065491,0.3316531777381897,0.9829172673492529
2,3,alpha_bar,p99,0.10780069455504102,0.1056051254272461,0.979633070669374
2,3,alpha_bar,domain_mean,0.014517772004083484,0.014357169158756733,0.9889375005144332
2,3,alpha_bar,tip_2l0_mean,0.16947403792065005,0.16729645431041718,0.9871509309806352
2,3,alpha_bar,tip_2l0_integral,0.00021421519726307688,0.00021146272774785757,0.9871509138922622
2,3,alpha_bar,right_band_mean,0.02568121079606649,0.025745075196027756,1.0024868142109191
2,3,delta_alpha_bar,max,0.24471110105514526,0.4295715093612671,1.7554230580837598
2,3,delta_alpha_bar,p999,0.11167380213737488,0.10985235869884491,0.9836896084518612
2,3,delta_alpha_bar,p99,0.03606931470334493,0.03508371114730835,0.9726747357374889
2,3,delta_alpha_bar,domain_mean,0.004844292909157893,0.004784354940056801,0.9876270964152926
