pidl_saved_index,fem_cycle,fem_state_index,field,metric,PIDL,FEM22_nstep2_projected,PIDL_over_FEM
0,1,2,eps_xx,tip_2l0_mean,0.021284420043230057,0.021920470969860578,0.9709837016045387
0,1,2,eps_xx,domain_mean,-0.02143627405166626,-0.021898130278628233,0.9789088739045119
0,1,2,eps_xx,p99,0.01630551740527153,0.013530538417398538,1.2050900638443718
0,1,2,eps_xx,p999,0.08498955518007278,0.06901426240801811,1.2314781353107478
0,1,2,eps_xx,max,0.2964916229248047,1.0241675190627566,0.28949524116536346
0,1,2,eps_xx,min,-0.09759378433227539,-9.563449071720243,0.010204873116422685
0,1,2,eps_yy,tip_2l0_mean,0.8584957122802734,0.8097780429481837,1.0601617563681054
0,1,2,eps_yy,domain_mean,0.11999998986721039,0.11999999811464616,0.9999999312713674
0,1,2,eps_yy,p99,0.2800225019454956,15.265393438747646,0.018343615123258054
0,1,2,eps_yy,p999,61.39434814453125,31.141319371235994,1.9714754989231054
0,1,2,eps_yy,max,64.38170623779297,31.8707004189491,2.0200907225595226
0,1,2,eps_yy,min,-0.019731957465410233,-0.018021169429024066,1.0949321320752277
0,1,2,eps_xy,tip_2l0_mean,-0.016313249245285988,-3.2275777485674875e-06,5054.3319219889845
0,1,2,eps_xy,domain_mean,-7.034988084342331e-05,-1.405442189528433e-10,500553.35870504746
0,1,2,eps_xy,p99,0.07174310088157654,0.06976310908794418,1.0283816449627603
0,1,2,eps_xy,p999,0.17113690078258514,0.16058423812501585,1.0657141870259643
0,1,2,eps_xy,max,0.8021470308303833,5.079905997263263,0.1579058807904182
0,1,2,eps_xy,min,-1.5190494060516357,-5.079906200990076,0.29903099505175357
0,1,2,eps_trace,tip_2l0_mean,0.8797801733016968,0.8316985139180442,1.0578114047085945
0,1,2,eps_trace,domain_mean,0.09856371581554413,0.09810186783601794,1.0047078408364067
0,1,2,eps_trace,p99,0.25738587975502014,15.19884645007414,0.016934566751529004
0,1,2,eps_trace,p999,61.3880500793457,31.106013573938952,1.9735106825381654
0,1,2,eps_trace,max,64.38351440429688,32.030867179855676,2.0100459360896696
0,1,2,eps_trace,min,-0.042323336005210876,-0.019007595255970955,2.2266538946801084
0,1,2,eps_eq,tip_2l0_mean,0.9579603672027588,0.8817975380089668,1.0863722406911704
0,1,2,eps_eq,domain_mean,0.13204659521579742,0.13137322327427128,1.0051256407108191
0,1,2,eps_eq,p99,0.3117538094520569,15.26583920748479,0.020421662066190574
0,1,2,eps_eq,p999,61.394351959228516,31.141321869303304,1.971475463273327
0,1,2,eps_eq,max,64.38174438476562,34.033600800343166,1.8917112168782462
0,1,2,eps_eq,min,0.00024274870520457625,0.0005361438915633318,0.45276782786193814
0,1,2,psi_raw,tip_2l0_mean,6.726134777069092,2.8790208175156233,2.3362577776958333
0,1,2,psi_raw,domain_mean,1.858420968055725,0.9048060786237279,2.0539439466217013
0,1,2,psi_raw,p99,0.05471828579902649,156.2744430541712,0.00035014225441877826
0,1,2,psi_raw,p999,2536.782958984375,651.2774658203125,3.895087872861048
0,1,2,psi_raw,max,2789.97509765625,685.90625,4.067574974941911
0,1,2,psi_raw,min,1.693160456284204e-08,1.609998321328021e-07,0.10516535538295381
1,2,6,eps_xx,tip_2l0_mean,0.02127963677048683,0.02209668691540339,0.9630238619914101
1,2,6,eps_xx,domain_mean,-0.021436577662825584,-0.021991377678527897,0.9747719299894516
1,2,6,eps_xx,p99,0.016433745622634888,0.013913603033870401,1.1811279639522279
1,2,6,eps_xx,p999,0.08143069595098495,0.06659794598817825,1.222720832342782
1,2,6,eps_xx,max,0.3195427656173706,1.020980067551136,0.3129764975567128
1,2,6,eps_xx,min,-0.09427321702241898,-6.647648988291621,0.014181437255255296
1,2,6,eps_yy,tip_2l0_mean,0.8605338931083679,0.8157124609551756,1.0549475879045758
1,2,6,eps_yy,domain_mean,0.11999998241662979,0.11999999811738367,0.9999998691603823
1,2,6,eps_yy,p99,0.280905544757843,15.343680172225973,0.018307572994536087
1,2,6,eps_yy,p999,61.42068862915039,30.858161743846694,1.9904195570365772
1,2,6,eps_yy,max,64.25376892089844,31.558945775032015,2.0359922469822505
1,2,6,eps_yy,min,-0.02358865551650524,-0.01713136055817207,1.376928320223398
1,2,6,eps_xy,tip_2l0_mean,-0.016336847096681595,-5.9029195598245774e-06,2767.5876201787664
1,2,6,eps_xy,domain_mean,-7.131415623007342e-05,-2.0190964497880117e-10,353198.36374117155
1,2,6,eps_xy,p99,0.07065558433532715,0.06973749161180458,1.0131649805908298
1,2,6,eps_xy,p999,0.173322394490242,0.16874421946704157,1.0271308554311374
1,2,6,eps_xy,max,0.7775106430053711,7.164111157180735,0.10852855657132794
1,2,6,eps_xy,min,-1.5067439079284668,-7.16411147732287,0.21031832247416624
1,2,6,eps_trace,tip_2l0_mean,0.8818135857582092,0.8378091478705788,1.0525232244115197
1,2,6,eps_trace,domain_mean,0.09856342524290085,0.09800862043885579,1.0056607755681164
1,2,6,eps_trace,p99,0.2569240629673004,15.275323684325954,0.016819549508527324
1,2,6,eps_trace,p999,61.415653228759766,30.757085275865364,1.9967969226574187
1,2,6,eps_trace,max,64.25496673583984,31.36796900071201,2.048426110545485
1,2,6,eps_trace,min,-0.04257253557443619,-0.019206199795007706,2.2166038065220026
1,2,6,eps_eq,tip_2l0_mean,0.9599551558494568,0.8902434221665415,1.0783063732313363
1,2,6,eps_eq,domain_mean,0.13204950094223022,0.13117789285700307,1.006644473899099
1,2,6,eps_eq,p99,0.31007227301597595,15.344048770595588,0.020207982759425258
1,2,6,eps_eq,p999,61.420692443847656,30.85817849877675,1.9904185999274857
1,2,6,eps_eq,max,64.25389862060547,33.771118779659794,1.9026286644464183
1,2,6,eps_eq,min,0.00021876112441532314,0.00022056291883335835,0.9918309277571878
1,2,6,psi_raw,tip_2l0_mean,6.810318946838379,2.997225525052507,2.272207710068488
1,2,6,psi_raw,domain_mean,1.8598626852035522,0.8943307701759456,2.0796138824985895
1,2,6,psi_raw,p99,0.05479345843195915,157.86733627316562,0.00034708546888475607
1,2,6,psi_raw,p999,2539.005126953125,638.1360473632812,3.9787834231337627
1,2,6,psi_raw,max,2778.87548828125,663.7318725585938,4.186744080209788
1,2,6,psi_raw,min,1.773961777473687e-08,6.55087291079326e-08,0.27079777025606716
2,3,10,eps_xx,tip_2l0_mean,0.02151080220937729,0.022350285151881585,0.9624397211579369
2,3,10,eps_xx,domain_mean,-0.02143073081970215,-0.021987620506646047,0.9746725805652516
2,3,10,eps_xx,p99,0.016401521861553192,0.014047475997358384,1.1675778527500231
2,3,10,eps_xx,p999,0.07629933208227158,0.06668083369731903,1.1442468225369424
2,3,10,eps_xx,max,0.3301156461238861,1.0254844091832638,0.32191191125645996
2,3,10,eps_xx,min,-0.09618906676769257,-6.533259176649153,0.014722983455407172
2,3,10,eps_yy,tip_2l0_mean,0.8617022037506104,0.8181618494830778,1.0532172873802925
2,3,10,eps_yy,domain_mean,0.11999998986721039,0.11999999811692141,0.999999931252407
2,3,10,eps_yy,p99,0.28244176506996155,15.369219337588692,0.018377105490269774
2,3,10,eps_yy,p999,61.37049865722656,30.856519937718957,1.988898903087492
2,3,10,eps_yy,max,64.30941009521484,31.555864959955187,2.0379542812984
2,3,10,eps_yy,min,-0.019987065345048904,-0.017132196161481872,1.166637666102937
2,3,10,eps_xy,tip_2l0_mean,-0.016217995434999466,-6.986024066184358e-06,2321.491492350018
2,3,10,eps_xy,domain_mean,-7.288698543561623e-05,-2.8211980326406524e-10,258354.72941753658
2,3,10,eps_xy,p99,0.07105270028114319,0.0697929697214726,1.0180495337094535
2,3,10,eps_xy,p999,0.1717931032180786,0.16849725064821783,1.019560275061946
2,3,10,eps_xy,max,0.8069746494293213,7.5938403024338115,0.10626700289847911
2,3,10,eps_xy,min,-1.4958932399749756,-7.59384018601849,0.19698771679830204
2,3,10,eps_trace,tip_2l0_mean,0.8832129836082458,0.8405121346349592,1.050803370009443
2,3,10,eps_trace,domain_mean,0.09856926649808884,0.09801237761027536,1.0056818220452506
2,3,10,eps_trace,p99,0.25688013434410095,15.300526130011821,0.016788973932094615
2,3,10,eps_trace,p999,61.3667106628418,30.755875750561216,1.9952841258868075
2,3,10,eps_trace,max,64.30979919433594,31.348964548669727,2.051417012338447
2,3,10,eps_trace,min,-0.04355206340551376,-0.019333790987730026,2.2526396107806064
2,3,10,eps_eq,tip_2l0_mean,0.9617931246757507,0.8934594451814426,1.0764821278266647
2,3,10,eps_eq,domain_mean,0.13206762075424194,0.13119405538569306,1.0066585743232093
2,3,10,eps_eq,p99,0.31165811419487,15.369572198682112,0.020277605008524154
2,3,10,eps_eq,p999,61.37050247192383,30.856539411138712,1.9888977715294305
2,3,10,eps_eq,max,64.30952453613281,33.93604656051583,1.8950211074661878
2,3,10,eps_eq,min,0.0001461162610212341,0.00023122742285989125,0.6319157962062788
2,3,10,psi_raw,tip_2l0_mean,6.85284948348999,3.038979519465806,2.2549837666212995
2,3,10,psi_raw,domain_mean,1.8606247901916504,0.8952262156304751,2.0783850581065484
2,3,10,psi_raw,p99,0.05423537641763687,158.39109268185703,0.00034241430814909254
2,3,10,psi_raw,p999,2534.9013671875,638.0804443359375,3.972698724258225
2,3,10,psi_raw,max,2783.663818359375,663.0670776367188,4.198163220953173
2,3,10,psi_raw,min,8.778595628200492e-09,6.958209297636131e-08,0.12616170702400098
3,4,14,eps_xx,tip_2l0_mean,0.021529465913772583,0.022441230563737313,0.9593710047506019
3,4,14,eps_xx,domain_mean,-0.021434452384710312,-0.02198589355897306,0.9749184097165025
3,4,14,eps_xx,p99,0.01664671301841736,0.014139432460068754,1.177325402941697
3,4,14,eps_xx,p999,0.08000370115041733,0.06678048521280289,1.198010180601074
3,4,14,eps_xx,max,0.32787466049194336,1.0181199759244919,0.3220393158421439
3,4,14,eps_xx,min,-0.11072279512882233,-6.518306792713702,0.016986435074303433
3,4,14,eps_yy,tip_2l0_mean,0.8624743819236755,0.8189983937218244,1.0530843387912894
3,4,14,eps_yy,domain_mean,0.11999999731779099,0.1199999981167706,0.9999999933418364
3,4,14,eps_yy,p99,0.28120121359825134,15.378117789513016,0.018285801776730715
3,4,14,eps_yy,p999,61.44486618041992,30.856656145071582,1.9913002203329762
3,4,14,eps_yy,max,64.27400207519531,31.555553898215265,2.036852285417514
3,4,14,eps_yy,min,-0.024670952931046486,-0.017133024003770814,1.439964884518731
3,4,14,eps_xy,tip_2l0_mean,-0.01633395068347454,-7.367689463660281e-06,2216.9705664222993
3,4,14,eps_xy,domain_mean,-7.364035991486162e-05,2.6714588301613264e-10,-275655.97898588824
3,4,14,eps_xy,p99,0.07086789608001709,0.06981473131519203,1.0150851366894236
3,4,14,eps_xy,p999,0.17305819690227509,0.1688524021301446,1.0249081133526832
3,4,14,eps_xy,max,0.7983626127243042,7.668100297451012,0.10411478485612552
3,4,14,eps_xy,min,-1.446031093597412,-7.668100937735282,0.1885774724849262
3,4,14,eps_trace,tip_2l0_mean,0.8840038180351257,0.8414396242855617,1.0505849647688077
3,4,14,eps_trace,domain_mean,0.09856554865837097,0.09801410455779754,1.0056261708767462
3,4,14,eps_trace,p99,0.2570402920246124,15.30933677684381,0.01678977318033787
3,4,14,eps_trace,p999,61.440494537353516,30.756143126083742,1.9976657764102717
3,4,14,eps_trace,max,64.2762222290039,31.346106552518876,2.050532882650425
3,4,14,eps_trace,min,-0.04421781376004219,-0.019384082406759262,2.2811404136738176
3,4,14,eps_eq,tip_2l0_mean,0.9628903865814209,0.8945965483217119,1.0763403775565983
3,4,14,eps_eq,domain_mean,0.13206470012664795,0.13119883379513686,1.0065996496040743
3,4,14,eps_eq,p99,0.3109643757343292,15.378468294167739,0.020220763848910882
3,4,14,eps_eq,p999,61.44486999511719,30.856674881282668,1.991299134839347
3,4,14,eps_eq,max,64.2741470336914,33.96672399016034,1.892268063658735
3,4,14,eps_eq,min,0.0002796316985040903,0.00023288051375554893,1.20075181042247
3,4,14,psi_raw,tip_2l0_mean,6.900476455688477,3.0563902709335427,2.2577209858676843
3,4,14,psi_raw,domain_mean,1.8605064153671265,0.8955214606671066,2.0775676486649104
3,4,14,psi_raw,p99,0.053917936980724335,158.57408187863436,0.00034001733664137344
3,4,14,psi_raw,p999,2541.028076171875,638.0891723632812,3.982246034297538
3,4,14,psi_raw,max,2780.641845703125,662.9866943359375,4.194114104338517
3,4,14,psi_raw,min,2.9252561262183008e-08,7.038869398456882e-08,0.4155860779089891
