pidl_saved_index,fem_cycle,selector,x,y,value,psi_raw,eps_xx,eps_yy,eps_xy
0,1,max_abs_eps_xx,-0.0006666667177341878,0.0006666667177341878,0.2964916229248047,17.3231143951416,0.2964916229248047,4.756702899932861,-1.2599376440048218
0,1,max_eps_xx,-0.0006666667177341878,0.0006666667177341878,0.2964916229248047,17.3231143951416,0.2964916229248047,4.756702899932861,-1.2599376440048218
0,1,max_abs_eps_yy,-0.4986666738986969,-0.0013333334354683757,64.38170623779297,2789.8447265625,-0.0017262209439650178,64.38170623779297,-0.05156255513429642
0,1,max_eps_yy,-0.4986666738986969,-0.0013333334354683757,64.38170623779297,2789.8447265625,-0.0017262209439650178,64.38170623779297,-0.05156255513429642
0,1,max_abs_eps_xy,-0.0026666668709367514,0.0006666667177341878,-1.5190494060516357,12.10226821899414,0.28844714164733887,3.7847602367401123,-1.5190494060516357
0,1,max_eps_xy,0.0013333334354683757,-0.0013333334354683757,0.8021470308303833,5.248405456542969,0.09114956110715866,2.6171529293060303,0.8021470308303833
0,1,max_abs_eps_trace,-0.4973333179950714,-0.0006666667177341878,64.38351440429688,2789.97509765625,0.0018098944565281272,64.38170623779297,-0.042634155601263046
0,1,max_eps_trace,-0.4973333179950714,-0.0006666667177341878,64.38351440429688,2789.97509765625,0.0018098944565281272,64.38170623779297,-0.042634155601263046
0,1,max_abs_eps_eq,-0.4986666738986969,-0.0013333334354683757,64.38174438476562,2789.8447265625,-0.0017262209439650178,64.38170623779297,-0.05156255513429642
0,1,max_eps_eq,-0.4986666738986969,-0.0013333334354683757,64.38174438476562,2789.8447265625,-0.0017262209439650178,64.38170623779297,-0.05156255513429642
0,1,max_abs_psi_raw,-0.4973333179950714,-0.0006666667177341878,2789.97509765625,2789.97509765625,0.0018098944565281272,64.38170623779297,-0.042634155601263046
0,1,max_psi_raw,-0.4973333179950714,-0.0006666667177341878,2789.97509765625,2789.97509765625,0.0018098944565281272,64.38170623779297,-0.042634155601263046
1,2,max_abs_eps_xx,-0.0006666667177341878,0.0006666667177341878,0.3195427656173706,16.955259323120117,0.3195427656173706,4.674926280975342,-1.3073036670684814
1,2,max_eps_xx,-0.0006666667177341878,0.0006666667177341878,0.3195427656173706,16.955259323120117,0.3195427656173706,4.674926280975342,-1.3073036670684814
1,2,max_abs_eps_yy,-0.4986666738986969,-0.0013333334354683757,64.25376892089844,2778.80078125,-0.000949967245105654,64.25376892089844,-0.09210065752267838
1,2,max_eps_yy,-0.4986666738986969,-0.0013333334354683757,64.25376892089844,2778.80078125,-0.000949967245105654,64.25376892089844,-0.09210065752267838
1,2,max_abs_eps_xy,-0.0026666668709367514,0.0006666667177341878,-1.5067439079284668,11.270238876342773,0.30302363634109497,3.6217715740203857,-1.5067439079284668
1,2,max_eps_xy,0.0013333334354683757,-0.0013333334354683757,0.7775106430053711,5.349950790405273,0.11511747539043427,2.6426515579223633,0.7775106430053711
1,2,max_abs_eps_trace,-0.4973333179950714,-0.0006666667177341878,64.25496673583984,2778.87548828125,0.0012005330063402653,64.25376892089844,-0.03957734256982803
1,2,max_eps_trace,-0.4973333179950714,-0.0006666667177341878,64.25496673583984,2778.87548828125,0.0012005330063402653,64.25376892089844,-0.03957734256982803
1,2,max_abs_eps_eq,-0.4986666738986969,-0.0013333334354683757,64.25389862060547,2778.80078125,-0.000949967245105654,64.25376892089844,-0.09210065752267838
1,2,max_eps_eq,-0.4986666738986969,-0.0013333334354683757,64.25389862060547,2778.80078125,-0.000949967245105654,64.25376892089844,-0.09210065752267838
1,2,max_abs_psi_raw,-0.4973333179950714,-0.0006666667177341878,2778.87548828125,2778.87548828125,0.0012005330063402653,64.25376892089844,-0.03957734256982803
1,2,max_psi_raw,-0.4973333179950714,-0.0006666667177341878,2778.87548828125,2778.87548828125,0.0012005330063402653,64.25376892089844,-0.03957734256982803
2,3,max_abs_eps_xx,-0.0006666667177341878,0.0006666667177341878,0.3301156461238861,17.55748748779297,0.3301156461238861,4.739546298980713,-1.3786020278930664
2,3,max_eps_xx,-0.0006666667177341878,0.0006666667177341878,0.3301156461238861,17.55748748779297,0.3301156461238861,4.739546298980713,-1.3786020278930664
