iteration,centroid_x,centroid_y,rms_width,support_count,support_threshold
1,0.018008054005769176,-0.0007798397972153682,0.020863883074951406,202,0.00043277542540233525
2,0.017829158103816606,0.0011966741046695961,0.012296496341851936,391,0.00036535490688386355
3,0.019694133211138297,0.0005419497474479049,0.011910025224589622,363,0.00032653481775509754
4,0.020046131368655892,0.0007046438276895533,0.012105548763053654,357,0.0003066246704160336
5,0.017495024260155954,-0.0007856689512965585,0.014612580407442533,462,0.0003024272962436825
6,0.020218608229191956,-0.0012721406140362463,0.013529682065663943,359,0.00028582111857910266
7,0.020822044599881163,-0.00040146720818263576,0.013122447331269623,403,0.000269766903525428
8,0.01933091998915326,-0.0020687339117183667,0.01428290397951858,444,0.0002565632156243003
9,0.02173985228988575,0.0013211101829331523,0.012560256181823106,383,0.00024084163855820796
10,0.021986830418280284,-0.0009039130664869958,0.013555044912862484,424,0.0002314355863511286
11,0.019638445668905748,-0.0022461605385038024,0.014968100883668902,435,0.0002201491090560148
12,0.020824130133251594,-0.0022816111278753538,0.015049993723788685,426,0.0002109453555094254
13,0.021971434839564596,0.0029513108648845736,0.01407034384575464,388,0.00020264606899107475
14,0.0176380500350682,5.662920942766511e-06,0.01738654900249053,485,0.00019571764119505287
15,0.018110693937759003,-0.003429481331283791,0.016049232975762332,458,0.00020625112581892398
16,0.018014658839283427,-0.002810426651751854,0.017499251248889115,529,0.00027497960670446635
17,0.019803123538237374,0.002357974899067737,0.01595423276839087,494,0.00017046181005693107
18,0.021977236354707445,-0.0010875004514395296,0.015646715919784036,492,0.00016364665211928586
19,0.019108351161769812,0.00031005328096934997,0.019943149503001287,558,0.00016056955432427022
20,0.020719813782662366,0.002391856781585717,0.017059786211899502,471,0.00020833931856233356
21,0.021324200944343518,-0.0030854812216513402,0.01691453544987234,466,0.00014818962375618973
22,0.020459439294354304,0.0004209636304944208,0.018016589050866703,525,0.00016617910333357298
23,0.02289928242026628,-0.001956213060871667,0.016915806049490494,421,0.0002440034330310305
24,0.022873827074828244,0.0013875330170019168,0.01684660477186159,381,0.0004419656355211075
25,0.023882451003128986,0.0036462443140510823,0.014927528084620873,402,0.00042219918279211266
26,0.021626953829840402,-0.002882937792854006,0.017278630204284218,446,0.0002187880127698786
27,0.023066313038085547,-0.004290689811182883,0.016524731111658586,440,0.00020256702518129933
28,0.02597670283492381,0.00010881656888278698,0.01640848392704875,319,0.0002450369252837089
29,0.02312902380599956,-0.0008783418012341315,0.016418349613763254,445,0.00019525460164613866
30,0.02450684435703724,0.006870951309135745,0.01446901633974945,370,0.0003565767546247348
31,0.02598780352994669,0.002435335986066873,0.016593855813744025,442,0.0001119079368861875
32,0.020929124488676995,-0.003514054176396282,0.0180764254652275,441,0.0001871024317803506
33,0.021118310211699826,0.003968974562896078,0.017594260943186647,443,0.00038267952192554225
34,0.02099774082799918,0.001285786305938939,0.01762333431250868,437,0.00032552061146162584
35,0.022049259004487665,0.000583530929480979,0.019649499167186824,515,0.0003101444955232241
36,0.025004282493534508,-0.0022329692901195087,0.01708183116960849,377,0.00023366746081368773
37,0.02654543854482957,0.0025975371030572828,0.015598496971866455,407,0.00012782198133995002
38,0.01993947687604007,-0.002387306176739728,0.01878153898794548,566,0.00019698287803624506
39,0.027004983875890266,0.00384356540618953,0.01627079598120653,356,0.00017351013199632485
40,0.02714906143169673,0.0017667508601241846,0.01694298996561442,436,0.00014883316092047992
41,0.022653104851882277,-0.004413580348153219,0.021303972609138074,505,0.0001680445445627363
42,0.022782726037977416,1.4552852153694226e-05,0.019060245742567154,475,0.00026502021219025086
43,0.02222630284158353,0.0002562840519763689,0.018990945248258773,476,0.00032050208839293047
44,0.026203640199465084,0.003768960584314242,0.01714941359214476,487,9.124525984756326e-05
45,0.022026022475756146,-0.0056310890074903015,0.017439126809841186,437,0.0003224231763687292
46,0.029464800845347708,-0.00038198062895102524,0.01559415360900382,384,0.00011241504082447663
47,0.023179081702181692,-0.0014130913278947548,0.02011084787818557,597,8.493597872788472e-05
48,0.024219149799974277,0.0012226388848238792,0.021417843597458866,476,0.00017841709850090464
49,0.024354199250125542,-0.0032206030099971097,0.018033410869607417,490,0.0001601359675507291
50,0.027121516490689793,-0.003157323924720722,0.017011629812143516,400,0.00012587784048421585
51,0.02690484620948273,-0.005299814515666178,0.01698741627035037,373,0.00023009679558171032
52,0.028204959185638267,-0.00016357582911176232,0.017825993950557516,462,0.00011657492121309468
53,0.01786132318785627,0.004294031930401145,0.02272304522467798,524,0.0002707072937090137
54,0.02533614624798407,0.0008195491451465424,0.02043627673702403,463,0.0002873700987996505
55,0.030603998968185445,0.0018719973856601022,0.014863285686968652,336,0.00019396013765054026
56,0.02809683141889761,-0.0006391859334102496,0.017968905222097157,365,0.00026323295626103207
57,0.028045948277526163,0.00505769418719421,0.015644817819506343,391,0.00032821162481971373
58,0.030527054273737458,-0.0006500812898258819,0.016699070730918805,362,0.00011039984022342995
59,0.02049408794066116,0.003780899796299475,0.020266769695315812,604,0.0001319565419676342
60,0.029296726580795233,-0.002519177369593889,0.01727657092511304,471,8.082907218788126e-05
61,0.026483237362993187,-0.005251542294094097,0.017337449259531502,378,0.00033093695013765984
62,0.022794211878627693,0.0008485374731898965,0.019888469507902105,491,0.00026001960757721646
63,0.03019226583559363,-0.0025533217119731257,0.016378141400303695,368,0.00017926363523650468
64,0.019525400675611957,0.0011119992506726337,0.020665198605455126,644,0.0001849245338082018
65,0.03267848188224853,-0.0013592744196027336,0.01592241956077613,412,7.737998453510087e-05
66,0.025174345226426344,0.002207783222888742,0.019747510727453153,442,0.000498188775242356
67,0.022608511350127935,0.006764289601176516,0.01953971316595793,436,0.0003735853877872088
68,0.023762413305090224,0.005704696279626659,0.01984702949763486,542,0.00022790542415319158
69,0.032970423947778195,0.002150107315037648,0.015746543177389015,393,7.918360109735457e-05
70,0.0244967808006385,0.001342470345230709,0.020168686098386953,578,0.00017255722382963004
71,0.021035858321153848,0.0005667774461973687,0.027116126964010546,635,0.00012060794342643511
72,0.03277179247572521,-0.000534894439246198,0.015616423715086376,410,0.000127618303482584
73,0.031762922380882394,-0.0038692304219021087,0.016637282590814376,342,0.00017364477160562237
74,0.029774978431249828,-0.00479314454973536,0.016027222258320192,406,0.00013312437923888062
75,0.029993338099716587,-0.0036931012534515864,0.01888687649745502,470,9.397430607380351e-05
76,0.026880014991677977,0.005341514084883165,0.021391505604218066,480,0.00017807027222513572
77,0.03452386733925924,0.0021997312379480566,0.015162672113140253,319,0.0001423851317571742
78,0.0302577176589397,-0.005013005673021959,0.018992449117358586,411,0.00018552624252321897
79,0.024498562490227773,0.009976770563125553,0.017104417577834166,418,0.0003983472413830744
80,0.029148924586809673,0.00599470862332122,0.015862468614003894,362,0.00036741936923162543
81,0.02419474468690119,0.005976327740582286,0.02034453319116529,506,0.00023053092966962175
82,0.023392475530149722,0.00874058622738704,0.01995043244320094,468,0.0002808043801371301
83,0.03170997220667932,0.002448128379071867,0.016884555454724996,342,0.0001685178203989324
84,0.028363436527884013,-0.00018713539242271466,0.020130741409759092,473,0.00016665097800436368
85,0.028414366542090355,0.007377559920833216,0.018291139311433703,366,0.00032000749232115127
86,0.03460860536384254,0.0035119429031174837,0.01425997533723542,283,0.00029871426427985055
87,0.03248321986562006,0.0016707524450161023,0.016623523176617413,424,0.00018484891868339728
88,0.029766574070512163,0.004774877333171571,0.019312681797854697,418,0.00013784227854155131
89,0.028135346199214185,0.005513950553586961,0.017131261778846097,437,0.00029876708174973873
90,0.03620670572736581,0.0007281767508417456,0.015974225974634913,363,7.456532721089259e-05
91,0.028397661627079306,0.001054912914885107,0.019733362917757073,504,0.0001461547527163424
92,0.03071119978072621,-0.002985737882298459,0.01771037388829049,452,0.00016335668253707376
93,0.03154549602337022,-0.0008963874687377526,0.018313205465290493,409,0.00017809371234048395
94,0.0297240606565293,-0.0008497690227607484,0.01843320020715598,390,0.0003301360637944177
95,0.03093361049634999,0.0012217715007720935,0.018320632293856363,454,0.00018961898533723518
96,0.02814430472441979,0.004278408260671624,0.019470644095826873,456,0.00020471758402622664
97,0.032172933202462735,0.005874847230522849,0.016698006023743554,344,0.00029784460349050867
98,0.03566116785138882,0.0014371213217652375,0.017174810565881254,340,0.00020563116822857976
99,0.02536130603034815,0.0016757376611602525,0.02117601832046091,496,0.0002960009920886843
100,0.033109021359926286,0.0028815821979342867,0.01785033297634642,339,0.00033548263844658007
101,0.037398324988552084,-0.00046316744413409203,0.014367779139384364,333,7.548338027663304e-05
102,0.035938448516776474,0.0011320663147454293,0.015668633402061365,334,0.000256764768163212
103,0.034573999291282284,0.0005930141398415297,0.016444476824380765,414,0.0002026638384105567
104,0.03213462651486071,0.0008364127023259807,0.022412588587894893,405,0.00016320533723993594
105,0.029040758701975526,0.003954403553731326,0.01992141572469406,475,0.00023536857400141187
106,0.03343644094020116,-0.0025364476823926756,0.01709052964316734,390,0.00032008822010886766
107,0.03287511090797072,-0.003234344600342414,0.01839046924075049,525,9.817493706718361e-05
108,0.024793039627679505,-0.005724340145123733,0.020966557470498984,493,0.0003098454169412366
109,0.03376771718223396,0.004594937300698607,0.017093024822563183,378,0.00020659823760723996
110,0.030561677786978672,-0.00014279767128054765,0.018029423125540192,451,0.0002956846400578254
111,0.02494303187366087,-0.006611786364422833,0.021599207865435323,453,0.0001851168014810123
112,0.036769675545661025,0.0005505672219574092,0.017415075912027733,302,0.00019770811996418398
113,0.033989737746419335,0.004150946741044948,0.016547702268237284,360,0.0003671396267970555
114,0.037126794202095775,-0.0019862020885861183,0.017009088362226428,363,0.00010980322816748555
115,0.033507576211051195,0.0010893620971244096,0.019212176396522593,387,0.0002454845192603324
116,0.03640922134671908,0.001872285815587171,0.017492274110483146,345,0.000172965231627657
117,0.03792768846998621,-0.005170149604067004,0.015106717264143277,337,0.00020597476986062332
118,0.02755444755870047,0.0023395387909197463,0.027764644414969942,634,7.66822559343605e-05
119,0.028146401431058756,0.0077184463531668,0.01995816176877054,495,0.00017241160732596296
120,0.031145425986314115,-0.0018621687945195396,0.02397459112263045,412,0.00034608095385883124
121,0.03631729630671057,-0.0057396226437834074,0.01566072056720877,370,0.00035362173373463315
122,0.03560390579350736,-0.00133161196078373,0.018745619730341005,401,0.00019249873368256515
123,0.03913418299758049,-0.0011091896647552094,0.016890210578305333,374,0.00010249216572200783
124,0.038432080175743955,0.0004844404465986095,0.016318590902267612,409,0.0001453416499800147
125,0.027501211010369234,-0.004671262138630594,0.02162143061393563,554,0.00019112823340390654
126,0.02100924261576375,-0.009331383893764773,0.023254307750779798,505,0.00020914542937454275
127,0.03273738768851425,-0.0018000776182342383,0.018301910833618606,464,0.0002709515294296525
128,0.020721655584284206,-0.006910693199204554,0.0232538932386075,507,0.00022503766295533744
129,0.025815350085088902,-0.0040411647386044015,0.023064958393053978,553,0.00018574364828019365
130,0.03689725363772143,-0.002341512761186386,0.01751531370017811,445,0.00020711343291021623
131,0.03714132700532199,0.0022309617360287146,0.021365822345111547,337,0.00022366563446515108
132,0.03916813027815618,0.004014709113207606,0.015386748573727162,326,0.00022627884111955641
133,0.03908580155888712,0.0052232587147519145,0.016546844636137047,287,0.00026807219872769316
134,0.035289713879899744,0.0007505043164878668,0.018142551860842304,392,0.0003183848393621587
135,0.03156497873612397,4.675704372863225e-06,0.018968983481493847,472,0.00030699006227875316
136,0.02719526065223869,-0.002591725756246142,0.021031302237315717,588,0.00033196213650310704
137,0.041710515429224104,3.398546618381983e-05,0.01675159764709568,366,7.42509110506806e-05
138,0.04356370529341387,0.001522322794221808,0.01496935976929103,361,7.498384577757089e-05
139,0.03181230093603449,-0.0051467415402941695,0.021933656061579848,473,0.0001598467849460628
140,0.03636543945566723,-0.004083875354017572,0.017608100459208565,438,0.00026554895894711177
141,0.03900878161112667,0.004005780746079584,0.017834886630470045,346,0.00022666174272341504
142,0.031719387328191524,-0.00570301159093713,0.02318325046665528,476,0.00012990047973495948
143,0.03300270091593252,-0.0018748840883418445,0.022417051321997446,521,0.00013994290545741136
144,0.03936391330606989,0.005279345834561295,0.01590850026257179,367,0.00022909771348226062
145,0.03807561363752914,0.003022645445616964,0.01789939830507338,409,0.00021663863388141059
146,0.0340063720031672,-0.005095221412293582,0.02159863561092511,436,0.00024619764649281233
147,0.04091855801846767,0.0056967337925833625,0.015028660907395677,292,0.00024632888416217254
148,0.04064113663953106,0.004150362278834882,0.01702947617121451,300,0.00024723601710393195
149,0.037969199572578625,0.005014175980928494,0.017444067317350813,374,0.0002051987111403884
150,0.03807817295593205,0.003566399237228867,0.02682690882836494,415,0.00014659397215006613
151,0.034625848531784256,-0.0051826304942996825,0.02261771193028998,476,7.932370353307208e-05
152,0.034231430997709665,-0.006121984493953493,0.02057438044267181,468,0.00024227647863655987
153,0.03552159535955485,-0.004601235787274233,0.022465271749540553,473,0.00014468147079160713
154,0.038860990389452,0.004036492473819361,0.01685110641310491,419,0.0002672459344587597
155,0.03927298890857276,0.003513977084410262,0.018392146032175507,467,0.0001596286414819519
156,0.044378797055306785,0.00022675191402045117,0.01631976577583173,391,7.647995588269896e-05
157,0.03929557827337463,-0.004124706519554235,0.017561906409813057,430,0.00016146786946094686
158,0.03195527691029526,0.001084504753509237,0.023249441471871322,578,0.0001672084792480328
159,0.04167587036028092,-0.001395957506718824,0.017869268485722473,345,0.00020517696444212518
160,0.04368769724444641,-0.0005287654616958208,0.017148442804701885,478,7.683712403974363e-05
161,0.041933724805414095,-0.004602973241744852,0.01655900983790399,339,0.00021776067095709284
162,0.043493021504359526,-0.001851221828251425,0.017572276117644194,351,0.00013135906925100207
163,0.04390095104914704,-0.001544987998487816,0.016442358705836598,406,0.00011404552415053944
164,0.040203876199113385,0.0022801971710532925,0.01782988059800737,399,0.00021366806804701112
165,0.04150418190943284,-0.003969829792323648,0.015974460323999067,391,0.00026450367986390305
166,0.02528637208794463,-0.007964440953786693,0.024583161635865512,501,0.0002603525556168549
167,0.04111270620131886,0.008425279124147068,0.015795423289374583,298,0.0003405993495803295
168,0.042546593822222256,-0.0004180211376553046,0.016315718320114945,392,0.0003178037701361396
169,0.04591654811041414,-0.0006461575277092767,0.016794917946816607,378,7.491718916789791e-05
170,0.04265868870153143,0.006160179558710373,0.01575109224996458,356,0.0002749626834515423
171,0.03985341509580165,0.005296891683345343,0.0200852486588129,478,0.0001532659789354382
172,0.03831508069132926,0.005725215986289332,0.01967255823077737,501,0.00017867705490598996
173,0.041847196588338194,0.004312497712118658,0.01685021908338445,455,0.00016266464045744944
174,0.0409983665856621,0.005156149469184823,0.01998726359736048,488,0.00010864159587032756
175,0.04313704338846571,-0.003254539845259586,0.01826951668097147,372,0.00019415657842743227
176,0.045480496804907886,-0.0034363899335526993,0.016630379060939192,312,0.0001459148567813294
177,0.047934156584379405,0.0009203822482668269,0.015371839711852967,300,7.599487804267668e-05
178,0.03403996191052274,0.0039168491036649855,0.029587927850992093,634,8.921326286994833e-05
179,0.04388728894668138,-0.0060623791296906294,0.016227503228011135,345,0.00023573626727107285
180,0.025928404938273412,-0.007931179059516177,0.024584707634029413,557,0.00022738853513437632
181,0.04606549934920631,0.0019840628007538625,0.016304323457965557,359,0.00017745042404447323
