history_driving,fatigue_local_fracture,fatigue_gradient_fracture,phase_objective_total,fatigue_factor_min,fatigue_factor_mean,iteration
0.004884805506708388,0.002434894274337766,0.0020417747964241433,0.009361474577470297,0.38751675201500496,0.9997533506756922,1
0.004886151729868714,0.002437664703921003,0.0020434070134433082,0.009367223447233026,0.3874563816286872,0.9997576440741173,2
0.004892789884115895,0.002445600251258397,0.0020475848096690266,0.009385974945043318,0.38724850395838945,0.9997638426158982,5
0.004902361595160342,0.0024573886914574235,0.002053227119435442,0.009412977406053208,0.3869593824844574,0.9997729417614925,10
0.00491648999459228,0.0024732962647896995,0.002062883492743123,0.009452669752125102,0.38655675402085654,0.9997889159910471,20
0.00493937652440435,0.0025044435862480235,0.0020810210739109795,0.009524841184563353,0.3858402492127374,0.9998211058771339,50
0.004965642657167452,0.002538308192184103,0.0021049110652342144,0.00960886191458577,0.3850127017291416,0.9998338871828439,100
0.005008026623986159,0.0026052444590712815,0.0021488249338299605,0.0097620960168874,0.38410295140982503,0.9998344863903187,200
0.005093508994028058,0.0027788411361140495,0.002279483384519839,0.010151833514661946,0.3842225719004573,0.9998351042834628,500
0.005146052482561432,0.00294679124485728,0.002415887675412151,0.010508731402830863,0.38433158466061385,0.999835457904469,900
0.005150524318279948,0.002965507412709854,0.0024315002113986664,0.010547531942388468,0.3843437260512116,0.9998354899967211,950
0.005152749044742004,0.0029751765386939115,0.0024396383934745837,0.010567563976910499,0.3843507574090594,0.9998355055711846,975
0.005153128876990541,0.0029773598859130397,0.0024409841730573785,0.01057147293596096,0.38435217064116617,0.9998355085844054,980
0.005153613765410166,0.002979235592769124,0.0024425684174430753,0.010575417775622365,0.38435370483100917,0.9998355116296992,985
0.005153952224769454,0.002981221296256086,0.002444094168648254,0.010579267689673794,0.38435511702701325,0.9998355145880587,990
0.00515428489973235,0.0029830365736463124,0.0024456832306628774,0.01058300470404154,0.3843564923012474,0.9998355174562367,995
0.005154604781656763,0.002983139302508513,0.0024461550131250594,0.010583899097290336,0.38435691103105674,0.9998355181144841,996
0.005154396562500445,0.0029838457416114243,0.0024462436593088895,0.01058448596342076,0.3843570181640142,0.9998355186142398,997
0.005154598019029679,0.0029842771439173186,0.0024465312186181705,0.010585406381565167,0.3843574769743493,0.9998355192934489,998
0.00515491844903592,0.0029842076498687586,0.002447114807094211,0.01058624090599889,0.38435782457122386,0.9998355199078255,999
0.005154830308287499,0.0029844930628070586,0.002447457030234002,0.010586780401328561,0.3843579230837301,0.9998355203469181,1000
