iteration,delta_l2,adjacent_delta_cosine,adjacent_delta_angle_deg,lag2_state_l2,lag3_state_l2,update_support_jaccard,lower_bound_active_jaccard,lower_bound_active_count
1,0.13315488911917986,nan,nan,nan,nan,nan,nan,85869
2,0.17463426884324004,0.8133138990437149,35.57901640571761,0.29334619495757625,nan,0.5089058524173028,0.9964368471919794,85583
3,0.17645760091636659,0.9726213615833942,13.438148336823046,0.34868054968877854,0.4617305143310168,0.8617283950617284,0.9987500730097542,85520
4,0.16190895402573266,0.9610035442130536,16.053573761600624,0.33505770085737663,0.5065233851458025,0.8090452261306532,0.9987960538619787,85481
5,0.18406830067653254,0.9253920181385029,22.27245760448484,0.3394897361564982,0.5109644027709491,0.7351694915254238,0.998853640276998,85397
6,0.1643569101283267,0.8307901742318338,33.82000624009608,0.3334095868632832,0.4903378257012911,0.7104166666666667,0.999016704320648,85373
7,0.15668939024606657,0.8894935763512141,27.190321249883947,0.31205606332363334,0.4865806298660607,0.8056872037914692,0.9992270395615206,85333
8,0.16242859631837414,0.9447613272130162,19.13281893919725,0.3146816619307259,0.46761124502756213,0.8780487804878049,0.9990157480314961,85271
9,0.13260193371676518,0.9390636189949141,20.10510660299607,0.2905478892389487,0.44442392364053446,0.8135964912280702,0.999132290518515,85219
10,0.14359791154041313,0.9406596166974106,19.837372915370086,0.27207813441972334,0.43057712861065894,0.8855140186915887,0.9993194724738349,85179
11,0.12920248442496504,0.8087908748332836,36.02203571376788,0.2594705592295709,0.3884014674645812,0.8512931034482759,0.9994013311577786,85148
12,0.12894683052617517,0.6800632384284937,47.151415084974474,0.23660223032291222,0.37148828587026017,0.8717391304347826,0.9991428906892098,85119
13,0.1183314481133527,0.825898207695265,34.32033827445863,0.2362911230105721,0.3483061086350096,0.6055226824457594,0.9990838295923041,85077
14,0.12308030100663499,0.6181739476796173,51.817091262240716,0.2171580000423969,0.3266641211341388,0.6918604651162791,0.9990483128113544,85066
15,0.14341581817312843,0.3857961258967352,67.30682637449381,0.22211875896135724,0.31398221995071096,0.8169556840077071,0.999083334312677,85038
16,0.1578265186146262,0.4578929455881064,62.748773508812285,0.2573051788079068,0.35192327359692654,0.8076923076923077,0.9986133471215202,85038
17,0.1062127710877637,0.5458925998682146,56.914318091462164,0.23343557468707615,0.3413797541417373,0.8138297872340425,0.9988360472635354,84973
18,0.10050791393749914,0.8512908393706924,31.64765302695632,0.19889302250117272,0.3224159863559093,0.825925925925926,0.9987998164425147,84899
19,0.11933043445765568,0.8445548652457937,32.37572530564771,0.21118756923685691,0.3075805534271654,0.8716577540106952,0.9963614954371505,84642
20,0.11956345582021667,0.7264289220329981,43.412152546137534,0.22195474257318829,0.30895918087412033,0.7802768166089965,0.9988425515832241,84598
21,0.09717186990845557,0.5783614597821078,54.664621215948934,0.19281295543867916,0.29815213913669897,0.6732142857142858,0.9990782103098631,84560
22,0.10089942179345739,0.646165686444548,49.746869002461835,0.1797048665020805,0.2642843014835445,0.8051001821493625,0.9990187037431132,84521
23,0.0841566716052652,0.6876895274670619,46.552507920809674,0.17012312219410045,0.24813546005493084,0.7616387337057728,0.9991601410016797,84484
24,0.1420623448927747,0.18506415002443136,79.3351274942597,0.17801438684004106,0.2468480048733247,0.7941834451901566,0.9990180303819034,84481
25,0.1459181226683165,-0.30224544249915974,107.59251963727895,0.17012651847805266,0.2301043737997433,0.7635135135135135,0.9993017007728634,84442
26,0.10678758827934484,0.4100239309781604,65.79366188322662,0.21324604039274714,0.22827711896885958,0.8678414096916299,0.9989226434304928,84399
27,0.10087068900293815,0.18979733294825243,79.05904297876954,0.16021042116037984,0.2810027685465395,0.7440944881889764,0.999111690157527,84386
28,0.0849460577610034,0.36640260089094806,68.5060733225982,0.15384998983707598,0.2208011394238485,0.6792035398230089,0.9991113954645624,84343
