comparison,field,left_area_weighted_mean,right_area_weighted_mean,right_minus_left_area_weighted_mean,left_area_weighted_integral,right_area_weighted_integral,right_minus_left_area_weighted_integral,left_support_area_abs_1e15,right_support_area_abs_1e15,right_minus_left_support_area_abs_1e15,left_support_area_rel_1pct,right_support_area_rel_1pct,right_minus_left_support_area_rel_1pct,left_weighted_centroid_x,right_weighted_centroid_x,right_minus_left_weighted_centroid_x,left_weighted_centroid_y,right_weighted_centroid_y,right_minus_left_weighted_centroid_y,left_weighted_rms_width_x,right_weighted_rms_width_x,right_minus_left_weighted_rms_width_x,left_weighted_rms_width_y,right_weighted_rms_width_y,right_minus_left_weighted_rms_width_y,p0_cycle,t3_cycle
same_cycle_c20,damage,0.009004437404146297,0.00861756840603396,-0.0003868689981123361,0.009004437404146295,0.008617568406033959,-0.0003868689981123361,0.027969396863671246,0.026733860958228536,-0.0012355359054427098,0.022387883408793264,0.021088879760779035,-0.001299003648014229,-0.2114195918185849,-0.23150517699276588,-0.020085585174180964,-0.00025982418421383887,-0.00020512863767568648,5.4695546538152386e-05,0.16575041168185387,0.15558621965375005,-0.010164192028103813,0.007209767068053384,0.00694028042146614,-0.000269486646587244,20,20
same_cycle_c20,history,0.09153479228743644,0.07651051543625442,-0.015024276851182017,0.09153479228743643,0.07651051543625441,-0.015024276851182017,0.9999999999999999,0.9999999999999999,0.0,0.5693761831554206,0.5831325041341697,0.013756320978749126,0.22522094074385365,0.21631115195840153,-0.008909788785452122,-0.00014388137865313652,-0.00015834575410631112,-1.4464375453174602e-05,0.16631663138797811,0.17254980543797388,0.0062331740499957655,0.27338740037855375,0.27356843342077264,0.00018103304221889216,20,20
same_cycle_c20,fatigue_degradation_deficit,0.0011635851830431858,0.0008635382080316794,-0.0003000469750115064,0.0011635851830431856,0.0008635382080316793,-0.0003000469750115063,0.006102998978560219,0.0031604039679811466,-0.0029425950105790724,0.005849509935169169,0.0029742719098049203,-0.0028752380253642485,0.06846642625309766,0.01512509887799626,-0.0533413273751014,0.0005739040557154073,-0.015203863822457964,-0.015777767878173372,0.1485902325045295,0.11404060286261683,-0.03454962964191266,0.15022567610612406,0.0863028444994571,-0.06392283160666695,20,20
same_cycle_c20,ordinary_degradation_deficit,0.012134075612836014,0.011557995693230605,-0.0005760799196054094,0.012134075612836012,0.011557995693230603,-0.0005760799196054094,0.027969396863671246,0.026733860958228536,-0.0012355359054427098,0.02362242109346911,0.02233784389086934,-0.0012845772025997688,-0.21075291646918176,-0.23055625066470029,-0.019803334195518524,-0.000261394638342417,-0.000204096409818474,5.729822852394299e-05,0.16622989504979904,0.15604877743463683,-0.010181117615162216,0.008111136922373011,0.007771488596893214,-0.0003396483254797973,20,20
same_cycle_c20,raw_driver,2.2430661725999657,1.6887262230937867,-0.5543399495061789,2.243066172599965,1.6887262230937865,-0.5543399495061787,0.9999999999999999,0.9999999999999999,0.0,0.001146001815135673,0.0011036738412779398,-4.232797385773316e-05,-0.27253481220569287,-0.28579824092182554,-0.013263428716132675,-0.0003939573709829651,-0.0004447628946437541,-5.0805523660789006e-05,0.1452733929848213,0.1378436307432208,-0.007429762241600496,0.011825456299752705,0.012698085246656247,0.000872628946903542,20,20
same_cycle_c20,raw_cyclemax_driver,2.243092990444337,1.6887377550515807,-0.5543552353927563,2.2430929904443366,1.6887377550515805,-0.5543552353927561,0.9999999999999999,0.9999999999999999,0.0,0.001146001815135673,0.0011036738412779398,-4.232797385773316e-05,-0.27253084316343745,-0.285796074836222,-0.013265231672784539,-0.00039395495000480574,-0.0004447595756290482,-5.080462562424246e-05,0.14527705961211873,0.1378456523806351,-0.007431407231483639,0.011825390939842556,0.012698043810691548,0.0008726528708489917,20,20
same_cycle_c20,active_driver,0.004265794059799146,0.003691035669330481,-0.0005747583904686655,0.0042657940597991455,0.0036910356693304804,-0.0005747583904686651,0.9999999999999999,0.9999999999999999,0.0,0.011977248258553458,0.013261713245739395,0.001284464987185938,0.24069536580736992,0.22406254890846564,-0.01663281689890428,-0.0003068741137316358,-0.00022573897265436806,8.113514107726776e-05,0.16160030072321682,0.17070980169713018,0.00910950097391336,0.27041084821143646,0.27098891709033013,0.0005780688788936672,20,20
same_cycle_c30,damage,0.01013685230419395,0.009206076430426483,-0.0009307758737674664,0.010136852304193948,0.009206076430426481,-0.0009307758737674664,0.0316185913290635,0.028730098879382306,-0.0028884924496811945,0.02528565259523521,0.022573016664452467,-0.002712635930782744,-0.17670930074707628,-0.21319272215755608,-0.036483421410479805,-0.0002917850175922483,-0.00022775446014619297,6.403055744605535e-05,0.18454440089387056,0.166090907536559,-0.018453493357311557,0.008294362778363934,0.007317733153441859,-0.0009766296249220747,30,30
same_cycle_c30,history,0.1307704992594748,0.11160631332344963,-0.01916418593602516,0.13077049925947476,0.11160631332344961,-0.019164185936025147,0.9999999999999999,0.9999999999999999,0.0,0.5479204433511558,0.5712439288583286,0.023323485507172892,0.23633128774480486,0.223551891883892,-0.012779395860912868,-0.000187250885729785,-0.00019411415272872854,-6.863266998943535e-06,0.1614525384834234,0.16852852780327823,0.007075989319854842,0.27249350873835265,0.2731820164312617,0.0006885076929090683,30,30
same_cycle_c30,fatigue_degradation_deficit,0.002678397679918068,0.0021624036316728887,-0.0005159940482451792,0.0026783976799180675,0.0021624036316728883,-0.0005159940482451792,0.01384625011241546,0.009576298344416284,-0.004269951767999176,0.01301359908085975,0.00913525437181319,-0.00387834470904656,0.1409046217971699,0.08678732636805751,-0.05411729542911238,0.012044867721389487,0.01445237248070946,0.0024075047593199728,0.17683581127160578,0.16822428712485263,-0.008611524146753147,0.21159220284782934,0.17648969447650067,-0.03510250837132867,30,30
same_cycle_c30,ordinary_degradation_deficit,0.013660295805425863,0.01235324053053149,-0.0013070552748943726,0.01366029580542586,0.012353240530531488,-0.0013070552748943726,0.0316185913290635,0.028730098879382306,-0.0028884924496811945,0.026482274537898642,0.023905610396213375,-0.002576664141685267,-0.17595826136017237,-0.21209318407400338,-0.03613492271383101,-0.0003046766553401037,-0.00023148529378915373,7.319136155095e-05,0.18505853434454772,0.1665974279093205,-0.01846110643522722,0.009477749341920376,0.008256014141378736,-0.0012217352005416404,30,30
same_cycle_c30,raw_driver,2.5518622623822056,1.8239081141567055,-0.7279541482255001,2.551862262382205,1.8239081141567053,-0.7279541482254999,0.9999999999999999,0.9999999999999999,0.0,0.0012735089702382422,0.0011671596701003596,-0.00010634930013788259,-0.24441979081793158,-0.2710134575905157,-0.026593666772584124,-0.00035566427588609164,-0.0004148550842863482,-5.919080840025655e-05,0.16093653486681134,0.145991798433874,-0.014944736432937339,0.010237386969839998,0.011760845058021923,0.0015234580881819254,30,30
same_cycle_c30,raw_cyclemax_driver,2.5519178020017277,1.8239311567621015,-0.7279866452396262,2.5519178020017272,1.8239311567621013,-0.727986645239626,0.9999999999999999,0.9999999999999999,0.0,0.0012735089702382422,0.0011671596701003596,-0.00010634930013788259,-0.24441185865496415,-0.2710092381416763,-0.026597379486712175,-0.0003556517755487754,-0.0004148552507491379,-5.9203475200362535e-05,0.16094376545384895,0.14599570275049226,-0.01494806270335669,0.010237298112014452,0.011760776894671473,0.0015234787826570208,30,30
same_cycle_c30,active_driver,0.0037167973017769394,0.003455344763993488,-0.00026145253778345114,0.003716797301776939,0.0034553447639934878,-0.00026145253778345114,0.9999999999999999,0.9999999999999999,0.0,0.010688618609786173,0.0122086120327962,0.001519993423010027,0.2696989886592061,0.23939262142470089,-0.03030636723450522,-5.3072311150665233e-05,-0.0003251333227515122,-0.000272061011600847,0.15055079093908366,0.16449897815153675,0.013948187212453084,0.26721982769162056,0.26947202633641876,0.002252198644798198,30,30
