comparison,field,left_area_weighted_mean,right_area_weighted_mean,right_minus_left_area_weighted_mean,left_area_weighted_integral,right_area_weighted_integral,right_minus_left_area_weighted_integral,left_support_area_abs_1e15,right_support_area_abs_1e15,right_minus_left_support_area_abs_1e15,left_support_area_rel_1pct,right_support_area_rel_1pct,right_minus_left_support_area_rel_1pct,left_weighted_centroid_x,right_weighted_centroid_x,right_minus_left_weighted_centroid_x,left_weighted_centroid_y,right_weighted_centroid_y,right_minus_left_weighted_centroid_y,left_weighted_rms_width_x,right_weighted_rms_width_x,right_minus_left_weighted_rms_width_x,left_weighted_rms_width_y,right_weighted_rms_width_y,right_minus_left_weighted_rms_width_y,case_id,start_cycle,end_cycle
P0_parent_c30_to_c31,damage,0.01013685230419395,0.010237898425538535,0.00010104612134458589,0.010136852304193948,0.010237898425538534,0.00010104612134458589,0.0316185913290635,0.03195789360618924,0.0003393022771257387,0.02528565259523521,0.025553531732051885,0.0002678791368166747,-0.17670930074707628,-0.17365350944735858,0.0030557912997176973,-0.0002917850175922483,-0.0002940712484911986,-2.286230898950294e-06,0.18454440089387056,0.18617452831924225,0.0016301274253716913,0.008294362778363934,0.008446896287432679,0.00015253350906874533,P0_parent,30,31
P0_parent_c30_to_c31,history,0.1307704992594748,0.13438848861092942,0.0036179893514546313,0.13077049925947476,0.1343884886109294,0.0036179893514546313,0.9999999999999999,0.9999999999999999,0.0,0.5479204433511558,0.5458332256014141,-0.002087217749741632,0.23633128774480486,0.2374936833921598,0.0011623956473549302,-0.000187250885729785,-0.00018470501428968588,2.5458714400991285e-06,0.1614525384834234,0.16100908248421933,-0.0004434559992040621,0.27249350873835265,0.27239682067885757,-9.668805949508696e-05,P0_parent,30,31
P0_parent_c30_to_c31,fatigue_degradation_deficit,0.002678397679918068,0.002875320686229396,0.00019692300631132809,0.0026783976799180675,0.0028753206862293956,0.00019692300631132809,0.01384625011241546,0.01503377324835219,0.00118752313593673,0.01301359908085975,0.014066492522200047,0.0010528934413402968,0.1409046217971699,0.14662088676181093,0.005716264964641032,0.012044867721389487,0.011381922367047444,-0.0006629453543420434,0.17683581127160578,0.17730176792826668,0.0004659566566609097,0.21159220284782934,0.21485593134198194,0.0032637284941526012,P0_parent,30,31
P0_parent_c30_to_c31,ordinary_degradation_deficit,0.013660295805425863,0.013797459275278378,0.00013716346985251544,0.01366029580542586,0.013797459275278376,0.00013716346985251544,0.0316185913290635,0.03195789360618924,0.0003393022771257387,0.026482274537898642,0.026757348149991998,0.00027507361209335585,-0.17595826136017237,-0.17287344461190643,0.0030848167482659394,-0.0003046766553401037,-0.0003098021249339165,-5.125469593812758e-06,0.18505853434454772,0.1867031188521331,0.0016445845075853671,0.009477749341920376,0.009667585691619403,0.0001898363496990272,P0_parent,30,31
P0_parent_c30_to_c31,raw_driver,2.5518622623822056,2.57718845159653,0.02532618921432439,2.551862262382205,2.5771884515965295,0.02532618921432439,0.9999999999999999,0.9999999999999999,0.0,0.0012735089702382422,0.00128134045419325,7.831483955007823e-06,-0.24441979081793158,-0.24206940734822577,0.0023503834697058135,-0.00035566427588609164,-0.00035221899315229793,3.445282733793712e-06,0.16093653486681134,0.16225335194077703,0.0013168170739656926,0.010237386969839998,0.010114123911901815,-0.00012326305793818222,P0_parent,30,31
P0_parent_c30_to_c31,raw_cyclemax_driver,2.5519178020017277,2.577225210898089,0.025307408896361405,2.5519178020017272,2.5772252108980886,0.025307408896361405,0.9999999999999999,0.9999999999999999,0.0,0.0012735089702382422,0.00128134045419325,7.831483955007823e-06,-0.24441185865496415,-0.2420641512961365,0.0023477073588276387,-0.0003556517755487754,-0.00035220510665812614,3.446668890649243e-06,0.16094376545384895,0.16225816357324846,0.0013143981193995125,0.010237298112014452,0.010114062860833252,-0.00012323525118120016,P0_parent,30,31
P0_parent_c30_to_c31,active_driver,0.0037167973017769394,0.0036698518608887397,-4.6945440888199706e-05,0.003716797301776939,0.0036698518608887392,-4.6945440888199706e-05,0.9999999999999999,0.9999999999999999,0.0,0.010688618609786173,0.01043507670303108,-0.0002535419067550941,0.2696989886592061,0.2721202583868897,0.0024212697276835837,-5.3072311150665233e-05,-8.957550295172188e-05,-3.6503191801056644e-05,0.15055079093908366,0.14978883558127487,-0.0007619553578087912,0.26721982769162056,0.26697301870758955,-0.0002468089840310106,P0_parent,30,31
T3_loading_history_c30_to_c31,damage,0.009206076430426483,0.009398724705222256,0.00019264827479577307,0.009206076430426481,0.009398724705222255,0.00019264827479577307,0.028730098879382306,0.029348057433457933,0.0006179585540756274,0.022573016664452467,0.0230453930436227,0.00047237637917023345,-0.21319272215755608,-0.20767556970986795,0.005517152447688134,-0.00022775446014619297,-0.000255640403672367,-2.7885943526174e-05,0.166090907536559,0.1691802639004643,0.00308935636390531,0.007317733153441859,0.007939210038573449,0.0006214768851315897,T3_loading_history,30,31
T3_loading_history_c30_to_c31,history,0.11160631332344963,0.11614649887243345,0.004540185548983819,0.11160631332344961,0.11614649887243343,0.004540185548983819,0.9999999999999999,0.9999999999999999,0.0,0.5712439288583286,0.5708106600486259,-0.00043326880970273596,0.223551891883892,0.22465653739014874,0.0011046455062567462,-0.00019411415272872854,-0.00020109622766059128,-6.982074931862739e-06,0.16852852780327823,0.16797006061477746,-0.0005584671885007775,0.2731820164312617,0.2731025738527804,-7.944257848130354e-05,T3_loading_history,30,31
T3_loading_history_c30_to_c31,fatigue_degradation_deficit,0.0021624036316728887,0.0023731968567254056,0.0002107932250525169,0.0021624036316728883,0.002373196856725405,0.0002107932250525169,0.009576298344416284,0.010455878472603632,0.0008795801281873475,0.00913525437181319,0.009992205655861574,0.0008569512840483837,0.08678732636805751,0.0932117188038849,0.006424392435827389,0.01445237248070946,0.014857773320620946,0.00040540083991148605,0.16822428712485263,0.17011303484301413,0.0018887477181614987,0.17648969447650067,0.18132494077186612,0.004835246295365442,T3_loading_history,30,31
T3_loading_history_c30_to_c31,ordinary_degradation_deficit,0.01235324053053149,0.012611967145948207,0.00025872661541671664,0.012353240530531488,0.012611967145948205,0.00025872661541671664,0.028730098879382306,0.029348057433457933,0.0006179585540756274,0.023905610396213375,0.02442318654160211,0.0005175761453887345,-0.21209318407400338,-0.20647401586122519,0.005619168212778192,-0.00023148529378915373,-0.00026760115059909864,-3.611585680994491e-05,0.1665974279093205,0.16976008316713453,0.0031626552578140343,0.008256014141378736,0.009050269161326204,0.0007942550199474679,T3_loading_history,30,31
T3_loading_history_c30_to_c31,raw_driver,1.8239081141567055,2.540962290738836,0.7170541765821306,1.8239081141567053,2.5409622907388356,0.7170541765821303,0.9999999999999999,0.9999999999999999,0.0,0.0011671596701003596,0.0011831641315255762,1.600446142521663e-05,-0.2710134575905157,-0.26686231029432544,0.004151147296190261,-0.0004148550842863482,-0.0004092038139852758,5.651270301072395e-06,0.145991798433874,0.14824345049192786,0.00225165205805386,0.011760845058021923,0.011494314124687077,-0.0002665309333348461,T3_loading_history,30,31
T3_loading_history_c30_to_c31,raw_cyclemax_driver,1.8239311567621015,2.541028029705039,0.7170968729429377,1.8239311567621013,2.5410280297050387,0.7170968729429374,0.9999999999999999,0.9999999999999999,0.0,0.0011671596701003596,0.0011831641315255762,1.600446142521663e-05,-0.2710092381416763,-0.26685372511477334,0.004155513026902979,-0.0004148552507491379,-0.00040920558030249003,5.649670446647892e-06,0.14599570275049226,0.14825121016597478,0.002255507415482527,0.011760776894671473,0.011494208181147448,-0.0002665687135240246,T3_loading_history,30,31
T3_loading_history_c30_to_c31,active_driver,0.003455344763993488,0.00458845109587044,0.0011331063318769522,0.0034553447639934878,0.0045884510958704395,0.0011331063318769517,0.9999999999999999,0.9999999999999999,0.0,0.0122086120327962,0.017687398281026813,0.0054787862482306125,0.23939262142470089,0.24583715312889418,0.00644453170419329,-0.0003251333227515122,-0.0003646601832701408,-3.952686051862859e-05,0.16449897815153675,0.1602638131884616,-0.004235164963075133,0.26947202633641876,0.2697125842172757,0.00024055788085691754,T3_loading_history,30,31
P0_parent_c60_to_c61,damage,0.014632605232816306,0.01481635945255548,0.0001837542197391743,0.014632605232816304,0.014816359452555479,0.0001837542197391743,0.04768440924996798,0.04819968532634502,0.0005152760763770386,0.03649038407451154,0.036917744813713974,0.000427360739202437,-0.04593327381650743,-0.0407529656883247,0.00518030812818273,-0.0005018654031649484,-0.000503069488879347,-1.2040857143986701e-06,0.25278797025587685,0.25545926196598473,0.0026712917101078815,0.012250984159100156,0.012302999917456169,5.201575835601241e-05,P0_parent,60,61
P0_parent_c60_to_c61,history,0.20942647461201333,0.21096265300940695,0.0015361783973936172,0.2094264746120133,0.21096265300940692,0.0015361783973936172,0.9999999999999999,0.9999999999999999,0.0,0.49485248320511016,0.49329884322983225,-0.0015536399752779095,0.2696204379214715,0.27047495288610107,0.0008545149646295713,-0.00024141840885427663,-0.00024198515273114355,-5.667438768669182e-07,0.15562884666637866,0.1557181159398369,8.926927345823121e-05,0.2681912727627447,0.2680077061497682,-0.00018356661297647126,P0_parent,60,61
P0_parent_c60_to_c61,fatigue_degradation_deficit,0.019947430461899243,0.021240879900994408,0.001293449439095165,0.01994743046189924,0.021240879900994405,0.001293449439095165,0.1692529893130037,0.18177852315002624,0.01252553383702254,0.1508671654690627,0.16260653905609837,0.011739373587035667,0.3073067743094706,0.3126472094980701,0.005340435188599502,-0.00026685336553159,-0.00017537238664390084,9.148097888768918e-05,0.14084274669436153,0.13917432746345273,-0.0016684192309087964,0.24916242389610635,0.24906305571047607,-9.93681856302775e-05,P0_parent,60,61
