case_id,cycle,peak_substep_ordinal,load_factor,field,min,max,area_weighted_mean,area_weighted_integral,p50,p95,p99,support_area_abs_1e15,support_area_rel_1pct,weighted_centroid_x,weighted_centroid_y,weighted_rms_width_x,weighted_rms_width_y
P0_parent,1,4,1.0,damage,0.0,0.9996211328809718,0.007863832888192413,0.007863832888192411,0.0,0.0,0.3123589570229144,0.023853216170193207,0.01955540119531047,-0.24722939762589607,-0.0003112120113742246,0.14568490182306973,0.006766581154391493
P0_parent,1,4,1.0,history,0.00023622737837697416,0.24153026755421164,0.004938583253846183,0.004938583253846182,0.004286902619973722,0.011336055674092287,0.01938934656573535,0.9999999999999999,0.563219564691312,0.19943882703239907,-0.000178992446256428,0.18953678863777026,0.2728720341909737
P0_parent,1,4,1.0,fatigue_degradation_deficit,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan
P0_parent,1,4,1.0,ordinary_degradation_deficit,0.0,0.9999997448172553,0.01060026947866509,0.010600269478665087,0.0,0.0,0.5261193085531107,0.023853216170193207,0.02064698465802943,-0.2465723141485412,-0.0003065731761972223,0.1461739906923752,0.007547327363261489
P0_parent,1,4,1.0,raw_driver,3.519765223196638e-09,4258.230439911947,1.899982780274525,1.8999827802745248,0.0042560704459986215,0.011312224275462843,0.020030249274376327,0.9999999999999999,0.001013369477388175,-0.302759678578252,-0.000481679145055243,0.12843885505620073,0.013825853067767456
P0_parent,1,4,1.0,raw_cyclemax_driver,0.0002297011621570133,4258.230439911947,1.902511109695681,1.9025111096956808,0.004469676232462678,0.011495640550256356,0.021406011060540835,0.9999999999999999,0.001013369477388175,-0.3026186969311419,-0.0004808010187499284,0.12852735646839747,0.013891330117291227
P0_parent,1,4,1.0,active_driver,3.519765223196638e-09,1.6142942910175837,0.004847852773469057,0.004847852773469056,0.004238397312365305,0.011224791739437134,0.018794676076417202,0.9999999999999999,0.014559407786126253,0.20917640594663045,-0.00017951435573391084,0.17614701506653177,0.2732005489410081
P0_parent,2,4,1.0,damage,0.0,0.9996211328809718,0.007873379988923575,0.007873379988923573,0.0,0.0,0.3124044389376216,0.02421200733118605,0.019585258151295845,-0.2469802118858694,-0.0003123075651953572,0.14579352466912002,0.0067719040092450765
P0_parent,2,4,1.0,history,0.0002362325654180807,0.5021635567313278,0.00973766801431397,0.009737668014313968,0.008532836533229681,0.02256025986307341,0.038221732690375626,0.9999999999999999,0.5571912350413256,0.20636508497540987,-0.00017216859215372945,0.18100132605271452,0.27363115336816235
P0_parent,2,4,1.0,fatigue_degradation_deficit,0.0,0.16257210845805137,2.470373908493554e-06,2.4703739084935537e-06,0.0,0.0,0.0,3.5326950801893524e-05,3.5326950801893524e-05,-0.0013285923751518403,-9.311673854390643e-05,0.027072957867786778,0.0010639877439164065
P0_parent,2,4,1.0,ordinary_degradation_deficit,0.0,0.9999997448172553,0.010613322497980478,0.010613322497980476,0.0,0.0,0.5261795635164365,0.02421200733118605,0.020665610962617695,-0.24632027781272955,-0.0003083187533328497,0.14628343335762184,0.007553400145164118
P0_parent,2,4,1.0,raw_driver,3.5086618913361813e-09,4262.554852839243,1.9048002628639702,1.90480026286397,0.004231525452936867,0.011305584692839946,0.02002618149195068,0.9999999999999999,0.001013369477388175,-0.30228346032787895,-0.00047961659158233416,0.1287445706197291,0.013799725339783724
P0_parent,2,4,1.0,raw_cyclemax_driver,3.5086618913361813e-09,4262.554852839243,1.9048002628639702,1.90480026286397,0.004231525452936867,0.011305584692839946,0.02002618149195068,0.9999999999999999,0.001013369477388175,-0.30228346032787895,-0.00047961659158233416,0.1287445706197291,0.013799725339783724
P0_parent,2,4,1.0,active_driver,3.5086618913361813e-09,1.614962616981513,0.004844573580213189,0.004844573580213188,0.004212441222069935,0.011223245112387412,0.01881267771016901,0.9999999999999999,0.014565733267021378,0.20939336807800737,-0.0001613573351286914,0.17599728872170123,0.2731188248321608
P0_parent,3,4,1.0,damage,0.0,0.9996211328809718,0.007876307206434261,0.00787630720643426,0.0,0.0,0.3124140721974415,0.024246540028730765,0.019589012211320637,-0.24691080466427703,-0.00030976087919492456,0.1458212363498686,0.0067737410733328465
P0_parent,3,4,1.0,history,0.00023623774145279438,0.7627504918502718,0.014535107084746242,0.01453510708474624,0.01274921078090945,0.03377467261529132,0.05693812900277523,0.9999999999999999,0.5561677657580515,0.20875504434749503,-0.0001660497909464567,0.17792161440412868,0.2738722839833597
P0_parent,3,4,1.0,fatigue_degradation_deficit,0.0,0.3612959413832719,1.6932753182710017e-05,1.6932753182710014e-05,0.0,0.0,0.0,0.00015789470945134387,0.00015112771318832004,-0.03494654876040604,0.00011481362736324203,0.09553676370332412,0.0016356497730428958
P0_parent,3,4,1.0,ordinary_degradation_deficit,0.0,0.9999997448172553,0.01061701170861961,0.010617011708619608,0.0,0.0,0.5262059191388169,0.024246540028730765,0.020677230748467758,-0.2462578102088372,-0.00030535350134594963,0.14630704311492554,0.007555661824230044
P0_parent,3,4,1.0,raw_driver,3.5060916747879414e-09,4265.172567835649,1.907519572830197,1.9075195728301968,0.0042178370368010695,0.0113075710095384,0.02003307756476995,0.9999999999999999,0.0010173106285772137,-0.30201640857896905,-0.0004784601635536717,0.12891615387318883,0.013785148730588021
P0_parent,3,4,1.0,raw_cyclemax_driver,3.5060916747879414e-09,4265.172567835649,1.907519572830197,1.9075195728301968,0.0042178370368010695,0.0113075710095384,0.02003307756476995,0.9999999999999999,0.0010173106285772137,-0.30201640857896905,-0.0004784601635536717,0.12891615387318883,0.013785148730588021
P0_parent,3,4,1.0,active_driver,3.5060916747879414e-09,1.6183223652732988,0.004843004025981093,0.004843004025981092,0.004201062524782213,0.011230793295097831,0.018828792489093756,0.9999999999999999,0.014450867725595755,0.20950072136800044,-0.00014988212004130228,0.17591985757810483,0.27306739386970785
P0_parent,4,4,1.0,damage,0.0,0.9996339387965759,0.007879933455146064,0.007879933455146062,0.0,0.0,0.3124140721974415,0.024292747869905082,0.01959218062170273,-0.2467984194649237,-0.00030831542095227275,0.1458822302545752,0.00677459040876266
P0_parent,4,4,1.0,history,0.00023624291118583876,1.0039884157652401,0.019329902045228747,0.019329902045228744,0.016858299104504298,0.044990919271137034,0.07571332333872481,0.9999999999999999,0.5567798650225873,0.20999392634890915,-0.0001616903271011895,0.17632215854675237,0.2739969770771254
P0_parent,4,4,1.0,fatigue_degradation_deficit,0.0,0.5453683193973691,4.6707568261010735e-05,4.670756826101073e-05,0.0,0.0,0.0,0.0002836029386389508,0.0002706504713545376,-0.04070352902613793,-0.0035073764129402753,0.11283197131165192,0.04243151830680698
P0_parent,4,4,1.0,ordinary_degradation_deficit,0.0,0.9999997617763473,0.010620893840528787,0.010620893840528785,0.0,0.0,0.5262059191388169,0.024292747869905082,0.020681131993910126,-0.24616862482936813,-0.0003038599838422256,0.14635494861289422,0.0075569386202692145
P0_parent,4,4,1.0,raw_driver,3.5048531784796624e-09,4266.819570562587,1.9091427564670622,1.909142756467062,0.004207243035809866,0.011304242759418208,0.020057274916730518,0.9999999999999999,0.0010173106285772137,-0.30186188055061236,-0.0004777935556043407,0.12901131713999647,0.013776226031015994
P0_parent,4,4,1.0,raw_cyclemax_driver,3.5048531784796624e-09,4266.819570562587,1.9091427564670622,1.909142756467062,0.004207243035809866,0.011304242759418208,0.020057274916730518,0.9999999999999999,0.0010173106285772137,-0.30186188055061236,-0.0004777935556043407,0.12901131713999647,0.013776226031015994
P0_parent,4,4,1.0,active_driver,3.5048531784796624e-09,1.6188467872093606,0.004840401564414277,0.004840401564414276,0.00419348867386546,0.011233997821107046,0.018837438648986835,0.9999999999999999,0.014428639828011697,0.20963669817309305,-0.00014472911601376496,0.17586117329041542,0.2730790066058352
P0_parent,5,4,1.0,damage,0.0,0.9996742503247086,0.007957808260220765,0.007957808260220764,0.0,0.0,0.3127184473937877,0.024432120268459985,0.019767402580361824,-0.24436588067740925,-0.0002880739132327847,0.1472457579117495,0.006784093532535842
P0_parent,5,4,1.0,history,0.000236247997155057,1.149617893918863,0.024088645038970232,0.02408864503897023,0.02087980490252018,0.056207369530837645,0.09450035672615237,0.9999999999999999,0.5634704198072749,0.2111574539052766,-0.00013963011317558448,0.17511633893572665,0.27399262254136364
