case_id,cycle,load_factor,threshold,support_area,centroid_x,centroid_y,rms_width_x,rms_width_y,crack_tip_x,damaged_component_size,right_boundary_connected_size,event_hit_reconstructed
P0_parent,1,1.0,0.009996211328809719,0.01955540119531047,-0.24723280817995194,-0.00031265089850616474,0.14567610085100044,0.0067342082391193565,0.0,505,0,False
P0_parent,2,1.0,0.0001353531298445121,0.004236015813738661,-0.039604402459749,-0.0012900254245927266,0.06974657783170873,0.010114438989912941,0.0,506,0,False
P0_parent,3,1.0,0.00015174045867538677,0.0019786345643107335,-0.058085799901520574,0.0067021212663177536,0.09031436723265476,0.00789783444640388,0.0,506,0,False
P0_parent,4,1.0,0.00047302433535010516,0.0008694239726889463,-0.0003492589567297565,0.003155311248483556,0.005746493292209199,0.007010520518769218,0.0,506,0,False
P0_parent,5,1.0,0.004000763672410168,0.0014060157807520863,0.005784221261336325,0.0017607522474580007,0.013930918549867218,0.006962156527154616,0.004593788287886751,512,0,False
P0_parent,6,1.0,0.0009621260206412674,0.0011431899459275522,0.008711299114422278,0.00019185424842396189,0.005505861406972566,0.007030667437614709,0.004593788287886751,512,0,False
P0_parent,7,1.0,0.003756619852276084,0.0012342982847847457,0.012426600072137537,0.001682034542415566,0.008882174011643769,0.006657388659377689,0.008699759286983855,517,0,False
P0_parent,8,1.0,0.002819026263217595,0.0010982787104023028,0.016587776104485048,0.0008398241590158289,0.005772422684192814,0.006482730383741762,0.01296184019169501,520,0,False
P0_parent,9,1.0,0.004144959873769748,0.0011018823663282887,0.02074502569330335,0.0008527803724930587,0.005911872626677257,0.006501969392443723,0.0171271169966146,525,0,False
P0_parent,10,1.0,0.003218680950429393,0.0014419954884814707,0.02368814324587818,-6.33512203210063e-05,0.007333152029823614,0.007312511613483701,0.02108437922642066,528,0,False
P0_parent,11,1.0,0.002415610989552437,0.0013665658169046933,0.02698863871362847,0.00027832884930270894,0.0071934534821573946,0.007464900349069625,0.02304844825262887,531,0,False
P0_parent,12,1.0,0.003127850445400855,0.0012506711658700604,0.03095807411570211,7.141436286323701e-05,0.00642038343584048,0.006863568541369743,0.02697956206701656,535,0,False
P0_parent,13,1.0,0.003466955994037615,0.001262790657294262,0.034886814131432894,-0.00018559181771871035,0.006408286114415269,0.007332699328635498,0.03094146528725019,539,0,False
P0_parent,14,1.0,0.002801904512978461,0.0014799356771446816,0.038168507541329236,0.00019981710732764794,0.0070693578356186325,0.007508199615357066,0.03492464328938209,542,0,False
P0_parent,15,1.0,0.0033703299660580517,0.0013105945125236064,0.042475865665015405,-0.0006686903546357432,0.006577048315653862,0.0073585902826797875,0.0389081965725947,547,0,False
P0_parent,16,1.0,0.003344465476433731,0.001577378863753364,0.04613958272359884,0.00037454205801579286,0.007629781296813426,0.007571865825696361,0.04287966542624064,551,0,False
