comparison,field,left_area_weighted_mean,right_area_weighted_mean,right_minus_left_area_weighted_mean,left_area_weighted_integral,right_area_weighted_integral,right_minus_left_area_weighted_integral,left_support_area_abs_1e15,right_support_area_abs_1e15,right_minus_left_support_area_abs_1e15,left_support_area_rel_1pct,right_support_area_rel_1pct,right_minus_left_support_area_rel_1pct,left_weighted_centroid_x,right_weighted_centroid_x,right_minus_left_weighted_centroid_x,left_weighted_centroid_y,right_weighted_centroid_y,right_minus_left_weighted_centroid_y,left_weighted_rms_width_x,right_weighted_rms_width_x,right_minus_left_weighted_rms_width_x,left_weighted_rms_width_y,right_weighted_rms_width_y,right_minus_left_weighted_rms_width_y,p0_cycle,t3_cycle
first_hit,damage,0.01701498931886058,0.017056564904833964,4.1575585973382956e-05,0.017014989318860578,0.01705656490483396,4.1575585973382956e-05,0.05438034139327902,0.054743489896920086,0.000363148503641067,0.04201589885139921,0.04194469783791509,-7.120101348412344e-05,0.020718926744232057,0.014815320398209318,-0.005903606346022739,-0.0005196325243109238,-0.0002481926598781459,0.0002714398644327779,0.2873094261529132,0.28846481258332984,0.0011553864304166273,0.01233801165821596,0.012005393647705672,-0.0003326180105102886,70,68
first_hit,history,0.22099977354663827,0.21251293181804357,-0.008486841728594707,0.22099977354663825,0.21251293181804354,-0.008486841728594707,0.9999999999999999,0.9999999999999999,0.0,0.47714372711565256,0.5065642939530652,0.029420566837412676,0.27637528341213435,0.26778797456217246,-0.008587308849961894,-0.0002525412186536621,-0.00021249651082293143,4.0044707830730645e-05,0.15690078278791444,0.1620018461058425,0.005101063317928062,0.2663271894413916,0.26679597803018557,0.0004687885887939558,70,68
first_hit,fatigue_degradation_deficit,0.030860020435354414,0.016646642416372846,-0.014213378018981569,0.03086002043535441,0.016646642416372842,-0.014213378018981569,0.2255049418812833,0.15914246195057377,-0.06636247993070954,0.2162613327589613,0.13501150239844323,-0.08124983036051808,0.3439093351471173,0.31505897503765645,-0.02885036010946085,-0.00037980152129680887,0.0006841451955585956,0.0010639467168554045,0.13114574295123788,0.17093860268785643,0.03979285973661856,0.24485898913950307,0.2638743820292758,0.019015392889772748,70,68
first_hit,ordinary_degradation_deficit,0.02290953206004871,0.022921550051672103,1.2017991623394092e-05,0.022909532060048705,0.0229215500516721,1.2017991623394092e-05,0.05438034139327902,0.054743489896920086,0.000363148503641067,0.043867147889384055,0.04377541492573121,-9.173296365284217e-05,0.02126711786887708,0.01631086478768943,-0.004956253081187651,-0.0005968426014655975,-0.00031835734132230415,0.00027848526014329333,0.28749611642027373,0.28846636129298897,0.0009702448727152424,0.014307841598763875,0.013914535648052773,-0.0003933059507111019,70,68
first_hit,raw_driver,4.899260864483539,4.9013371069692635,0.0020762424857245776,4.899260864483538,4.901337106969263,0.0020762424857245776,0.9999999999999999,0.9999999999999999,0.0,0.002035411258134367,0.002044782909997059,9.371651862691635e-06,-0.0025229089494480193,-0.002286615724117021,0.00023629322533099805,-0.0003264386400305648,-0.00011699929388144519,0.00020943934614911963,0.28776956276037224,0.2878307539546513,6.119119427905328e-05,0.0007798252465286182,0.0009731017311322848,0.0001932764846036666,70,68
first_hit,raw_cyclemax_driver,4.899780076780831,4.901899184986835,0.0021191082060036948,4.89978007678083,4.901899184986834,0.0021191082060036948,0.9999999999999999,0.9999999999999999,0.0,0.002035411258134367,0.002044782909997059,9.371651862691635e-06,-0.00247670912421984,-0.0022371964538040316,0.00023951267041580826,-0.0003264192828295429,-0.00011691069692839148,0.0002095085859011514,0.28779106008103145,0.2878532024103585,6.214232932705288e-05,0.0020613863486719174,0.0022821142386621972,0.0002207278899902798,70,68
first_hit,active_driver,7.770641832085252e-05,7.725108493385274e-05,-4.5533338699977786e-07,7.77064183208525e-05,7.725108493385273e-05,-4.5533338699977786e-07,0.9999999999999999,0.9999999999999999,0.0,0.00015313824652230039,0.00017244207453925457,1.9303828016954184e-05,-0.17143606461262054,-0.17821229005716646,-0.006776225444545925,0.00013198958566739346,0.00014921730820729757,1.7227722539904104e-05,0.1680290593265782,0.16943960876852762,0.0014105494419494324,0.0072069080162549615,0.006990201067526094,-0.0002167069487288677,70,68
confirmed,damage,0.017014994477784748,0.017056568377498055,4.157389971330694e-05,0.017014994477784744,0.01705656837749805,4.157389971330694e-05,0.05438034139327902,0.054743489896920086,0.000363148503641067,0.04201589885139921,0.04194469783791509,-7.120101348412344e-05,0.02071887735134194,0.014815275418599061,-0.005903601932742877,-0.000519633746956354,-0.00024819338080295087,0.00027144036615340313,0.287309477205446,0.28846483052851246,0.001155353323066488,0.012338011236879144,0.01200539340557593,-0.0003326178313032141,73,71
confirmed,history,0.2210505779309815,0.21256261909473004,-0.008487958836251475,0.22105057793098148,0.21256261909473,-0.008487958836251475,0.9999999999999999,0.9999999999999999,0.0,0.47483614176363337,0.5033989637428508,0.02856282197921739,0.2762784152779905,0.26769173494612974,-0.008586680331860774,-0.0002525025776352249,-0.0002124390084328353,4.006356920238961e-05,0.1570460509198384,0.16213890291946062,0.005092851999622228,0.26629668371897425,0.26676489216683114,0.0004682084478568882,73,71
confirmed,fatigue_degradation_deficit,0.030874407173203038,0.016657241717968885,-0.014217165455234153,0.030874407173203035,0.016657241717968882,-0.014217165455234153,0.22551544566701365,0.15914246195057377,-0.06637298371643988,0.2162613327589613,0.13501150239844323,-0.08124983036051808,0.3436649765804976,0.3147788076976862,-0.028886168882811425,-0.00037984825903160114,0.0006835312481018141,0.0010633795071334153,0.1317377302003905,0.1714050962981119,0.039667366097721396,0.24480194907390174,0.26379043588603546,0.01898848681213372,73,71
