trajectory_id,source_kind,source_path,mesh_path,umax,failure_cycle,censored,censor_cycle,physics_family,parameter_alpha_T,parameter_precrack_length,parameter_environment_index
legacy_u10,keyframes,${HOME}/Library/CloudStorage/OneDrive-UniversityofCambridge/PIDL result/_pidl_handoff_FEM5_u10_u11_2026-05-06/u10_cycle_*.mat,${HOME}/Library/CloudStorage/OneDrive-UniversityofCambridge/PIDL result/_pidl_handoff_reverseBC_u12_P0_mesh_probe_2026-05-28/mesh_geometry.mat,0.10,170,false,,legacy_fem5_original,,,
legacy_u11,keyframes,${HOME}/Library/CloudStorage/OneDrive-UniversityofCambridge/PIDL result/_pidl_handoff_FEM5_u10_u11_2026-05-06/u11_cycle_*.mat,${HOME}/Library/CloudStorage/OneDrive-UniversityofCambridge/PIDL result/_pidl_handoff_reverseBC_u12_P0_mesh_probe_2026-05-28/mesh_geometry.mat,0.11,117,false,,legacy_fem5_original,,,
