stage_index,label,E_el,E_d,E_hist,log10_E_total,grad_logEel,grad_logEd,grad_logEhist,alpha_max,psi_raw_max,psi_active_max
0,initial_joint,0.004915300291031599,0.00546076288446784,2.3400720237987116e-05,-1.9829890727996826,0.0,0.0,0.0,1.0005369186401367,2703.6845703125,0.923909068107605
0,initial_uv,0.022332753986120224,0.005085140001028776,0.0,-1.5619659423828125,0.0,0.0,0.0,0.9366666674613953,2703.6845703125,43.38181686401367
1,r1_uv,0.007522035390138626,0.005085140001028776,0.0,-1.8993821144104004,0.2311512529850006,0.0,0.0,0.9366666674613953,56.13855743408203,0.9001356363296509
2,r1_alpha,0.00702081061899662,0.005421521607786417,8.836484994390048e-06,-1.9047900438308716,0.8822805881500244,2.7059807777404785,980.309814453125,1.0004730224609375,56.13855743408203,0.22652214765548706
3,r2_uv,0.00550022954121232,0.005421521607786417,8.836484994390048e-06,-1.961356520652771,0.013658874668180943,0.0,0.0,1.0004730224609375,1401.7572021484375,7.058354377746582
4,r2_alpha,0.00502978777512908,0.0054744756780564785,8.13517181086354e-06,-1.978298306465149,1.1501460075378418,2.5758213996887207,970.1890869140625,1.0004925727844238,1401.7572021484375,0.31215015053749084
5,r3_uv,0.0048631285317242146,0.0054744756780564785,8.13517181086354e-06,-1.9852384328842163,0.008306394331157207,0.0,0.0,1.0004925727844238,2538.9072265625,0.48852017521858215
6,r3_alpha,0.0048499093391001225,0.0054836515337228775,6.973598829063121e-06,-1.985457181930542,1.0899583101272583,2.450474262237549,1106.1263427734375,1.0006098747253418,2538.9072265625,0.3281601071357727
7,r4_uv,0.004845583811402321,0.0054836515337228775,6.973598829063121e-06,-1.9856387376785278,0.005286488216370344,0.0,0.0,1.0006098747253418,2613.94677734375,0.3348705470561981
8,r4_alpha,0.0048454441130161285,0.005482854321599007,6.987619599385653e-06,-1.9856774806976318,1.0827279090881348,2.3657641410827637,1138.1356201171875,1.0006237030029297,2613.94677734375,0.34229594469070435
9,r5_uv,0.004844185896217823,0.005482854321599007,6.987619599385653e-06,-1.985730528831482,0.002372138435021043,0.0,0.0,1.0006237030029297,2633.8828125,0.3417649567127228
10,r5_alpha,0.004844495095312595,0.005482105538249016,7.029600510577438e-06,-1.9857470989227295,1.077942132949829,2.3266706466674805,1099.0579833984375,1.00062894821167,2633.8828125,0.3510274887084961
11,r6_uv,0.0048439339734613895,0.005482105538249016,7.029600510577438e-06,-1.9857707023620605,0.004217691719532013,0.0,0.0,1.00062894821167,2643.45654296875,0.35026806592941284
12,r6_alpha,0.004843660164624453,0.005482381675392389,6.809091701143188e-06,-1.9857800006866455,1.063206672668457,2.381622791290283,1149.3824462890625,1.000631332397461,2643.45654296875,0.35008880496025085
