reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",3,3,2,g_alpha,p999,1.0000124634814251,1.000307559967041,1.000295092807732,0.999704994246344,,,
"FEM n_step2 [1,0]",3,3,2,g_alpha,tip_2l0_mean,0.5526849008776191,0.5447039604187012,0.9855596915236062,1.0146518862333647,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,domain_mean,0.004788760633967184,0.004783943295478821,0.9989940323067741,1.0010069806832609,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,max,0.25645054631115255,0.41150492429733276,1.6046170702949178,0.6232016463692529,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,p99,0.034128080189509864,0.03512914478778839,1.029332578707027,0.9715033029034479,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,p999,0.10808322185072357,0.11390099674463272,1.0538268085859268,0.9489225286855684,,,
"FEM n_step2 [1,0]",3,3,2,psi_active,tip_2l0_mean,0.05601747606572541,0.055459827184677124,0.9900450909213762,1.0100550057466164,,,
"FEM n_step2 [1,0]",3,3,2,delta_alpha_bar,domain_mean,0.004844292909157892,0.0047839428298175335,0.9875420251268725,1.0126151338942027,,,
"FEM n_step2 [1,0]",3,3,2,delta_alpha_bar,max,0.2447111010551453,0.41149306297302246,1.6815463671192141,0.5946907082396881,,,
"FEM n_step2 [1,0]",3,3,2,delta_alpha_bar,p99,0.03606931470334544,0.035121817141771317,0.9737312014556726,1.026977464114385,,,
"FEM n_step2 [1,0]",3,3,2,delta_alpha_bar,p999,0.11167380213737488,0.11390721797943115,1.0199994609237792,0.9803926750062532,,,
"FEM n_step2 [1,0]",3,3,2,delta_alpha_bar,tip_2l0_mean,0.05705886755096082,0.05545991286635399,0.9719771044670882,1.0288308185492456,,,
"FEM n_step2 [1,0]",20,20,19,alpha_bar,domain_mean,0.09255868067561585,0.09235977381467819,0.9978510188403101,1.0021536092253405,,,
"FEM n_step2 [1,0]",20,20,19,alpha_bar,max,2.3945114612579346,3.013373851776123,1.2584503772611197,0.7946280743912931,,,
"FEM n_step2 [1,0]",20,20,19,alpha_bar,p99,0.6778294140100501,0.670995831489563,0.9899184331938923,1.0101842399010394,,,
"FEM n_step2 [1,0]",20,20,19,alpha_bar,p999,1.1583194253444706,1.33352530002594,1.151258686376053,0.8686145102173456,,,
"FEM n_step2 [1,0]",20,20,19,alpha_bar,tip_2l0_mean,0.4732098573690475,0.4672994613647461,0.9875099896752741,1.012647983772633,,,
"FEM n_step2 [1,0]",20,20,19,psi_raw,domain_mean,1.1144562220934804,2.106499195098877,1.8901587638336002,0.5290560873160784,,,
"FEM n_step2 [1,0]",20,20,19,psi_raw,max,842.2301635742188,2809.182861328125,3.3354099423447865,0.29981322154871376,,,
"FEM n_step2 [1,0]",20,20,19,psi_raw,p99,401.0881988525391,0.05989151820540428,0.00014932256390675687,6696.911530560385,,,
"FEM n_step2 [1,0]",20,20,19,psi_raw,p999,654.114823425293,2586.77392578125,3.954617497025257,0.2528689565431348,,,
"FEM n_step2 [1,0]",20,20,19,psi_raw,tip_2l0_mean,49.56893569005123,44.01350784301758,0.8879252142557369,1.1262209744074052,,,
"FEM n_step2 [1,0]",20,20,19,g_alpha,domain_mean,0.9873825013113467,0.9889270663261414,1.001564302600809,0.9984381406198815,,,
"FEM n_step2 [1,0]",20,20,19,g_alpha,max,1.0000573043462422,1.0010946989059448,1.001037335115892,0.9989637398331682,,,
"FEM n_step2 [1,0]",20,20,19,g_alpha,p99,1.0000405014353315,1.0009524822235107,1.0009119438531442,0.9990888870307276,,,
"FEM n_step2 [1,0]",20,20,19,g_alpha,p999,1.0000456019022517,1.001044750213623,1.0009991027503855,0.9990018944596052,,,
"FEM n_step2 [1,0]",20,20,19,g_alpha,tip_2l0_mean,0.4156280241889819,0.413122296333313,0.9939712249659816,1.0060653416141143,,,
"FEM n_step2 [1,0]",20,20,19,psi_active,domain_mean,0.004197366516029804,0.00433242367580533,1.032176642011066,0.9688264191404546,,,
"FEM n_step2 [1,0]",20,20,19,psi_active,max,0.3224991727161346,0.4858240783214569,1.5064351149485946,0.6638188330030556,,,
"FEM n_step2 [1,0]",20,20,19,psi_active,p99,0.03415577241922722,0.03507116064429283,1.0268003959573846,0.9738991180146594,,,
"FEM n_step2 [1,0]",20,20,19,psi_active,p999,0.10472564843095324,0.10466504842042923,0.9994213450913703,1.000578989944003,,,
"FEM n_step2 [1,0]",20,20,19,psi_active,tip_2l0_mean,0.0009064217416593732,0.0011349262204021215,1.2520950990478543,0.7986613802421573,,,
"FEM n_step2 [1,0]",20,20,19,delta_alpha_bar,domain_mean,0.004272547468768582,0.004332422744482756,1.014013952133206,0.9861797245454813,,,
"FEM n_step2 [1,0]",20,20,19,delta_alpha_bar,max,0.2915639281272888,0.48578381538391113,1.6661313987093467,0.6001927583710629,,,
"FEM n_step2 [1,0]",20,20,19,delta_alpha_bar,p99,0.04177093952894215,0.035077955573797226,0.8397693700303891,1.190803136775294,,,
"FEM n_step2 [1,0]",20,20,19,delta_alpha_bar,p999,0.1082409462928785,0.10465744137763977,0.9668932595476163,1.0342403260395812,,,
"FEM n_step2 [1,0]",20,20,19,delta_alpha_bar,tip_2l0_mean,0.003316970380811741,0.001134886872023344,0.34214561534481064,2.9227321793740093,,,
"FEM n_step2 [1,0]",40,40,39,alpha_bar,domain_mean,0.1685644438132181,0.1702978014945984,1.0102830563917795,0.989821608581158,,,
"FEM n_step2 [1,0]",40,40,39,alpha_bar,max,6.920406818389893,6.213339328765869,0.897828623637399,1.1137983059046068,,,
"FEM n_step2 [1,0]",40,40,39,alpha_bar,p99,2.124448771476746,0.9285262823104858,0.4370669205005348,2.2879791471173037,,,
"FEM n_step2 [1,0]",40,40,39,alpha_bar,p999,2.6288248476982123,1.500925898551941,0.5709493730121066,1.7514687768626302,,,
"FEM n_step2 [1,0]",40,40,39,alpha_bar,tip_2l0_mean,0.5900821407072021,0.48679062724113464,0.8249540083652175,1.2121887885382423,,,
"FEM n_step2 [1,0]",40,40,39,psi_raw,domain_mean,1.4467157402873179,2.581380605697632,1.7843039470801427,0.5604426317816605,,,
"FEM n_step2 [1,0]",40,40,39,psi_raw,max,1640.9962158203125,2786.897705078125,1.698296241155554,0.5888254214821675,,,
"FEM n_step2 [1,0]",40,40,39,psi_raw,p99,490.35635375976756,0.0759781152009964,0.0001549446940341251,6453.915742218055,,,
"FEM n_step2 [1,0]",40,40,39,psi_raw,p999,1249.4049399414068,2620.63818359375,2.097509061967251,0.47675598553176274,,,
"FEM n_step2 [1,0]",40,40,39,psi_raw,tip_2l0_mean,94.99987876808744,96.17689514160156,1.0123896618477528,0.9877619632887795,,,
"FEM n_step2 [1,0]",40,40,39,g_alpha,domain_mean,0.984875612430171,0.9876278042793274,1.00279445628912,0.9972133309357722,,,
"FEM n_step2 [1,0]",40,40,39,g_alpha,max,1.0000779981830776,1.0020893812179565,1.0020112261628924,0.9979928107486438,,,
"FEM n_step2 [1,0]",40,40,39,g_alpha,p99,1.0000519595853203,1.001865029335022,1.001812975548244,0.9981903053838449,,,
"FEM n_step2 [1,0]",40,40,39,g_alpha,p999,1.000054475528796,1.0020161867141724,1.0019616043259436,0.9980422360323247,,,
"FEM n_step2 [1,0]",40,40,39,g_alpha,tip_2l0_mean,0.412428136220805,0.40456917881965637,0.9809446623279332,1.0194254970783423,,,
"FEM n_step2 [1,0]",40,40,39,psi_active,domain_mean,0.0031361779713216893,0.003461942309513688,1.1038730394674352,0.9059012805335396,,,
"FEM n_step2 [1,0]",40,40,39,psi_active,max,0.2979344434513358,0.372408926486969,1.2499693629675876,0.800019608181333,,,
"FEM n_step2 [1,0]",40,40,39,psi_active,p99,0.03436076137053244,0.03445740416646004,1.0028125918074235,0.9971952966781616,,,
"FEM n_step2 [1,0]",40,40,39,psi_active,p999,0.10317979629706082,0.10728917270898819,1.0398273359650394,0.961698125652682,,,
"FEM n_step2 [1,0]",40,40,39,psi_active,tip_2l0_mean,0.002622182129105756,0.0007914187153801322,0.30181683667031556,3.3132677786704554,,,
"FEM n_step2 [1,0]",40,40,39,delta_alpha_bar,domain_mean,0.0033210278275290837,0.003461943008005619,1.0424311953391185,0.9592959271280105,,,
"FEM n_step2 [1,0]",40,40,39,delta_alpha_bar,max,0.32408857345581055,0.37239986658096313,1.1490681779058152,0.8702703801462043,,,
"FEM n_step2 [1,0]",40,40,39,delta_alpha_bar,p99,0.10299158096313477,0.03447248041629791,0.3347116346202816,2.987646369491949,,,
"FEM n_step2 [1,0]",40,40,39,delta_alpha_bar,p999,0.1535134221911446,0.10729676485061646,0.6989406093560844,1.4307367272897102,,,
"FEM n_step2 [1,0]",40,40,39,delta_alpha_bar,tip_2l0_mean,0.008058564327706396,0.0007913478766568005,0.09819961031222935,10.183339799623058,,,
"FEM n_step2 [1,0]",69,69,68,alpha_bar,domain_mean,0.23574995771802848,0.24581560492515564,1.0426962842520053,0.9590520414267765,,,
"FEM n_step2 [1,0]",69,69,68,alpha_bar,max,18.459121704101562,9.840360641479492,0.5330893202406805,1.8758582511998507,,,
"FEM n_step2 [1,0]",69,69,68,alpha_bar,p99,5.670693426132202,1.0521519184112549,0.18554202093920882,5.389614681019569,,,
"FEM n_step2 [1,0]",69,69,68,alpha_bar,p999,8.433470001220847,1.5923105478286743,0.18880846764121625,5.296372628267141,,,
"FEM n_step2 [1,0]",69,69,68,alpha_bar,tip_2l0_mean,1.087987752726084,0.5021397471427917,0.46153069819455256,2.1667031118663798,,,
"FEM n_step2 [1,0]",69,69,68,psi_raw,domain_mean,2.53157908757675,3.5307559967041016,1.3946852437005128,0.7170076578330348,,,
"FEM n_step2 [1,0]",69,69,68,psi_raw,max,2216.02978515625,2681.710693359375,1.2101419896620615,0.8263493115210846,,,
"FEM n_step2 [1,0]",69,69,68,psi_raw,p99,500.7305798339848,0.46983644366264343,0.0009383018784640951,1065.7550868776887,,,
"FEM n_step2 [1,0]",69,69,68,psi_raw,p999,2171.030036865241,2601.959228515625,1.198490663110587,0.8343828039549175,,,
