reference,cycle,fem_cycle,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL,fem_E_d_abs,pidl_E_d_abs,abs_E_d_PIDL_over_FEM
"FEM n_step2 [1,0]",1,1,0,psi_active,p99,0.03388523863346143,0.03523349016904831,1.0397887572866462,0.9617338069797217,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,p999,0.1080088495014654,0.11320216953754425,1.0480823567702977,0.954123493769645,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,right_band_mean,0.008561478240544956,0.008584532886743546,1.0026928347594704,0.9973143971253007,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,tip_2l0_integral,3.469179417568481e-05,7.023503712844104e-05,2.024543232695304,0.4939385753045567,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,tip_2l0_mean,0.05559582073650766,0.055565688759088516,0.9994580172210794,1.0005422766835443,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,tip_4l0_integral,7.647772906545516e-05,0.00015681747754570097,2.05049861524373,0.48768625960819595,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,tip_4l0_mean,0.030542224377747878,0.03116404451429844,1.0203593598442555,0.9800468730473908,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,tip_l0_integral,1.5021319362624402e-05,2.9199913115007803e-05,1.9438980298669473,0.5144302759895519,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,tip_l0_mean,0.08941260821872134,0.09012318402528763,1.007947154441889,0.9921155048586953,,,
"FEM n_step2 [1,0]",1,1,0,psi_active,top1_mean,0.06047913300484032,0.06425782293081284,1.0624792343777496,0.9411948654089779,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,crack_strip_mean,0.007932818976693254,0.007011450827121735,0.8838536272819898,1.131409058166318,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,domain_mean,0.0048317518043601735,0.004790312144905329,0.9914234710033223,1.008650722166178,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,max,0.2424047440290451,0.43513134121894836,1.7950611608773244,0.5570840825898414,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,p99,0.03599074773490482,0.03523160517215729,0.9789072856074258,1.0215472033998458,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,p999,0.11238760501146317,0.11320821195840836,1.0073015787360313,0.9927513478682388,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,right_band_mean,0.008561463929024989,0.008584534749388695,1.0026947284430519,0.9973125136029826,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,tip_2l0_integral,3.5307608879202306e-05,7.023466605460271e-05,1.989221821701269,0.5027091443953478,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,tip_2l0_mean,0.05658270321627461,0.055565398186445236,0.9820209185492437,1.0183082469132299,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,tip_4l0_integral,7.797802128594504e-05,0.00015681717195548117,2.0110432320465446,0.4972543524001455,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,tip_4l0_mean,0.031141382618850636,0.031163984909653664,1.0007257959956262,0.9992747304021437,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,tip_l0_integral,1.5269909603152638e-05,2.91997585009085e-05,1.9122417394586209,0.5229464347342989,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,tip_l0_mean,0.09089231191496612,0.09012270718812943,0.9915327852199788,1.0085395207362131,,,
"FEM n_step2 [1,0]",1,1,0,delta_alpha_bar,top1_mean,0.06295366280608707,0.06425769627094269,1.0207141793936974,0.979706190222613,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,crack_strip_mean,0.016142284063797873,0.013942871242761612,0.8637483510794571,1.1577446124791604,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,domain_mean,0.009673479094925592,0.009575556963682175,0.9898772581940262,1.010226259591459,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,max,0.48751550912857056,0.8572618961334229,1.7584299988030545,0.568689115108756,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,p99,0.07216600738465793,0.07060258835554123,0.9783357970632434,1.022143933608264,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,p999,0.22638249397277832,0.22747796773910522,1.0048390392167807,0.9951842643170468,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,right_band_mean,0.017121353805585614,0.017167598009109497,1.0027009665268873,0.9973063090422234,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,tip_2l0_integral,7.078915927381723e-05,0.00014033913612365723,1.9824947430271918,0.5044149567191484,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,tip_2l0_mean,0.11344415884473473,0.111027792096138,0.9786999456542854,1.0217636206482825,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,tip_4l0_integral,0.0001562506820725176,0.0003135169972665608,2.006500023603444,0.4983802582788485,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,tip_4l0_mean,0.062400432771095374,0.062304649502038956,0.9984650223595759,1.001537337418988,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,tip_l0_integral,3.064125260983918e-05,5.8242876548320055e-05,1.900799464367124,0.5260944243442075,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,tip_l0_mean,0.18238839404155793,0.17976194620132446,0.985599698631948,1.014610699849077,,,
"FEM n_step2 [1,0]",2,2,1,alpha_bar,top1_mean,0.12621241205268435,0.1282937079668045,1.016490421823579,0.9837771006302298,,,
"FEM n_step2 [1,0]",2,2,1,psi_raw,crack_strip_mean,22.245432369151274,46.35246658325195,2.0836846780074714,0.4799190638365938,,,
