source,kind,snapshot_cycle,Nf_detected,n_nodes,n_elem,area_total,alpha_bar_max,alpha_bar_mean_area,alpha_bar_mean_unweighted,f_min,f_mean_area,f_mean_unweighted,d_max,d_mean_area,d_mean_unweighted,area_alpha_bar_gt_0p5,area_alpha_bar_gt_10,area_d_gt_0p5,area_d_gt_0p9,x_tip_d_gt_0p5,x_tip_d_gt_0p9,psi_max,psi_mean_area,notes
PIDL baseline,PIDL,84,84,33749,67276,1.0,9.212343215942383,0.2573201358318329,0.36998021602630615,0.010601125056172554,0.9357276882510018,0.8474840901229221,1.0010730028152466,0.01698998548090458,0.1607806384563446,0.27428728342056274,0.0,0.016728296875953674,0.005241382401436567,0.4995591640472412,0.4995192289352417,nan,nan,
v4 add-only adaptive sampling,PIDL-v4,83,80,80776,161279,1.0,11.3484525680542,0.25591784715652466,0.5540123581886292,0.007123226129109463,0.9366634960951282,0.7619040047742363,1.0008684396743774,0.016507839784026146,0.15583990514278412,0.2722606658935547,2.165063506254228e-06,0.014650586992502213,0.004389128182083368,0.49979869083588313,0.49979869083588313,nan,nan,
FEM baseline SENT_PIDL_12,FEM,82,82,77900,77730,0.9994999900000001,270.22002154246854,0.2687863180345812,0.6709074742752118,0.00021207014320945316,0.9374330488170763,0.7363475477514041,1.0410207579438486,0.0064862180330390986,0.10522801225672937,0.29740749,2.430000000000001e-05,0.0055751099999999994,0.0015552250000000001,0.49954999999999994,0.49950000000000006,25954.03584032214,4.432783482885684,
FEM reverseBC SENT_PIDL_12_reverseBC,FEM-reverseBC,74,74,77900,77730,nan,228,nan,nan,0.0003,nan,nan,1.023,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"partial from outbox 3264809; Mac OneDrive .mat not synced yet, so area means/areas/psi remain pending"
