tag,Umax,eps_yy,eps_xx_sigma_xx_zero,psi_sigma_xx_zero,psi_clamped_x,psi_1d,file,far_mean,far_median,far_p99,global_mean,global_max,alpha_minus_psi_far_mean,alpha_relerr_far_mean,far_vs_sigma_xx_zero,far_vs_clamped_x,far_scaling_vs_u12,expected_scaling_vs_u12,global_scaling_vs_u12,peak_scaling_vs_u12
u08,0.08,0.08,-0.03428571428571429,0.0035164835164835165,0.0043076923076923075,0.0032,/Users/wenxiaofang/Downloads/_pidl_handoff_v2/psi_snapshots_for_agent/u08_cycle_0001.mat,0.0028307424064964834,0.003621936993470204,0.004376037455447583,0.004411060103043534,0.5149576831057352,2.1249527251784206e-08,7.5185168746167316e-06,0.8049923718474374,0.6571366300795408,0.4444958074504602,0.44444444444444453,0.4439737691829433,0.4061462184459424
u10,0.1,0.1,-0.04285714285714286,0.005494505494505494,0.006730769230769231,0.005000000000000001,/Users/wenxiaofang/Downloads/_pidl_handoff_v2/psi_snapshots_for_agent/u10_cycle_0001.mat,0.004423017213391162,0.005659257656312342,0.0068375700542373154,0.00689252721316131,0.809359653770677,3.3054059555055894e-08,7.491660444935782e-06,0.8049891328371915,0.657133985989544,0.6945219046147184,0.6944444444444445,0.6937337543670811,0.6383405346224975
u11,0.11,0.11,-0.04714285714285714,0.006648351648351648,0.008144230769230768,0.00605,/Users/wenxiaofang/Downloads/_pidl_handoff_v2/psi_snapshots_for_agent/u11_cycle_0001.mat,0.00535182101075341,0.0068476724786618376,0.008273478781766324,0.008340374088564311,0.9865209547637687,3.989058972178501e-08,7.475994418923746e-06,0.8049846478984468,0.6571303248150587,0.8403668225147389,0.8402777777777779,0.839459729406255,0.7780673409483165
u12,0.12,0.12,-0.05142857142857142,0.00791208791208791,0.009692307692307691,0.0072,/Users/wenxiaofang/Downloads/_pidl_handoff_v2/psi_snapshots_for_agent/u12_cycle_0001.mat,0.006368434435260617,0.00814855753936219,0.009846556964444779,0.009935407020016803,1.2679120467405645,4.733172983308405e-08,7.458842319426511e-06,0.8048993522343281,0.6570606957014923,1.0,1.0,1.0,1.0
