cycle,metric,hard_prefatigued_diffuse_FEM,soft_hist0_diffuse_FEM,PIDL_baseline
1,E_d,0.0127191,0.00569936,0.0054709231480956
1,Delta E_d from c1,0.0,0.0,0.0
1,history max,1.01374187938523,0.237151637011578,0.7367163896560669
1,history mean,0.116394506877429,0.0068003543935787,0.0124503662809729
1,f_min,0.43647915100635,1.0,0.6538223028182983
1,psi max,18.4954010346346,684.292465367956,0.3754083216190338
1,Kt,4.20553171257091,10.7978731982225,7.584731662460618
1,x_tip_d095 / PIDL x_tip,-0.001,-0.01100000000000001,0.0
40,E_d,0.0148499,0.00790964,0.0060175852850079
40,Delta E_d from c1,0.0021307999999999,0.002210280000000001,0.0005466621369122999
40,history max,1.56473340628796,7.33189428279618,7.20160436630249
40,history mean,0.301251065950041,0.217951790735567,0.229257583618164
40,f_min,0.24209207356581,0.0402043948847502,0.0168592222034931
40,psi max,1838.75310881521,1678.55161554216,0.3894275426864624
40,Kt,22.0475062491923,13.0679856760412,9.555183575581882
40,x_tip_d095 / PIDL x_tip,0.1989999999999999,0.19299999999999995,0.1595120429992675
69,E_d,0.0180251,0.0111599,0.0071302936412394
69,Delta E_d from c1,0.0053059999999999,0.005460540000000001,0.0016593704931438004
69,history max,2.08229505961921,19.5322055924873,8.659917831420898
69,history mean,0.38045456988684,0.345203919382285,0.3422334492206573
69,f_min,0.155208901620613,0.0145910883493756,0.011918369680643
69,psi max,2418.70757618442,2433.65591936564,0.3681018650531769
69,Kt,12.0979880454983,10.5620661988728,15.547702247996208
69,x_tip_d095 / PIDL x_tip,0.499,0.499,0.3729614615440368
