cycle,field,mean,abs_mean,abs_p99,abs_p999,integral,abs_integral
1,damage_alpha,-0.005600931827185969,0.006676852241126441,0.10312083959579463,0.15605269789695803,-0.0003029904823632577,0.00035497229483744656
1,alpha_bar,0.004481944202236304,0.008061863358467716,0.08853159286081788,0.18572329238057392,0.003764613202375393,0.004242843726711257
1,fatigue_f,-1.4302742591733125e-05,1.4302742591733125e-05,0.0,0.0,-6.921845653752709e-07,6.921845653752709e-07
1,psi_plus_active,-0.0001534898179438571,0.0010442379554626159,0.008644519911633734,0.0729915609698834,-0.00019958431913099883,0.00034606464670916353
40,damage_alpha,0.0016342266098622403,0.015146497085506621,0.13506141901016214,0.8414956518262768,-0.0006369060874278853,0.001444255476001069
40,alpha_bar,-0.026943405113606343,0.061146297277051904,2.175357807986437,2.5564157611876905,0.005843480505994602,0.011225770985563651
40,fatigue_f,0.0009769036019526345,0.03383550407512037,0.8051679879426953,0.8822682611644268,-0.0004952050537524031,0.00240281124799112
40,psi_plus_active,-7.648110423238415e-05,0.0030381977609363897,0.04909912299115958,0.16362654323811393,0.0002554027784912927,0.00048455584777248607
69,damage_alpha,0.0022913930355803664,0.05952707949421127,0.7292085666442288,1.0000578190013767,-0.0011227251374610666,0.004092418432215006
69,alpha_bar,-0.08923069539663953,0.1607701297001268,5.529580341803375,8.050387884005914,0.015375091903595883,0.028916304713141258
69,fatigue_f,-0.01015704180908535,0.06709094119064918,0.9198356539011001,0.9577010350674444,-0.01648970738735253,0.01962893582518529
69,psi_plus_active,0.0012173675956081266,0.0035797545997837254,0.04500525838277602,0.14774210499500998,0.0008379240232959146,0.0009649317343706438
