cycle,fem_E_el,fem_E_d,fem_total_energy,pidl_E_el,pidl_E_d,pidl_E_hist,pidl_E_el_outside_precrack,pidl_E_d_outside_precrack,pidl_total_energy,delta_fem_E_el_from_c1,delta_fem_E_d_from_c1,delta_fem_total_energy_from_c1,delta_pidl_E_el_from_c1,delta_pidl_E_d_from_c1,delta_pidl_E_hist_from_c1,delta_pidl_total_energy_from_c1,delta_pidl_E_el_outside_precrack_from_c1,delta_pidl_E_d_outside_precrack_from_c1,ratio_abs_E_d_pidl_over_fem,ratio_delta_E_d_pidl_over_fem,ratio_delta_E_d_outside_precrack_pidl_over_fem
40,0.00328926,0.00790964,0.0111989,0.0034149875864386,0.0058756964281201,9.356265762150427e-11,0.0034058250021189,0.0005109672201797,0.009290684108121358,-0.00154661,0.002210280000000001,0.0006636999999999997,-0.0013733766973018998,0.0004428559914230997,2.1539797723235652e-11,-0.000930520684339001,-0.0013602550607175,0.00044174976937934817,0.7428525733307836,0.20036194121247058,0.19986145166193783
41,0.00322832,0.00799516,0.0112235,0.003364625852555,0.0058986623771488,7.090504572371259e-11,0.0033556325361132,0.0005335934110917,0.009263288300608845,-0.0016075500000000001,0.0022957999999999998,0.0006883000000000011,-0.0014237384311854995,0.0004658219404517997,-1.117814174556031e-12,-0.000957916491851514,-0.0014104475267231998,0.00046437596029134823,0.7377791535314866,0.20290179477820358,0.20227195761449093
42,0.00316875,0.00807837,0.0112471,0.0033113576937466,0.0059238993562757,8.070903667611873e-11,0.0033025448210537,0.0005586281185969,0.009235257130731336,-0.0016671199999999998,0.00237901,0.0007118999999999997,-0.0014770065899938995,0.0004910589195786996,8.686176777850108e-12,-0.0009859476617290232,-0.0014635352417827,0.0004894106677965482,0.73330379225954,0.20641313806108405,0.20572030710108333
43,0.00310503,0.00816678,0.0112718,0.0032643699087202,0.0059437290765345,8.675490881238089e-11,0.0032557686790823,0.0005783108645118,0.00920809907200961,-0.00173084,0.0024674200000000006,0.0007366000000000004,-0.0015239943750202998,0.0005108886398375,1.473204891411227e-11,-0.0010131057204507497,-0.0015103113837541,0.0005090934137114482,0.7277934604011006,0.20705378080646986,0.2063262086355173
44,0.00304447,0.00825216,0.0112966,0.0032082232646644,0.0059714103117585,7.242394184370227e-11,0.0031998450867831,0.0006055441335774,0.009179633648846842,-0.0017913999999999999,0.0025528,0.0007614000000000006,-0.0015801410190760998,0.0005385698750614999,4.010819454336456e-13,-0.0010415711436135167,-0.0015662349760533,0.0005363266827770482,0.7236178542052627,0.2109722168056643,0.21009349842410222
45,0.00297975,0.00834233,0.0113221,0.0031566568650305,0.0059953718446195,7.590374162536051e-11,0.003148321993649,0.0006293097394518,0.009152028785553741,-0.0018561199999999997,0.0026429700000000006,0.0007869000000000001,-0.0016317074187099999,0.0005625314079225003,3.880881727091889e-12,-0.0010691760069066174,-0.0016177580691874001,0.0005600922886514482,0.718668746575537,0.21284063304634565,0.21191776246096175
46,0.00291291,0.00843484,0.0113477,0.0030972966924309,0.0060255341231822,1.0599258970511728e-10,0.0030892097856849,0.0006590880802832,0.00912283092160569,-0.00192296,0.002735480000000001,0.0008125000000000007,-0.0016910675913095995,0.0005926936864851995,3.396972980684866e-11,-0.0010983738708546693,-0.0016768702771515001,0.0005898706294828482,0.7143625869823493,0.21666898916650798,0.21563697394345707
47,0.00284399,0.00852995,0.0113739,0.0030436534434556,0.0060520130209624,8.933237483077505e-11,0.0030359548982232,0.0006846970063634,0.009095666553750374,-0.00199188,0.00283059,0.0008386999999999995,-0.0017447108402848998,0.0006191725842654002,1.730951493250643e-11,-0.0011255382387099847,-0.0017301251646132001,0.0006154795555630482,0.7095015821854056,0.21874329530783343,0.21743861017068816
48,0.00277461,0.00862578,0.0114004,0.0029875771142542,0.0060799499042332,8.560485653674732e-11,0.0029801961500197,0.0007120571681298,0.009067527104092256,-0.00206126,0.00292642,0.0008652,-0.0018007871694862999,0.0006471094675361997,1.35819966384787e-11,-0.0011536776883681026,-0.0017858839128167,0.0006428397173294482,0.7048579843484531,0.22112665561887895,0.21966762027646347
49,0.00270977,0.00871614,0.0114259,0.0029245389159768,0.0061135720461606,7.568368848298589e-11,0.0029173661023378,0.0007453538710251,0.009038111037821088,-0.0021261,0.003016780000000001,0.0008906999999999995,-0.0018638253677636996,0.0006807316094635998,3.6608285847172665e-12,-0.0011830937546392709,-0.0018487139604986,0.0006761364202247482,0.7014081974544465,0.2256484097161873,0.22412519979075302
