state_label,load_factor,u_y,d_max,alpha_bar_max,f_fatigue_min,psi_plus_max,psi_plus_peak_to_date_max,E_el,E_d
state0_initial_preload_prehistory,0.0,0.0,0.904999971389771,0.0,1,0.0,0.0,,
cycle1_step1_pre_history_refresh,0.249999,0.02999988,0.919612407684326,0.0,1,2.83200287818909,2.83200287818909,0.0004384607106385,0.0050547871678659
cycle1_step1_post_history_refresh,0.249999,0.02999988,0.919612407684326,0.0228849742561579,1,2.83200287818909,2.83200287818909,0.0004384607106385,0.0050547871678659
cycle1_step2_pre_history_refresh,0.499999,0.05999988,0.931295812129974,0.0228849742561579,1,16.5106048583984,16.5106048583984,0.0016874056227374,0.0050951008981963
cycle1_step2_post_history_refresh,0.499999,0.05999988,0.931295812129974,0.0913897305727005,1,16.5106048583984,16.5106048583984,0.0016874056227374,0.0050951008981963
cycle1_step3_pre_history_refresh,0.749999,0.08999988,0.994366466999054,0.0913897305727005,1,364.054901123047,364.054901123047,0.0027884358540256,0.0056145257844491
cycle1_step3_post_history_refresh,0.749999,0.08999988,0.994366466999054,0.125967338681221,1,364.054901123047,364.054901123047,0.0027884358540256,0.0056145257844491
cycle1_peak_pre_history_refresh,0.999999,0.11999988,0.997032582759857,0.125967338681221,1,684.29248046875,684.29248046875,0.0048358681314353,0.0056993647973833
cycle1_peak_post_history_refresh,0.999999,0.11999988,0.997032582759857,0.237151637673378,1,684.29248046875,684.29248046875,0.0048358681314353,0.0056993647973833
cycle1_unloaded_pre_history_refresh,1.15648231731787e-16,1.38777878078145e-17,1.000079870224,0.237151637673378,1,1.59213065532096e-27,684.29248046875,8.46856497506458e-34,0.005696558477614
cycle1_unloaded_post_history_refresh,1.15648231731787e-16,1.38777878078145e-17,1.000079870224,0.237151637673378,1,1.59213065532096e-27,684.29248046875,8.46856497506458e-34,0.005696558477614
