cycle,old_E_el,old_E_d,old_total_energy,old_d_max,old_d_mean,old_d_p99,old_d_p999,old_alpha_bar_monitor_max,old_alpha_bar_elem_max,old_alpha_bar_elem_p999,old_alpha_bar_elem_p99,old_alpha_bar_elem_mean,old_f_fatigue_min,old_f_fatigue_p001,old_f_fatigue_mean,old_psi_plus_elem_max,old_psi_plus_elem_p999,old_psi_plus_elem_p99,old_psi_plus_elem_mean,old_psi_tip_top10_mean,old_psi_nominal_mean,old_Kt_proxy,old_x_max_d,old_y_max_d,old_x_max_alpha_bar_elem,old_y_max_alpha_bar_elem,old_x_min_f_fatigue_elem,old_y_min_f_fatigue_elem,old_x_max_psi_plus_elem,old_y_max_psi_plus_elem,old_x_tip_d095,old_y_tip_d095,old_x_tip_d090,old_y_tip_d090,old_x_tip_d050,old_y_tip_d050,old_width_y_d050_near_tip,old_width_y_d090_near_tip,old_n_elem_d050_near_tip,old_n_elem_d090_near_tip,old_right_boundary_d095_count,old_right_boundary_d095_yspan,fine_E_el,fine_E_d,fine_total_energy,fine_d_max,fine_d_mean,fine_d_p99,fine_d_p999,fine_alpha_bar_monitor_max,fine_alpha_bar_elem_max,fine_alpha_bar_elem_p999,fine_alpha_bar_elem_p99,fine_alpha_bar_elem_mean,fine_f_fatigue_min,fine_f_fatigue_p001,fine_f_fatigue_mean,fine_psi_plus_elem_max,fine_psi_plus_elem_p999,fine_psi_plus_elem_p99,fine_psi_plus_elem_mean,fine_psi_tip_top10_mean,fine_psi_nominal_mean,fine_Kt_proxy,fine_x_max_d,fine_y_max_d,fine_x_max_alpha_bar_elem,fine_y_max_alpha_bar_elem,fine_x_min_f_fatigue_elem,fine_y_min_f_fatigue_elem,fine_x_max_psi_plus_elem,fine_y_max_psi_plus_elem,fine_x_tip_d095,fine_y_tip_d095,fine_x_tip_d090,fine_y_tip_d090,fine_x_tip_d050,fine_y_tip_d050,fine_width_y_d050_near_tip,fine_width_y_d090_near_tip,fine_n_elem_d050_near_tip,fine_n_elem_d090_near_tip,fine_right_boundary_d095_count,fine_right_boundary_d095_yspan,ratio_fine_over_old_E_el,ratio_fine_over_old_E_d,ratio_fine_over_old_alpha_bar_elem_max,ratio_fine_over_old_alpha_bar_elem_mean,ratio_fine_over_old_alpha_bar_monitor_max,ratio_fine_over_old_f_fatigue_min,ratio_fine_over_old_psi_plus_elem_max,ratio_fine_over_old_Kt_proxy,ratio_fine_over_old_width_y_d050_near_tip,old_E_d_increment_from_c1,fine_E_d_increment_from_c1,ratio_fine_over_old_E_d_increment,delta_x_tip_d095_fine_minus_old,delta_E_el_fine_minus_old,delta_E_d_fine_minus_old
1,0.00485565,5.07731e-07,0.00485616,0.0768980612801551,3.18983973358806e-05,-3.59574554220648e-06,0.0117407968339646,2.52817,1.28802505196064,0.159130494101168,0.0546784541841144,0.0112818461096808,0.466689326712252,1.0,0.999958144756633,1.51702588943425,0.161633203859124,0.054678090833163,0.0113116342201754,0.971946066787072,0.0065938244121437,12.1409422762751,0.0006,-0.00035,-0.00045,-0.0004,0.000525,0.0005,-0.00045,-0.0004,,,,,,,,,0,0,0,0.0,0.00486195,2.26662e-07,0.00486218,0.0523137085079859,5.42584976967315e-05,-3.49686875252348e-06,0.0206905285816242,1.08865,0.609451467159048,0.224194427264618,0.0663890760079417,0.0099406206761993,0.780689836879324,1.0,0.999915932139815,0.684621539711919,0.23573596682179,0.0663886431988258,0.0099846575971176,0.43389627217203,0.0055231945541923,8.86334774366318,0.001,0.001,0.001,-0.001,-0.000975,0.001,0.001,-0.001,,,,,,,,,0,0,0,0,1.001297457600939,0.4464214318211809,0.47316740169869914,0.8811164927758931,0.4306079100693387,1.6728255655194708,0.4512919288195123,0.7300378786071041,,0.0,0.0,,,6.299999999999882e-06,-2.8106900000000004e-07
2,0.00485449,2.39495e-06,0.00485689,0.138403574393864,4.55528374275051e-05,-6.64780866962098e-06,0.0163981690774703,4.89122,2.56764586607677,0.316212021514813,0.109488182532293,0.0225636388379772,0.175025042548312,1.0,0.999853280392746,1.74945623541746,0.164837108762307,0.0546573515553105,0.0113322478035542,1.0916435936611,0.0065926078246788,12.8680225838528,0.0006,-0.00035,-0.00045,-0.0004,0.000525,0.0005,-0.00045,-0.0004,,,,,,,,,0,0,0,0.0,0.00486093,7.00712e-07,0.00486163,0.0840326225061894,8.04301997673355e-05,-6.47248128146986e-06,0.0291411149278794,2.13522,1.2269071841489,0.454069987632795,0.133318499249778,0.0198805865099435,0.449885523391836,0.960009834597548,0.999719579703748,0.75231392379266,0.243299904086336,0.0668583202224109,0.0100131534374714,0.461969500186776,0.0055218499090815,9.14669827306835,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,1.0013266069144235,0.29257896824568363,0.4778334895627763,0.8810895553106526,0.43654139458049324,2.570406593488783,0.43002728994426137,0.7108083789459552,,1.8872189999999998e-06,4.7405000000000004e-07,0.25118971354145975,,6.439999999999918e-06,-1.6942379999999998e-06
3,0.00485174,1.41238e-05,0.00486587,0.265931032799579,8.09106075670482e-05,-9.24768243958697e-06,0.0278999771563443,6.89289,3.83798126444267,0.479208008143106,0.16412580504185,0.0338429144141139,0.0822174777163671,0.989021358831206,0.999670330834599,2.57227169003306,0.168750998175017,0.054568347302725,0.0113862062091849,1.42474915676988,0.0065899247066571,14.7037793871643,0.0006,-0.00035,-0.00045,-0.0004,0.0006,-0.00035,0.0006,-0.00035,,,,,,,,,0,0,0,0.0,0.00485897,4.73249e-06,0.0048637,0.14321068744433,0.0001320104974292,-9.01757542781571e-06,0.0454473784540504,3.11206,1.86330247528906,0.68704345735602,0.200952745284817,0.0298193092596537,0.2500096180935,0.741405097491406,0.999418138685031,0.903380030369823,0.257061257923032,0.0672565364016114,0.0100726697305631,0.521262113363585,0.0055193135784907,9.71819358015575,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,1.0014901870256856,0.33507200611733384,0.48549024784247824,0.8811093777200764,0.4514884177754178,3.0408329839061743,0.35119930521733195,0.6609316777861393,,1.3616069e-05,4.505828e-06,0.33091988590833377,,7.229999999999563e-06,-9.39131e-06
4,0.00482873,0.000125612,0.00495434,0.93538449877896,0.0003452437029909,-1.14092907282312e-05,0.100007704462523,8.16887,6.5451455473975,0.644234722946564,0.21961404017419,0.0451586646485184,0.0485786081519582,0.764882761989523,0.99938798371899,90.9928662135504,0.198612975086388,0.0550851048209193,0.0136198035636443,17.7229591334478,0.0065671073976601,51.9494625253525,0.0006,-0.00035,-0.00045,-0.0004,0.0006,-0.00035,0.0006,-0.00035,,,0.0006,-0.00035,0.00175,-0.00115,0.00175,0.0,7,1,0,0.0,0.00485572,1.51884e-05,0.00487091,0.230888578739087,0.0002249375861778,-1.11747303174912e-05,0.0750594197074831,3.95344,2.50581633086987,0.923924086584003,0.268871471791981,0.039747433380086,0.153429694602987,0.525353975130327,0.998994001149958,1.15758131525785,0.280253937689093,0.0680136449834849,0.0101731252102701,0.617112181881633,0.0055156216021767,10.5775436899327,0.001,-0.001,0.001,-0.001,0.001,-0.001,0.001,-0.001,,,,,,,,,0,0,0,0,1.0055894614111784,0.12091519918479127,0.38285112419940603,0.8801729123181694,0.4839641223327094,3.1583797980181996,0.012721671087282074,0.20361218722466323,,0.000125104269,1.4961738e-05,0.11959414430533942,,2.6990000000000174e-05,-0.00011042359999999998
5,0.00480511,0.000165082,0.0049702,1.00769154814667,0.0006524238976429,-1.3173696313682e-05,0.18495353490007,17.1267,10.332426423952,0.844953023693058,0.276259086607534,0.0564730361646372,0.0166004280013925,0.556664351708821,0.999035469050213,316.796035013926,0.238649214824346,0.0551397362138188,0.0226529950920233,85.6968870922495,0.0065437445712848,114.437761473533,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.0006,-0.00035,0.00165,-0.0003,0.00265,-0.000275,0.0048,-0.00095,0.003575,7.5e-05,20,3,0,0.0,0.00484884,4.37291e-05,0.00489257,0.390949206235439,0.00042317137792,-1.2783318873882e-05,0.118218864403734,4.54985,3.17250277848846,1.16840385832473,0.338407353046047,0.0496641571392607,0.0971789840721485,0.386513962970522,0.998430895577186,1.95809661484806,0.268298074623321,0.0669308986146014,0.0104725424059995,0.910987326568005,0.0055072186979056,12.8614521417428,0.001,0.001,0.001,-0.001,0.001,-0.001,0.001,0.001,,,,,,,,,0,0,0,0,1.009100728183122,0.2648932045892345,0.30704334570766045,0.8794313270934042,0.2656582996140529,5.854004731925996,0.006180937885671405,0.11238818355178486,,0.000164574269,4.3502438e-05,0.2643331686316043,,4.3730000000000505e-05,-0.00012135289999999998
6,0.00477568,0.000201671,0.00497735,1.01489166540964,0.0010892269525588,0.0003125899242712,0.325763899481045,27.9367,14.6666168974779,0.979984906938176,0.333655190104442,0.0677941425996559,0.0080068148048684,0.462627588353573,0.998619592294218,572.104987575477,0.33598233844897,0.0562182683333034,0.0424835952303011,235.962605662477,0.0065141939308324,190.322989101885,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.004625,-7.5e-05,0.004625,-7.5e-05,0.0076,-0.000425,0.004475,0.000275,40,5,0,0.0,0.00482757,0.000117055,0.00494463,0.734856455563811,0.0010220761300566,0.0036580282648777,0.307157247323512,5.3297,3.83783408818682,1.38369208433126,0.401789332876001,0.0595725257898419,0.0655685165627498,0.337794697432613,0.997735934123167,7.90010926668257,0.367396613880962,0.0655236352949716,0.012355733810894,2.75989138674972,0.0054812696768669,22.4390987942472,0.001,0.001,0.001,-0.001,0.001,-0.001,0.001,0.001,,,,,0.003,-0.001,0.002,,4,0,0,0,1.0108654683730902,0.5804255445750752,0.2616713939563514,0.8787267381141608,0.19077772249406696,8.189088690159542,0.013808845296319532,0.11790009656812897,0.446927374301676,0.000201163269,0.00011682833799999999,0.5807637675643459,,5.188999999999975e-05,-8.4616e-05
7,0.00474113,0.000243963,0.00498509,1.01747025885883,0.0016642726727526,0.0100091004686452,0.445728871717842,38.2709,18.8278615467625,1.09586578382218,0.394096608406866,0.0791312282495348,0.0052514049365161,0.394316681391793,0.998080522904941,888.810813434505,0.450848672054647,0.0570367326841622,0.0786239876507536,504.229994532687,0.0064790193627116,278.971411174369,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0076,-0.000425,0.00845,-0.0004,0.011375,0.00075,0.00555,0.00105,62,11,0,0.0,0.00478182,0.00018299,0.00496481,0.998362960444939,0.0023450399446512,0.0381796599809778,0.584788645455,6.2612,4.67555644646179,1.47293270893867,0.474237377529624,0.0695728090180995,0.0541638921382956,0.26780634711934,0.996864863780183,81.7813156783248,1.37490698897291,0.0714607380182917,0.0305085704466916,20.6768646734012,0.0054242341051452,61.7409247720358,0.001,0.001,-0.000975,0.001,0.001,0.001,0.001,0.001,0.003,0.001,0.003,0.001,0.00705,0.003,0.004,0.0,13,2,0,0,1.0085823421842472,0.7500727569344532,0.24833178398137115,0.8792080011535586,0.16360211021951404,10.314171691781427,0.09201206200710915,0.2213163152171356,0.7207207207207207,0.00024345526900000002,0.00018276333800000002,0.7507060280547881,-0.0046,4.0690000000000344e-05,-6.0973e-05
8,0.00471147,0.000280359,0.00499183,1.01854019781024,0.0022183592410669,0.0229168025026195,0.564078605765054,47.7169,22.6464778353505,1.20046636615496,0.452826007481176,0.090454111626096,0.0041579644644988,0.346558523342461,0.997433141683424,1155.44572954689,0.579780532528242,0.0581238777742531,0.117622095529558,733.453600406875,0.0064489899484131,337.241080731133,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0102,-2.5e-05,0.011275,-0.000175,0.0144,-0.001725,0.00675,0.001475,83,14,0,0.0,0.0047511,0.000222425,0.00497353,1.01127309858741,0.003295964865912,0.0720118602216678,0.743592044662767,9.13141,6.01176302097811,1.5248931058048,0.540378877450889,0.0794207928425727,0.0454867415689091,0.250636272728552,0.995914355482371,122.122385800484,1.62320332333433,0.0752076627244078,0.0526541407258809,42.9269474818966,0.0053857502444761,89.2774749656405,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.001,0.001,0.005,0.001,0.007,0.001,0.011,0.001,0.004,0.0,17,4,0,0,1.0084113875287333,0.7933578019610571,0.26546128120611856,0.8780230264254766,0.19136637124373126,10.939665780523226,0.10569287910075577,0.26472894337809744,0.5925925925925926,0.00027985126899999997,0.000222198338,0.7939872447031856,-0.005200000000000001,3.963000000000057e-05,-5.793399999999999e-05
9,0.00467535,0.000326106,0.00500145,1.01994368142375,0.0029270469415428,0.0459442003526544,0.687333696921991,56.2842,26.1893066054461,1.28925735898212,0.50626073402215,0.101797476183041,0.0035524272512692,0.313215970903388,0.996691725794064,1477.42666707451,0.838468442589345,0.0603391826764989,0.187883840361608,1016.72409068439,0.0064118150796292,398.208992075252,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.0142,-0.0001,0.0149,0.0002,0.018575,0.001025,0.0069,0.0018,104,20,0,0.0,0.00471595,0.000265789,0.00498174,1.01673760738875,0.0044081148101081,0.109103312081443,0.79754939940126,12.4474,7.41141985155124,1.54781481949107,0.604264764816153,0.089241035255036,0.0283531387056318,0.244388658940569,0.994860231339182,171.097868609377,1.89890186301756,0.0792347421620832,0.0886031254661391,79.3139230487975,0.0053411522575609,121.85889526441,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.003,0.001,0.009,0.001,0.009,0.001,0.015,0.001,0.00805,0.0,30,5,0,0,1.0086838418514121,0.8150386684084316,0.282994122876473,0.8766527285467531,0.2211526502997289,7.981342530097381,0.11580802785167824,0.3060174372993103,1.1666666666666667,0.000325598269,0.000265562338,0.8156134822694651,-0.0052000000000000015,4.060000000000001e-05,-6.0317e-05
10,0.00463956,0.000370569,0.00501013,1.02038750455919,0.003636207083585,0.0759110563235259,0.782367354263149,64.2091,29.5663378663801,1.34435650524302,0.557050159571395,0.113094770648338,0.0030638452770433,0.2955813175968,0.995917320353827,1791.43643282693,0.988861097606262,0.0614960890326919,0.287344388684377,1390.33441917705,0.0063746049681432,467.017332285275,0.0006,-0.00035,-0.00045,-0.0004,-0.00045,-0.0004,0.00165,-0.0003,0.018225,-1.0164395367051601e-20,0.018925,0.000275,0.022425,-0.001525,0.007425,0.0018,118,26,0,0.0,0.00468006,0.000309907,0.00498997,1.01883151116161,0.0055666324442055,0.170552305425341,0.820687820658796,15.6846,8.8130580079216,1.55349625834206,0.664547524834349,0.0990030101190491,0.0204146709089321,0.239024149261053,0.993736130985117,221.682262007781,2.32275717618853,0.0854165473050091,0.135768807845547,127.20124393794,0.0052954913545673,154.986027743097,0.001,0.001,-0.000975,0.001,-0.000975,0.001,0.003,0.001,0.013,0.001,0.013,0.001,0.019025,0.001,0.00805,0.0,40,7,0,0,1.0087292760520394,0.8363003920997168,0.2980774300743865,0.875398655052704,0.2442737867373939,6.663088068413445,0.12374553623315622,0.3318635455876927,1.0841750841750841,0.000370061269,0.000309680338,0.8368353133437479,-0.005225000000000002,4.049999999999974e-05,-6.066200000000001e-05
