cycle,precrack_half_width,precrack_x_max,fem_n_elem_precrack_mask,fem_n_elem_outside_precrack,fem_d_max_outside_precrack,fem_d_mean_outside_precrack,fem_hist_max_outside_precrack,fem_hist_mean_outside_precrack,fem_f_min_outside_precrack,fem_f_mean_outside_precrack,fem_psi_max_outside_precrack,fem_psi_mean_outside_precrack,fem_E_el,fem_E_d,pidl_n_elem_precrack_mask,pidl_n_elem_outside_precrack,pidl_hist_max_outside_precrack,pidl_hist_mean_outside_precrack,pidl_f_min_outside_precrack,pidl_f_mean_outside_precrack,pidl_psi_max_outside_precrack,pidl_psi_mean_outside_precrack,pidl_E_el_outside_precrack,pidl_E_d_outside_precrack,pidl_E_hist_outside_precrack,fem_E_d_increment_from_first,pidl_E_d_outside_increment_from_first,ratio_E_d_outside_increment_pidl_over_fem,ratio_hist_max_outside_pidl_over_fem,ratio_hist_mean_outside_pidl_over_fem,ratio_f_min_outside_pidl_over_fem,ratio_psi_max_outside_pidl_over_fem
35,0.02,0.0,2053,75677,1.0172561407089233,0.030377846211194992,74.28990173339844,0.37811678647994995,0.015621214173734188,0.9510759711265564,16150.0751953125,9.660650253295898,0.00345582,0.00180657,11599,55677,3.747292995452881,0.2406534701585769,0.0554339177906513,0.9595250487327576,0.3731867969036102,0.0059031001292169,0.0036288911942392,0.0004808727826457,0.0,0.001806062269,0.0004134062764932862,0.22889923763380843,0.050441485424232484,0.6364527541845536,3.548630546520447,2.3107434014420334e-05
36,0.02,0.0,2053,75677,1.0161643028259277,0.03168237581849098,78.93922424316406,0.3873790204524994,0.015160242095589638,0.9479355812072754,16501.783203125,10.162811279296875,0.00340526,0.0018747,11599,55677,3.762666940689087,0.2465066313743591,0.0550347790122032,0.9571793675422668,0.3962282836437225,0.0058531728573143,0.0035832622088491,0.0005019888631068,0.0,0.001874192269,0.0004345223569543862,0.23184513357652006,0.04766536505474874,0.6363448156960423,3.6302044957589246,2.4011240407563188e-05
37,0.02,0.0,2053,75677,1.0175459384918213,0.032937031239271164,83.15731811523438,0.3965226411819458,0.014804821461439133,0.9445627331733704,16937.021484375,10.78442668914795,0.00335304,0.00193786,11599,55677,3.778679132461548,0.2522988021373749,0.0546236336231231,0.95479017496109,0.3647531569004059,0.0057921577244997,0.0035303400363773,0.0005291608395054,0.0,0.001937352269,0.0004616943333529862,0.23831202034893642,0.04544012743683344,0.6362784263348198,3.6895840834958165,2.1535850163318477e-05
38,0.02,0.0,2053,75677,1.0175683498382568,0.03439747169613838,88.12157440185547,0.40563198924064636,0.014414380304515362,0.9409482479095459,17353.908203125,11.412345886230469,0.00329701,0.00200856,11599,55677,3.7928354740142822,0.2580342292785644,0.0542639680206775,0.9523369669914246,0.3819230198860168,0.0057353973388671,0.0034781435970216,0.0005558897391892,0.0,0.002008052269,0.0004884232330367862,0.24323233044128806,0.04304094087922266,0.636128895459185,3.764571689819998,2.2007896746696063e-05
39,0.02,0.0,2053,75677,1.0174623727798462,0.035972416400909424,93.21697235107422,0.4146535098552704,0.014065398834645748,0.9371699690818787,17814.65625,12.178338050842285,0.00323556,0.00208465,11599,55677,3.811999559402466,0.2637167274951935,0.0537827052175998,0.9498136043548584,0.4301707446575165,0.0056825312785804,0.0034291178453713,0.0005800931248813,0.0,0.002084142269,0.0005126266187288862,0.2459652713511019,0.040893835781811216,0.6359929946987317,3.8237596992360277,2.4147013482649517e-05
40,0.02,0.0,2053,75677,1.0172960758209229,0.03753324970602989,98.35549926757812,0.4235484004020691,0.0137533163651824,0.9333001971244812,18255.310546875,12.96778392791748,0.00317442,0.00215985,11599,55677,3.828248023986816,0.2693387567996979,0.0533796474337577,0.9472397565841676,0.3894275426864624,0.0056220311671495,0.003375289728865,0.0006079908343963,0.0,0.002159342269,0.0005405243282438862,0.2503189679578704,0.03892256205798915,0.6359102207540344,3.8812200647759743,2.133228803128336e-05
41,0.02,0.0,2053,75677,1.0170786380767822,0.03898616507649422,103.49264526367188,0.4322841763496399,0.013473911210894585,0.9293240904808044,18652.62109375,13.703106880187988,0.00311715,0.00223061,11599,55677,3.83803915977478,0.2749065160751343,0.0531389527022838,0.9445988535881042,0.3660056591033935,0.0055677723139524,0.0033232378773391,0.0006346080917865,0.0,0.002230102269,0.0005671415856340862,0.2543119181204179,0.037085139238604556,0.6359393452625121,3.9438402013008145,1.9622210587123988e-05
42,0.02,0.0,2053,75677,1.0168263912200928,0.04044894874095917,108.5988998413086,0.44088929891586304,0.013222738169133663,0.9252448678016663,19043.724609375,14.43270206451416,0.00305845,0.00230376,11599,55677,3.8480114936828618,0.2804179787635803,0.0528954900801181,0.9418900012969972,0.417654812335968,0.0055114403367042,0.003271464491263,0.0006606484530493,0.0,0.002303252269,0.0005931819468968862,0.2575410235694361,0.03543324563421741,0.6360280901648597,4.000343151586715,2.1931361690158107e-05
43,0.02,0.0,2053,75677,1.0165481567382812,0.04200461879372597,113.65624237060547,0.4493858814239502,0.012995856814086437,0.9210200905799866,19451.083984375,15.315531730651855,0.00299504,0.00238261,11599,55677,3.856755495071411,0.285869300365448,0.0526833869516849,0.9390986561775208,0.4067526459693908,0.0054513262584805,0.0032176291570067,0.0006886917399242,0.0,0.002382102269,0.0006212252337717862,0.26078864952871017,0.03393351227023207,0.6361332480220027,4.053860219095401,2.0911567000385893e-05
44,0.02,0.0,2053,75677,1.016251564025879,0.04358944296836853,118.64065551757812,0.45774269104003906,0.012787572108209133,0.9166311621665955,19839.271484375,16.224380493164062,0.0029319,0.00246092,11599,55677,3.862890720367432,0.2912607192993164,0.0525353141129016,0.936248242855072,0.3849883079528808,0.0053914049640297,0.003161922795698,0.0007185961003415,0.0,0.002460412269,0.0006511295941890862,0.2646424757318125,0.03255958679185733,0.6362979136543758,4.108310292864424,1.9405365174627992e-05
45,0.02,0.0,2053,75677,1.015945553779602,0.04520877078175545,123.54039764404297,0.46598321199417114,0.012597731314599514,0.9120826721191406,20216.470703125,17.163028717041016,0.00286774,0.00254094,11599,55677,3.869675636291504,0.2965923845767975,0.0523722916841506,0.9333282709121704,0.3818980157375335,0.0053316918201744,0.0031076385639607,0.0007473553414456,0.0,0.0025404322690000002,0.0006798888352931862,0.26762722375622056,0.0313231599548611,0.6364872745254768,4.157279622518725,1.8890439451357892e-05
46,0.02,0.0,2053,75677,1.015633463859558,0.04674778878688812,128.33935546875,0.47407975792884827,0.01242357213050127,0.9074305891990662,20552.62890625,18.039447784423828,0.00280796,0.00261519,11599,55677,3.8764920234680176,0.3018668293952942,0.0522092841565609,0.9303134679794312,0.3671730160713196,0.0052744192071259,0.0030542598105967,0.0007756631821393,0.0,0.002614682269,0.0007081966759868862,0.27085381821850957,0.030205013959353443,0.6367427091046556,4.202437399496496,1.7865014628842116e-05
47,0.02,0.0,2053,75677,1.0153175592422485,0.04839244484901428,133.03659057617188,0.48206567764282227,0.011759667657315731,0.9027117490768433,20906.455078125,19.042007446289062,0.00274227,0.00269697,11599,55677,3.8836164474487305,0.3070769906044006,0.0520397126674652,0.9272336959838868,0.3398296236991882,0.0052101789042353,0.0029942798428237,0.0008088183240033,0.0,0.002696462269,0.0007413518178508862,0.2749349866207552,0.029192092420807447,0.6370023937525037,4.425270695051583,1.6254770233848074e-05
48,0.02,0.0,2053,75677,1.0150012969970703,0.04999146610498428,137.62384033203125,0.48991087079048157,0.010790838859975338,0.8979541659355164,21239.083984375,20.0106258392334,0.00267784,0.00277765,11599,55677,3.889360189437866,0.3122232258319855,0.0519036054611206,0.9240975975990297,0.3567081093788147,0.0051462189294397,0.0029330060351639,0.0008432132308371,0.0,0.002777142269,0.0007757467246846862,0.2793327275105783,0.028260802634590028,0.6373061804654522,4.809969468975948,1.6794891420045935e-05
49,0.02,0.0,2053,75677,1.014711856842041,0.05168123543262482,142.1002197265625,0.49763551354408264,0.010105034336447716,0.8931320309638977,21577.376953125,21.008222579956055,0.00260919,0.0028642,11599,55677,3.893534421920776,0.3173032402992248,0.0518050268292427,0.9208930730819702,0.3576501607894897,0.0050800279714167,0.0028735399246215,0.0008764199446886,0.0,0.002863692269,0.0008089534385361863,0.28248616211080263,0.027399918377416593,0.6376217767085001,5.126655200209249,1.6575238110102724e-05
50,0.02,0.0,2053,75677,1.0163114070892334,0.05325838550925255,146.45684814453125,0.5052369832992554,0.009579338133335114,0.8881323933601379,21864.853515625,21.936344146728516,0.00254542,0.00294514,11599,55677,3.897531986236572,0.3223006129264831,0.0517108850181102,0.9176319241523744,0.3611232042312622,0.0049973423592746,0.0028096716850996,0.0009132456034421,0.0,0.002944632269,0.0008457790972896862,0.287227409070306,0.026612152559710178,0.6379196764690961,5.398168881643464,1.6516150175586467e-05
51,0.02,0.0,2053,75677,1.0173323154449463,0.05507064238190651,150.6981658935547,0.5127801299095154,0.007786384783685207,0.8828876614570618,22163.208984375,22.9497127532959,0.00247641,0.0030327,11599,55677,3.9011576175689697,0.3272305428981781,0.051625732332468,0.914303719997406,0.3844047486782074,0.0049299411475658,0.0027527068741619,0.00094543362502,0.0,0.003032192269,0.0008779671188675862,0.28954863048877005,0.025887226924344545,0.638149810828124,6.630257014865136,1.7344273067551347e-05
