source,cycle,phase_field,phase_max_node,crack_tip_x_thr095,band_width_y_thr05_near_tip,E_el,E_d,E_el_plus_E_d,alpha_bar_monitor_max,alpha_bar_elem_max,alpha_bar_elem_p999,alpha_bar_elem_p99,alpha_bar_elem_mean,f_min,f_mean,psi_plus_elem_max,psi_plus_elem_p999,psi_plus_elem_p99,psi_tip_top10_mean,psi_nominal_mean,Kt_proxy_top10_nominal,source_cycle
FEM,40,d,1.0742802619934082,0.18415,0.01025,0.00317442,0.00215985,0.00533427,342.523,103.07059478759766,2.414548635482788,1.0825343132019043,0.4162465035915375,0.00029591473867185414,0.9348695874214172,18255.310546875,4585.74560546875,0.14114904403686523,11863.205078125,0.004683634266257286,1591.5105859514788,
FEM,70,d,1.0520460605621338,0.424875,0.01095,0.00116237,0.00471897,0.0058813400000000005,766.44,215.47557067871094,6.528354644775391,1.2185546159744263,0.6152938604354858,0.000261554989265278,0.7931932210922241,25702.82421875,9789.1669921875,5.018640995025635,17648.419921875,0.0014028119621798396,3546.93462645199,
PIDL source c40,40,alpha,1.0018702745437622,0.1658484488725662,0.0149087430909276,0.0033223149366676,0.0063871014863252,0.009709416422992799,,6.345829010009766,,,0.3587141633033752,0.0213377121835947,,,,,,,10.6206622680296,
PIDL source c80,80,alpha,1.0014756917953491,0.5,0.0170127786695957,1.2377054190437777e-05,0.0089739002287387,0.008986277282929138,,7.780421733856201,,,0.5420504808425903,0.0145846176892519,,,,,,,504.45056599232635,
PIDL branch normal c45,45,alpha,1.0024346113204956,0.1996271461248397,0.016226528212428,0.0030320670921355,0.006582292728126,0.0096143598202615,,6.627098083496094,,,0.3832958042621612,0.019686771556735,,,,,,,11.609142803992526,40.0
PIDL branch normal c75,75,alpha,1.001386642456055,0.4321469366550445,0.0149035081267356,0.0010464685037732,0.0082847038283944,0.009331172332167601,,7.674504280090332,,,0.5314921736717224,0.0149650145322084,,,,,,,22.002346253370582,70.0
