series,n_common_cycles,last_common_cycle,E_el_c1,E_el_last,E_d_c1,E_d_last,E_d_increment_last,hist_max_c10,hist_max_c40,hist_max_last,f_min_c10,f_min_c40,f_min_last,psi_max_c40,psi_max_last,Kt_c40,Kt_last,x_tip_d095_c40_centered,x_tip_d095_last_centered
old_void,69.0,69.0,0.00485565,0.0012491,5.07731e-07,0.00461042,0.004609912268999999,29.5663378663801,103.07059138073,212.333798347575,0.0030638452770433,0.0002959147420802,0.0002620679006099,18255.31032356,25565.8364764733,1591.51057208548,3330.60544745043,0.18415,0.414225
fine_void,69.0,69.0,0.00486195,5.94205e-05,2.26662e-07,0.00558911,0.005588883338000001,8.8130580079216,80.8301919696395,126.287589072979,0.0204146709089321,0.0005536433131772,0.0001647164634693,3408.9502407572,6652.02885161724,868.749268179734,4101.52375872416,0.1917,0.499
diffuse,69.0,69.0,0.00468274,5.09912e-06,0.0127191,0.0180251,0.005305999999999998,1.12227018802769,1.56473340628796,2.08229505961921,0.383838411759025,0.24209207356581,0.155208901620613,1838.75310881521,2418.70757618442,22.0475062491923,12.0979880454983,0.19899999999999995,0.499
