field,metric,label,median_ratio_c10_c69,ratio_c69,fem_c69,pidl_c69
damage_alpha,tip_2l0_mean,damage tip mean,1.003546150836933,1.0130518736709464,0.4521475667826224,0.458048939704895
alpha_bar,max,alpha_bar max,0.8719355821167016,0.5088085534096427,19.53220558166504,9.938153266906738
alpha_bar,p99,alpha_bar p99,0.44377900509741525,0.1909019354083299,5.52142481803894,1.0540506839752195
alpha_bar,tip_2l0_mean,alpha_bar tip mean,0.7979206806997152,0.4662789250208434,1.0774598529265504,0.502396821975708
fatigue_f,right_band_mean,f right-band mean,0.9958480662181093,0.9620374081500228,0.8675764962882221,0.8346410438609991
psi_plus_active,tip_2l0_mean,active psi tip mean,0.2549418250925844,0.0280808085892566,0.009153479805789,0.0002570371143519
