mapping,pidl_saved_index,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,PIDL_minus_FEM
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,crack_strip_mean,0.21625153528421673,0.19601646065711975,0.9064280648897948,-0.020235074627096977
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,domain_mean,0.008654876544287829,0.00782331358641386,0.9039197204467584,-0.0008315629578739686
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,max,1.000079870223999,0.9993865489959717,0.9993067341432719,-0.0006933212280273438
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,p99,0.9866672110557566,0.933085024356842,0.9456937596602806,-0.05358218669891457
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,p999,0.9998491406440735,0.9987998604774475,0.9989505615157602,-0.0010492801666259766
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,right_band_mean,-3.970308575254807e-06,-2.113208029186353e-05,5.322528436094495,-1.7161771716608725e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,tip_2l0_integral,0.0001970158149315067,0.0004023523651994765,2.0422338447264035,0.00020533655026796978
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,tip_2l0_mean,0.31573045411603595,0.3183167278766632,1.0081913978424037,0.0025862737606272557
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,tip_4l0_integral,0.00036637857703005004,0.0007248965557664633,1.9785451475974478,0.00035851797873641324
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,tip_4l0_mean,0.14631732458052654,0.14405733346939087,0.9845541796392547,-0.002259991111135673
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,tip_l0_integral,9.41657408184582e-05,0.0001878621696960181,1.9950161073781272,9.36964288775599e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,tip_l0_mean,0.5605103179136093,0.5798214673995972,1.0344527992952384,0.01931114948598789
FEM_c1_mixed_to_PIDL_saved_j0,0,damage_alpha,top1_mean,0.9974781126446194,0.9702008962631226,0.9726538196320152,-0.027277216381496827
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,crack_strip_mean,0.011913979947640532,0.007011450827121735,0.5885061799613232,-0.004902529120518797
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,domain_mean,0.005233573519053479,0.004790312144905329,0.9153042615080496,-0.0004432613741481503
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,max,0.237151637673378,0.43513134121894836,1.834823261133208,0.19797970354557037
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,p99,0.08369031079113486,0.03523160517215729,0.42097591512217564,-0.04845870561897757
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,p999,0.11918672919273376,0.11320821195840836,0.9498390695439112,-0.005978517234325409
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,right_band_mean,0.008561723991086437,0.008584534749388695,1.0026642716263694,2.2810758302257636e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,tip_2l0_integral,3.519760559041192e-05,7.023466605460271e-05,1.9954387486441731,3.5037060464190793e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,tip_2l0_mean,0.05640641590484166,0.055565398186445236,0.9850900344419111,-0.0008410177183964251
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,tip_4l0_integral,8.004831345588345e-05,0.00015681717195548117,1.9590315546361499,7.676885849959773e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,tip_4l0_mean,0.03196817662482374,0.031163984909653664,0.974843991741912,-0.0008041917151700786
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,tip_l0_integral,1.5004824929240027e-05,2.91997585009085e-05,1.9460246046594445,1.4194933571668474e-05
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,tip_l0_mean,0.08931442707534876,0.09012270718812943,1.0090498269904231,0.0008082801127806682
FEM_c1_mixed_to_PIDL_saved_j0,0,alpha_bar,top1_mean,0.09729691925976011,0.06425769627094269,0.6604288888057145,-0.033039222988817424
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,crack_strip_mean,0.9999998335624969,0.9999998335624969,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,domain_mean,1.0000000133914,1.0000000133914,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,max,1.0,1.0,1.0,0.0
FEM_c1_mixed_to_PIDL_saved_j0,0,fatigue_f,p99,1.0,1.0,1.0,0.0
