family,cycle,ensemble_size,active_log_ensemble_std,raw_log_ensemble_std,damage_ensemble_std,support_fraction_mean,support_fraction_std,support_area_ratio_to_origin,support_log_distance_from_origin,top1_centroid_spread,top1_centroid_step,active_log_step_change,raw_log_step_change,damage_step_change,audit_only_fem_absolute_p99_iou,audit_only_fem_support_area_ratio,audit_only_fem_active_log_mae,audit_only_support_gate_failed,z_active_log_ensemble_std,z_raw_log_ensemble_std,z_damage_ensemble_std,z_support_fraction_std,z_support_log_distance_from_origin,z_active_log_step_change,z_raw_log_step_change,z_damage_step_change,z_top1_centroid_step,trigger_risk_score,trigger_warn_signal_count,trigger_hard_signal_count,candidate_request_inspection,candidate_stop_recursive,trigger_status
diagonal_ssm,76,3,4.535141570383511e-18,0.0,0.0,0.010108778292164035,0.0,1.0,0.0,1.1102230246251565e-16,0.0,0.0,0.0,0.0,1.0,1.0,4.535141570383511e-18,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,diagnostic_only_single_trajectory
diagonal_ssm,77,3,0.007741072133832025,0.0077900084457494,0.0004872421411308187,0.008982484659374233,6.908598815149492e-05,0.9006551411627239,0.10463284584848215,0.004380924010288007,0.013130295314138916,0.02238458041765306,0.020690755201952512,0.002475719369911255,0.8698556831177363,0.9148306910818803,0.02479921499732906,False,0.0,0.0,0.0,0.0,0.0,0.46555260803977316,0.43813555777489216,0.4555900031960852,0.2495472954534528,0.46555260803977316,0,0,False,False,diagnostic_only_single_trajectory
diagonal_ssm,78,3,0.014892739646139236,0.015005513413922072,0.0009693174249466893,0.008320652843602573,0.00027585490398842455,0.8213434378889257,0.1968139404480093,0.007047672054468113,0.012957413227536121,0.02187537355708578,0.020247204196746332,0.002420579772594617,0.836708682763967,0.8629775150323975,0.03292508734364857,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,False,False,diagnostic_only_single_trajectory
diagonal_ssm,79,3,0.02158681418446403,0.021772474797996193,0.0014451837572839778,0.007969638360537908,0.0005202080027515983,0.7943618531131156,0.23021618715099254,0.0062993729715293675,0.012968482823403175,0.02145229943414019,0.019897106897600214,0.0023633311406466265,0.7702774109163579,0.8261056938107437,0.05028049257917122,False,0.6744907594765952,0.6744907594765952,0.6744907594765952,0.7970922829387695,0.6744907594765952,0.0,0.0,0.0,0.0,0.7970922829387695,0,0,False,False,diagnostic_only_single_trajectory
diagonal_ssm,80,3,0.027837728021757185,0.028097934152451123,0.0019145435368678758,0.008153725090626897,0.00055083144377384,0.8147026148265751,0.20493212211309353,0.0058985223478661905,0.007227072937397349,0.02091489616270186,0.019436072800544223,0.002304847342186044,0.5978612969861364,0.7916628546954276,0.0772982556767303,False,1.3043289241698923,1.304975203213138,1.3397591608875261,0.8969875109486146,0.16393024593649846,0.0,0.0,0.0,0.0,1.3397591608875261,0,0,False,False,diagnostic_only_single_trajectory
diagonal_ssm,81,3,0.03377760926440761,0.034112549220063904,0.0023773258071117364,0.008195450963791703,0.0006338720489806377,0.8293217673381594,0.1871470600240848,0.009497798142418292,0.007494661622967207,0.020388858826068362,0.0189758468037112,0.0022467606918005387,0.46710795132078253,0.7937952183524883,0.09266165656260603,True,1.9028276393572905,1.9044765236227836,1.9957046306919368,1.1678702045421818,0.0,0.0,0.0,0.0,0.0,1.9957046306919368,0,0,False,False,diagnostic_only_single_trajectory
diagonal_ssm,82,3,0.03955019150616019,0.0399544256219946,0.002833363829833494,0.007935892807413322,0.00045969416640990004,0.8183156586702385,0.20050712602118123,0.008977945884031254,0.013359956168249683,0.019945938206781845,0.01859349100396614,0.002189148594923593,0.41683431144721905,0.8020805034526947,0.102250431015108,True,2.4844694119562516,2.48676027366457,2.6420908349544066,0.5996930594251907,0.07457640691918689,0.0,0.0,0.0,0.6037303671946062,2.6420908349544066,0,0,False,False,diagnostic_only_single_trajectory
diagonal_ssm,83,3,0.045177632556001,0.04566643831520818,0.0032815655398270895,0.007735199517743867,0.00023768560502581557,0.7875414875942138,0.23883922701071233,0.007176134232778335,0.008025555047939828,0.019506902577851745,0.01822816205444288,0.0021326051353078124,0.30556994443830077,0.7792063079169214,0.1362755993715174,True,3.0514868489277207,3.0560999759204175,3.2773698854546987,0.0,0.8486155947218813,0.0,0.0,0.0,0.0,3.2773698854546987,3,0,True,False,diagnostic_only_single_trajectory
diagonal_ssm,84,3,0.05064824703390047,0.05124238609184308,0.0037210066930056236,0.007581891998340084,0.0002166240231149714,0.7645803879922217,0.26842810807204387,0.006292390930986686,0.005555810603620722,0.01903915006397238,0.01781958634391238,0.0020775086099816776,0.20784700240076454,0.7799253337871827,0.2021027896559085,True,3.602702538695865,3.611877530601837,3.9002317628580703,0.0,1.44610315406434,0.0,0.0,0.0,0.0,3.9002317628580703,3,0,True,True,diagnostic_only_single_trajectory
diagonal_ssm,85,3,0.05601082784180456,0.05669338334442044,0.004151020179933516,0.007583198081239841,0.0004040823379161287,0.742441639345334,0.297811011602745,0.009300185648620346,0.006064982621327366,0.018579838113820784,0.017414405481437623,0.0020235282807504673,0.24576819080127868,1.0408682839316672,0.26350839662192527,True,4.143032823512653,4.1552007547373595,4.509730909306607,0.4182844357700357,2.039431414114586,0.0,0.0,0.0,0.0,4.509730909306607,3,0,True,True,diagnostic_only_single_trajectory
diagonal_ssm,86,3,0.06126747290141238,0.06205388802388744,0.004570847951777752,0.008304957402627806,0.0007494305899185295,0.7979543145205853,0.2257039331453745,0.010139343350546158,0.005928921451837844,0.018144607155114068,0.017045121015481585,0.0019704559858914204,0.3632419674771452,2.098174186620764,0.49842993752559117,True,4.6726890886550265,4.689504213442,5.1047928698570715,1.5448280646040708,0.5833749235191059,0.0,0.0,0.0,0.0,5.1047928698570715,3,1,True,True,diagnostic_only_single_trajectory
diagonal_ssm,87,3,0.06651295291036961,0.06738770697990194,0.004979872799977639,0.008736315630477338,0.0006858725052513144,0.931129022152996,0.07135742682473943,0.010442505880183972,0.004569888760424346,0.01777366046421394,0.016714168744594485,0.0019182010494677684,0.010168451997854374,97.18734570841507,3.285044825086724,True,5.201220370284027,5.221147796782045,5.684542815923013,1.3374983476369569,0.0,0.0,0.0,0.0,0.0,5.684542815923013,3,3,True,True,diagnostic_only_single_trajectory
