du_times_1e-3_mm,Carrara_digitized_Nf_est,FEM_AMOR_Nf,FEM_MIEHE_Nf,paper_over_FEM_AMOR,paper_over_FEM_MIEHE
1.5,9000.0,1111,1132,8.1008100810081,7.950530035335689
2.0,3787.12536618343,425,435,8.910883214549246,8.70603532455961
2.5,1927.364230451438,195,200,9.883919130520194,9.636821152257191
3.0,1046.4959062570417,98,102,10.6785296556841,10.259763786833743
4.0,361.1357319912867,26,,13.88983584581872,
5.0,141.0200555847667,1,,141.0200555847667,
