mode,mode_label,saved_index,fem_cycle,field,metric,FEM_nstep2_projected,PIDL,PIDL_over_FEM
current_active,current active,0,1,alpha_bar,max,0.2424047440290451,0.43513134121894836,1.7950611608773244
current_active,current active,0,1,alpha_bar,p999,0.11238760501146317,0.11320821195840836,1.0073015787360313
current_active,current active,0,1,alpha_bar,p99,0.03599074773490292,0.03523160517215729,0.9789072856074775
current_active,current active,0,1,alpha_bar,domain_mean,0.004831751804360173,0.004790312144905329,0.9914234710033225
current_active,current active,0,1,alpha_bar,tip_2l0_mean,0.056241058275375615,0.055565398186445236,0.987986355348754
current_active,current active,0,1,alpha_bar,tip_2l0_integral,7.108870208417807e-05,7.023466605460271e-05,0.9879863325038053
current_active,current active,0,1,alpha_bar,right_band_mean,0.00856146456690375,0.008584534749388695,1.0026946537364796
current_active,current active,0,1,delta_alpha_bar,max,0.2424047440290451,0.43513134121894836,1.7950611608773244
current_active,current active,0,1,delta_alpha_bar,p999,0.11238760501146317,0.11320821195840836,1.0073015787360313
current_active,current active,0,1,delta_alpha_bar,p99,0.03599074773490292,0.03523160517215729,0.9789072856074775
current_active,current active,0,1,delta_alpha_bar,domain_mean,0.004831751804360173,0.004790312144905329,0.9914234710033225
current_active,current active,0,1,delta_alpha_bar,tip_2l0_mean,0.056241058275375615,0.055565398186445236,0.987986355348754
current_active,current active,0,1,delta_alpha_bar,tip_2l0_integral,7.108870208417807e-05,7.023466605460271e-05,0.9879863325038053
current_active,current active,0,1,delta_alpha_bar,right_band_mean,0.00856146456690375,0.008584534749388695,1.0026946537364796
current_active,current active,0,1,psi_raw,max,685.90625,2795.06884765625,4.075001281379562
current_active,current active,0,1,psi_raw,p999,651.2774658203125,2548.803466796875,3.913544688033303
current_active,current active,0,1,psi_raw,p99,156.2744430541712,0.05773429572582245,0.00036944169883113486
current_active,current active,0,1,psi_raw,domain_mean,0.9048060786237279,1.852667212486267,2.0475848430464803
current_active,current active,0,1,psi_raw,tip_2l0_mean,2.8790208175156233,6.587906360626221,2.2882454758736634
current_active,current active,0,1,psi_raw,tip_2l0_integral,0.0036390825398128247,0.008327114395797253,2.2882455412032385
current_active,current active,0,1,psi_raw,right_band_mean,0.008561442121806203,0.008584177121520042,1.002655510530864
current_active,current active,0,1,g_alpha,max,1.000005315816677,1.0002338886260986,1.0002285715943768
current_active,current active,0,1,g_alpha,p999,1.0000050650857428,1.0001966953277588,1.0001916292713973
current_active,current active,0,1,g_alpha,p99,1.0000045129327986,1.000152587890625,1.0001480742895772
current_active,current active,0,1,g_alpha,domain_mean,0.9885646693074747,0.989414632320404,1.0008597950536962
current_active,current active,0,1,g_alpha,tip_2l0_mean,0.5569526599001612,0.5491182208061218,0.9859333841848538
current_active,current active,0,1,g_alpha,tip_2l0_integral,0.0007039882059254989,0.0006940854946151376,0.9859334130500912
current_active,current active,0,1,g_alpha,right_band_mean,1.0000043109952526,1.000042200088501,1.0000378889299095
current_active,current active,0,1,psi_active,max,0.25432828021337345,0.43513134121894836,1.7109042724383101
current_active,current active,0,1,psi_active,p999,0.1080088495014654,0.11320821195840836,1.0481383005276101
current_active,current active,0,1,psi_active,p99,0.033885238633461316,0.03523160517215729,1.0397331284356501
current_active,current active,0,1,psi_active,domain_mean,0.0047911518129206635,0.004790312144905329,0.9998247461052955
current_active,current active,0,1,psi_active,tip_2l0_mean,0.05526669625117313,0.055565398186445236,1.005404736587014
current_active,current active,0,1,psi_active,tip_2l0_integral,6.985710840893967e-05,7.023466605460271e-05,1.0054047133393047
current_active,current active,0,1,psi_active,right_band_mean,0.008561478878424783,0.008584534749388695,1.0026929776141844
current_active,current active,0,1,history_driver,max,0.2424047440290451,0.43513134121894836,1.7950611608773244
current_active,current active,0,1,history_driver,p999,0.11238760501146317,0.11320821195840836,1.0073015787360313
current_active,current active,0,1,history_driver,p99,0.03599074773490292,0.03523160517215729,0.9789072856074775
current_active,current active,0,1,history_driver,domain_mean,0.004831751804360173,0.004790312144905329,0.9914234710033225
