mode,mode_label,n_saved,first_boundary_hit,confirmed_stop_index,alpha_bar_max_final,alpha_bar_mean_final,f_min_final,Kt_final,E_el_final
current_active,current active,86,82,85,11.393660545349121,0.3237529397010803,0.007069177459925413,281.4516831360267,8.532610081601888e-06
lagged_g,lagged g,84,80,83,2383.39697265625,1.362773060798645,1.75964501636372e-07,258.0756503896603,8.376662663067691e-06
raw,raw driver,85,81,84,232303.171875,1356.553955078125,1.8530531276095275e-11,211.14861582095736,8.306791642098688e-06
