frame,expected_abs_shift_px_each_axis,measured_abs_shift_px_mean_axes,absolute_error_px,registration_error
1,0.05,0.05000000074505806,7.450580569168253e-10,0.011529022827744484
2,0.1,0.0950000025331974,0.004999997466802603,0.02182021737098694
5,0.25,0.23999999463558197,0.01000000536441803,0.05036935210227966
10,0.5,0.49000000953674316,0.009999990463256836,0.09041909128427505
20,1.0,0.9800000190734863,0.019999980926513672,0.15283651649951935
