cycle,umax,eps,PIDL_E_el_minus,PIDL_E_el,PIDL_E_el_plus,PIDL_reaction_dEel_dU,PIDL_reaction_dEtot_dU,FEM_E_el,FEM_effective_reaction_2Eel_over_U,PIDL_over_FEM_effective_reaction,FEM_W_ext
1,0.12,0.0001,0.0045686461962759495,0.004576270468533039,0.004583899863064289,0.07626833394169807,0.07626600563526154,0.004607784,0.0767964,0.9931238175448077,5.18760019999759e-07
5,0.12,0.0001,0.004563537891954184,0.004571153316646814,0.00457877479493618,0.07618451490998268,0.07618218660354614,0.004596246,0.07660410000000001,0.9945226810312069,5.34424827999987e-06
40,0.12,0.0001,0.003781914943829179,0.0037882253527641296,0.0037945411168038845,0.06313086487352848,0.06312970072031021,0.00359613,0.0599355,1.053313393123082,2.66580099900003e-05
70,0.12,0.0001,0.002460064133629203,0.002464168705046177,0.0024682774674147367,0.041066668927669525,0.041066668927669525,0.001911456,0.0318576,1.289069764441437,6.18786235929997e-05
80,0.12,0.0001,0.0018008857732638717,0.0018038908019661903,0.001806898508220911,0.03006367478519678,0.030063092708587646,0.001034976,0.0172496,1.7428621408726452,8.41825403479996e-05
82,0.12,0.0001,0.0016419922467321157,0.0016447319649159908,0.001647474360652268,0.027410569600760937,0.02741347998380661,7.18086e-05,0.00119681,22.903025209315544,0.000580882162324
93,0.12,0.0001,2.8714375730487518e-05,2.876227517845109e-05,2.881023465306498e-05,0.00047929461288731545,0.00047963112592697144,,,,
103,0.12,0.0001,2.277722887811251e-05,2.2815263946540654e-05,2.285326991113834e-05,0.0003802051651291549,0.0003795139491558075,,,,
