method,evidence,component,field,metric,cycle,score,note
Exp18 fourier_s2_all,exp18_summary_partial,partial_fatigue,f,f_min_or_f_slot_final_vs_f_min,79,4.174194977647421,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 fourier_s2_all,exp18_summary_partial,partial_morphology,damage,x_tip_alpha_gt_0p5_vs_FEM,79,0.0450000000000117,partial only; x-tip distance normalized by l0
Exp18 mlp_s2_all,exp18_summary_partial,partial_damage,alpha,alpha_snapshot_max_vs_d_max,79,0.03943967685142682,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 mlp_s2_all,exp18_summary_partial,partial_damage,alpha,alpha_snapshot_mean_vs_d_mean_unweighted,79,0.5856692829035012,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 mlp_s2_all,exp18_summary_partial,partial_morphology,frac,frac_alpha_gt_0p5_vs_area_d_gt_0p5,79,3.335802093673794,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 mlp_s2_all,exp18_summary_partial,partial_morphology,frac,frac_alpha_gt_0p9_vs_area_d_gt_0p9,79,3.3380885470712363,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 mlp_s2_all,exp18_summary_partial,partial_history,alpha,alpha_bar_max_final_vs_alpha_bar_max,79,3.2147560845928123,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 mlp_s2_all,exp18_summary_partial,partial_history,alpha,alpha_bar_mean_final_vs_alpha_bar_mean_unweighted,79,0.2469823825736371,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 mlp_s2_all,exp18_summary_partial,partial_fatigue,f,f_min_or_f_slot_final_vs_f_min,79,3.5995550123372757,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 mlp_s2_all,exp18_summary_partial,partial_morphology,damage,x_tip_alpha_gt_0p5_vs_FEM,79,0.0450000000000117,partial only; x-tip distance normalized by l0
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_damage,alpha,alpha_snapshot_max_vs_d_max,79,0.037827992969316666,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_damage,alpha,alpha_snapshot_mean_vs_d_mean_unweighted,79,0.9697323068300433,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_morphology,frac,frac_alpha_gt_0p5_vs_area_d_gt_0p5,79,3.6256756176913245,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_morphology,frac,frac_alpha_gt_0p9_vs_area_d_gt_0p9,79,3.7816025322612212,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_history,alpha,alpha_bar_max_final_vs_alpha_bar_max,79,3.2578821988996016,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_history,alpha,alpha_bar_mean_final_vs_alpha_bar_mean_unweighted,79,0.25164782197798397,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_fatigue,f,f_min_or_f_slot_final_vs_f_min,79,3.6819293680284275,partial only: Exp18 artifact is not projected to the FEM/PIDL common probes
Exp18 siren_s2_all_adapthist_wr010,exp18_summary_partial,partial_morphology,damage,x_tip_alpha_gt_0p5_vs_FEM,79,0.0450000000000117,partial only; x-tip distance normalized by l0
