cycle,FEM_E_el,FEM_W_ext,FEM_psi_peak,FEM_psi_tip,FEM_Kt,FEM_alpha_bar_mean,FEM_f_mean,FEM_d_max,PIDL_index_used,PIDL_E_el,PIDL_alpha_bar_max,PIDL_alpha_bar_mean,PIDL_f_min_or_f_mean_slot,PIDL_psi_peak,PIDL_Kt,ratio_PIDL_over_FEM_E_el,ratio_PIDL_over_FEM_psi_peak,ratio_PIDL_over_FEM_Kt
1,0.004607784,5.18760019999759e-07,1.26791,0.814633,11.3101,0.00992027,0.999966,0.0782536,1,0.004808119032531977,0.7367163896560669,0.012450366280972958,0.6538223576407828,0.005222424399107695,7.584731662460618,1.0434775224993134,0.004118923582200389,0.6706157914130394
5,0.004596246,5.34424827999987e-06,9.1371,3.27879,22.7124,0.0496048,0.999279,1.03155,5,0.004785931669175625,2.1495938301086426,0.037116359919309616,0.14244309203349806,0.0052018905989825726,7.5033951765157685,1.0412696946977218,0.0005693152749759303,0.33036557900159247
40,0.00359613,2.66580099900003e-05,12644.5,8284.07,1259.0,0.385086,0.941198,1.05322,40,0.0033862898126244545,7.20160436630249,0.22925758361816406,0.016859224349543657,0.003414303995668888,9.555183575581882,0.941648331018193,2.700228554445718e-07,0.007589502442876793
70,0.001911456,6.18786235929997e-05,24040.0,15524.6,2341.48,0.612785,0.79156,1.07926,70,0.0015053902752697468,8.69021987915039,0.34523805975914,0.011839904398724715,0.0011479596141725779,16.066563780990624,0.7875620863204524,4.7752063817494916e-08,0.006861713010997584
80,0.001034976,8.41825403479996e-05,26095.7,18090.2,3920.12,0.664059,0.741386,1.08401,80,1.3518980267690495e-05,9.090532302856445,0.36962127685546875,0.01087212845732466,1.280052686070121e-07,591.0767462333345,0.013062119573488172,4.90522456216971e-12,0.15078026852069185
82,7.18086e-05,0.000580882162324,25954.0,22664.0,7015.84,0.670907,0.736348,1.08744,82,1.1376441761967726e-05,9.157472610473633,0.3698103725910187,0.010721931536448528,8.135643270179571e-08,664.6669199609923,0.1584272881238142,3.1346394660474575e-12,0.09473803849018682
