cycle,actual_pidl_cycle,fem_max,fem_p99,fem_p95,fem_top1pct_mean,fem_top5pct_mean,fem_pz_l0_int,fem_pz_2l0_int,fem_pz_l0_n_elems,fem_pz_2l0_n_elems,proj_max,proj_p99,proj_p95,proj_top1pct_mean,proj_top5pct_mean,proj_pz_l0_int,proj_pz_2l0_int,proj_pz_l0_n_elems,proj_pz_2l0_n_elems,pidl_max,pidl_p99,pidl_p95,pidl_top1pct_mean,pidl_top5pct_mean,pidl_pz_l0_int,pidl_pz_2l0_int,pidl_pz_l0_n_elems,pidl_pz_2l0_n_elems,avg_n_fem_per_pidl,max_n_fem_per_pidl
1,1,0.5149576831057352,0.0211541387290575,0.010075033367588169,0.04069110016411832,0.0189307356630631,1.5934264818698525e-05,3.215404325503011e-05,358,1547,0.47452641688502784,0.016192883743159733,0.0076092714208916504,0.030979266459931293,0.014568087183267507,1.584561035136544e-05,3.207795848985907e-05,183,735,2168.584716796875,3.3957080841064453,0.010769106447696686,679.8226318359375,135.92068481445312,0.0004631162155419588,0.0014533945359289646,183,735,2.1793254268651694,35
150,150,3673.8013817818637,0.028256805107289375,0.010758275364993275,120.32517766874176,24.071111119468902,0.014836286227113438,0.030952710251512413,358,1547,1859.5661702834718,0.018540544552272553,0.00805241545708261,56.33173397364474,11.265287734328028,0.015433517098542102,0.028231724130644308,183,735,2340.49267578125,125.88248443603516,0.011543156579136848,998.3041381835938,200.2440185546875,0.024945348501205444,0.05131971463561058,183,735,2.1793254268651694,35
350,350,11280.689174519055,0.3279563205628171,0.01286295651913895,1672.245787064015,334.3901260136128,0.046493218288780044,0.09481284813292798,358,1547,6227.5333005165785,0.04458106611086716,0.00920785504485281,828.2803782371028,165.520230246148,0.05157970273185974,0.08917806720289839,183,735,2134.5830078125,1187.231689453125,0.0021365380380302668,1358.0067138671875,397.913330078125,0.0451686829328537,0.09173130989074707,183,735,2.1793254268651694,35
396,350,11953.770148880256,13.214151582370107,0.004112191554968405,3688.357439511766,737.6324351480544,0.04892165128813737,0.10032236390382691,358,1547,7717.650806996804,0.1488050657067625,0.0013559444459232523,1829.4215297314727,365.56726493311993,0.05434381605163976,0.09435419155303285,183,735,2134.5830078125,1187.231689453125,0.0021365380380302668,1358.0067138671875,397.913330078125,0.0451686829328537,0.09173130989074707,183,735,2.1793254268651694,35
