cycle,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
1,damage_alpha,crack_strip_mean,4.954131759031276e-05,0.1997956484556198,4032.909461711361,0.0002479599429379828
1,damage_alpha,domain_mean,-2.0920767551479e-06,0.007951131090521812,-3800.592435701388,-0.0002631168737290435
1,damage_alpha,max,0.05230533701502501,1.0006927251815796,19.131751792252572,0.05226912887323529
1,damage_alpha,p99,-3.6454625685383337e-06,0.9637816548347473,-264378.42570447247,-3.7824568980443967e-06
1,damage_alpha,right_band_mean,-3.973383174183513e-06,-4.290498691261746e-05,10.798099511616813,0.09260888908498942
1,damage_alpha,tip_2l0_mean,0.0009454641200877852,0.3132881820201874,331.3591445343256,0.0030178735565162887
1,damage_alpha,tip_l0_mean,0.0038203321733453473,0.5735580921173096,150.1330423880556,0.006660758911520991
1,damage_alpha,top1_mean,0.0019302178573420597,0.9923562407493591,514.1161848517189,0.0019450856235705154
1,psi_plus,crack_strip_mean,0.010643430609263238,0.006636729463934898,0.6235517200778093,1.603716207975845
1,psi_plus,domain_mean,0.00586773356233984,0.004571886733174324,0.7791571796165914,1.2834380868980522
1,psi_plus,max,1.1890506329586406,0.29352447390556335,0.2468561605111842,4.050942046288099
1,psi_plus,p99,0.04865400718112616,0.038865868002176285,0.7988215206506796,1.2518440905115458
1,psi_plus,right_band_mean,0.008168085122540567,0.008005045354366302,0.9800394136779572,1.020367126100708
1,psi_plus,tip_2l0_mean,0.057991585613608856,0.04972933977842331,0.857526816213719,1.166144289709038
1,psi_plus,tip_l0_mean,0.1165798847980624,0.08406653255224228,0.7211066703133292,1.386757384404014
1,psi_plus,top1_mean,0.09582283136995888,0.07794995605945587,0.8134799916160036,1.229286534772009
1,alpha_bar,crack_strip_mean,0.010596741570895353,0.013341535814106464,1.259022476376122,0.7942669958349963
1,alpha_bar,domain_mean,0.005866115952656406,0.009149218909442425,1.5596723595787945,0.6411603013020377
1,alpha_bar,max,1.0595311610492957,0.5852558612823486,0.5523724858670004,1.810372575727421
1,alpha_bar,p99,0.04855226483491007,0.0780039131641388,1.6065967968615213,0.6224337070467805
1,alpha_bar,right_band_mean,0.0081681457750472,0.01600966416299343,1.9600120521723816,0.5102009443725863
1,alpha_bar,tip_2l0_mean,0.05716232320870662,0.09979580342769623,1.745831831630243,0.5727928554643252
1,alpha_bar,tip_l0_mean,0.11323820324839096,0.1687363237142563,1.4901006804578907,0.6710955931465729
1,alpha_bar,top1_mean,0.09413830612461395,0.15760642290115356,1.674200751950272,0.5972999348107464
1,fatigue_f,crack_strip_mean,0.9998982535516584,0.9999894468636786,1.00009120259156,0.9999088057255942
1,fatigue_f,domain_mean,0.9999963134253985,0.9999995757572675,1.000003262343896,0.999996737666747
1,fatigue_f,max,1.0,1.0,1.0,1.0
1,fatigue_f,p99,1.0,1.0,1.0,1.0
1,fatigue_f,right_band_mean,0.9999999388283364,1.0000000691391773,1.0000001303108488,0.9999998696891681
1,fatigue_f,tip_2l0_mean,0.9981952861580432,0.999692823835598,1.001500245190817,0.9985020021732185
1,fatigue_f,tip_l0_mean,0.9927290963135186,0.9987656931771401,1.0060808098463503,0.9939559429154813
1,fatigue_f,top1_mean,1.0,1.0,1.0,1.0
40,damage_alpha,crack_strip_mean,0.06576547915047357,0.25065287947654724,3.811313818653176,0.26237671511221167
40,damage_alpha,domain_mean,0.0023103829968230496,0.00921686738729477,3.9893244539838872,0.2506690071301077
40,damage_alpha,max,1.012284722535133,1.0010954141616821,0.9889464810400094,1.0111770648583192
40,damage_alpha,p99,0.7347778236306921,0.980470597743988,1.3343769588734675,0.7494134197612634
40,damage_alpha,right_band_mean,-2.6038714270325714e-05,-0.0008748294785618782,33.59726096610127,0.029764331116425624
40,damage_alpha,tip_2l0_mean,0.13851242697029095,0.45797601342201233,3.3063893503233612,0.3024447196160371
40,damage_alpha,tip_l0_mean,0.23167037842602647,0.706849992275238,3.0511021610859017,0.32775041516279324
40,damage_alpha,top1_mean,0.8847448522263361,0.9983992576599121,1.1284600923617476,0.8861633714552596
40,psi_plus,crack_strip_mean,15.456881107561092,0.005767435301095247,0.00037313059866094027,2680.0267884454292
40,psi_plus,domain_mean,0.5534172959642776,0.003782167797908187,0.006834205987939201,146.3227771835923
40,psi_plus,max,7369.896150691813,0.3234969675540924,4.389437258538924e-05,22781.963634510674
40,psi_plus,p99,0.09180401902098344,0.03981878608465195,0.43373685062252726,2.305545398240281
40,psi_plus,right_band_mean,0.008342872767909994,0.008076704107224941,0.9680962819295479,1.032955108563028
40,psi_plus,tip_2l0_mean,82.0894952814401,0.0020185273606330156,2.4589350363436717e-05,40668.01217680627
40,psi_plus,tip_l0_mean,193.60854770371662,0.0034004480112344027,1.7563522125263717e-05,56936.18813287913
40,psi_plus,top1_mean,559.6302967912656,0.07220984250307083,0.00012903133178653498,7750.055634970627
40,alpha_bar,crack_strip_mean,0.4151656202550465,0.2551264762878418,0.6145173488380644,1.6272933577722581
40,alpha_bar,domain_mean,0.21721726758043475,0.17513084411621094,0.8062473396658516,1.2403141701087026
40,alpha_bar,max,96.29668913911064,10.263578414916992,0.10658287950160135,9.382369895391836
40,alpha_bar,p99,1.1519404106934565,1.1754993200302124,1.0204515000238368,0.9799583811446608
40,alpha_bar,right_band_mean,0.32934790970734246,0.3292878568172455,0.99981766123808,1.0001823720154075
40,alpha_bar,tip_2l0_mean,0.787987847925464,0.6709399819374084,0.8514598083000804,1.1744535564121066
40,alpha_bar,tip_l0_mean,1.6134510176558519,0.9683350920677185,0.600163922840739,1.6662114498097922
40,alpha_bar,top1_mean,1.8647122334672674,1.8016350269317627,0.9661732221179146,1.0350110902555703
40,fatigue_f,crack_strip_mean,0.897461003021017,0.9352354571632335,1.0420903571465066,0.9596096856113706
40,fatigue_f,domain_mean,0.993869190421463,0.994898878223134,1.0010360395629472,0.9989650327041176
40,fatigue_f,max,1.0,1.0,1.0,1.0
40,fatigue_f,p99,1.0,1.0,1.0,1.0
40,fatigue_f,right_band_mean,0.9999999388283364,1.0000000691391773,1.0000001303108488,0.9999998696891681
40,fatigue_f,tip_2l0_mean,0.768883950832991,0.7536252604021131,0.9801547549349326,1.0202470527895207
40,fatigue_f,tip_l0_mean,0.634763865304361,0.6636991257992765,1.0455842905944897,0.9564030456420002
40,fatigue_f,top1_mean,1.0,1.0,1.0,1.0
70,damage_alpha,crack_strip_mean,0.19055646668036838,0.324006050825119,1.7003151688816391,0.5881262593556331
70,damage_alpha,domain_mean,0.006744034263032469,0.011611506342887878,1.7217448622016254,0.5808061472716013
70,damage_alpha,max,1.0260706379278528,1.0012985467910767,0.9758573238322039,1.0247399651344395
70,damage_alpha,p99,0.9490728213507926,0.9972965717315674,1.0508114333230394,0.9516455267693884
70,damage_alpha,right_band_mean,-2.1667132680099188e-05,-0.001481167390011251,68.36010153626246,0.01462841595502221
70,damage_alpha,tip_2l0_mean,0.15359864161936054,0.47456634044647217,3.089651936001593,0.32366105332050077
70,damage_alpha,tip_l0_mean,0.2657672702635125,0.7203211188316345,2.7103454767677926,0.3689566546300749
70,damage_alpha,top1_mean,0.982213952475863,1.000538945198059,1.0186568238783458,0.9816848781247904
70,psi_plus,crack_strip_mean,77.9471257625562,0.004622455686330795,5.930245202897917e-05,16862.709142470747
70,psi_plus,domain_mean,2.77093805908153,0.0024545176420360804,0.0008858074737512061,1128.9134824808068
70,psi_plus,max,12769.637900303296,0.3495217561721802,2.7371313023987826e-05,36534.60099351516
70,psi_plus,p99,16.508791793426177,0.03979699686169624,0.002410654720204507,414.8250645845977
70,psi_plus,right_band_mean,0.008351310278759787,0.00815427303314209,0.9764064273699865,1.024163680173188
70,psi_plus,tip_2l0_mean,131.35248905230156,0.0008769878768362105,6.676598846079071e-06,149776.85840557344
70,psi_plus,tip_l0_mean,290.53833202670313,0.0012748485896736383,4.387884313855248e-06,227900.2654747267
70,psi_plus,top1_mean,2833.3711491411464,0.07209381461143494,2.544453614320456e-05,39301.16840691823
70,alpha_bar,crack_strip_mean,0.6991394184387962,0.41188207268714905,0.5891272353186675,1.6974261925933292
70,alpha_bar,domain_mean,0.3318712431122821,0.27005788683891296,0.813742957378034,1.2288892836899086
70,alpha_bar,max,207.99174061364437,13.313019752502441,0.06400744430151233,15.623182754952968
70,alpha_bar,p99,1.2863975551363867,1.303893804550171,1.0136009660030247,0.9865815380418804
70,alpha_bar,right_band_mean,0.5822987963692051,0.5730385780334473,0.9840971363954418,1.0161598515191368
70,alpha_bar,tip_2l0_mean,1.0509668052598962,0.7097180485725403,0.6753001569797747,1.480822993544706
70,alpha_bar,tip_l0_mean,2.529936535257448,1.0317460298538208,0.4078149848722706,2.452092338669714
70,alpha_bar,top1_mean,3.044033173670488,2.187527894973755,0.7186281391066572,1.3915402773444445
70,fatigue_f,crack_strip_mean,0.7298853080230748,0.8459257430073378,1.1589844783950556,0.8628243247785209
70,fatigue_f,domain_mean,0.9347927286557198,0.9436207669219133,1.009443845673563,0.9906445061664014
70,fatigue_f,max,1.0,1.0,1.0,1.0
70,fatigue_f,p99,1.0,1.0,1.0,1.0
70,fatigue_f,right_band_mean,0.8392792096011317,0.842834738259432,1.0042364074048613,0.9957814640321506
70,fatigue_f,tip_2l0_mean,0.7575351581076278,0.747385836233035,0.9866021771188198,1.0135797621289524
70,fatigue_f,tip_l0_mean,0.6209206942824617,0.6587577762556978,1.0609370605967012,0.9425629824238316
70,fatigue_f,top1_mean,1.0,1.0,1.0,1.0
82,damage_alpha,crack_strip_mean,0.290579215857746,0.3659445643424988,1.2593624883400063,0.7940525537791128
82,damage_alpha,domain_mean,0.010297267123263436,0.013096204027533531,1.271813566722648,0.7862787645652439
82,damage_alpha,max,1.0272507197033074,1.001320242881775,0.9747574021374044,1.0258962874323856
82,damage_alpha,p99,0.9796891485540506,0.9985927939414978,1.019295554529054,0.9810697158019401
82,damage_alpha,right_band_mean,0.0182073579828982,-0.0016831158427521586,-0.09244151975992755,-10.817649932595437
82,damage_alpha,tip_2l0_mean,0.1550106994503731,0.47908443212509155,3.090653960170479,0.3235561188302169
82,damage_alpha,tip_l0_mean,0.26895216488506546,0.7244419455528259,2.6935717206902217,0.37125426893914387
82,damage_alpha,top1_mean,0.9947086688410007,1.0007140636444092,1.006037340370629,0.9939988903708039
82,psi_plus,crack_strip_mean,197.7201902437207,0.0039764042012393475,2.0111270358064164e-05,49723.36317874732
82,psi_plus,domain_mean,7.023210883467614,0.0016317506087943912,0.00023233683793198826,4304.095764153978
82,psi_plus,max,16884.141759134458,0.3516775965690613,2.082887016621978e-05,48010.285340478906
82,psi_plus,p99,3255.1522568042947,0.04012971743941307,1.2328061569325768e-05,81115.75322499714
82,psi_plus,right_band_mean,11.519157829231238,0.008162870071828365,0.0007086342762935418,1411.1651573367642
