audit,cycle,field_metric,FEM_projected,baseline_PIDL,baseline_ratio,femAnchor_PIDL,femAnchor_ratio,femAnchor_over_baseline_PIDL
mesh_probe,40,psi_plus:tip_2l0_mean,82.0894952814401,0.0010290319332852,1.2535488612243344e-05,0.002018527360633,2.4589350363436717e-05,1.9615789319470593
mesh_probe,40,psi_plus:right_band_mean,0.0083428727679099,0.0084878830239176,1.0173813337493829,0.0080767041072249,0.968096281929548,0.9515569529488025
mesh_probe,40,alpha_bar:right_band_mean,0.3293479097073424,0.351724773645401,1.0679429359607673,0.3292878568172455,0.99981766123808,0.9362088811782824
mesh_probe,40,fatigue_f:right_band_mean,0.9999999388283364,0.9700122058560492,0.9700122651933132,1.0000000691391773,1.0000001303108488,1.030914933958654
mesh_probe,70,psi_plus:tip_2l0_mean,131.35248905230156,0.0003949305973947,3.0066472302435963e-06,0.0008769878768362,6.676598846079071e-06,2.2206126408578166
mesh_probe,70,psi_plus:right_band_mean,0.0083513102787597,0.0082994680851697,0.9937923281665336,0.008154273033142,0.9764064273699864,0.982505499082869
mesh_probe,70,alpha_bar:right_band_mean,0.5822987963692051,0.6018425822257996,1.0335631568851855,0.5730385780334473,0.9840971363954418,0.9521403020606715
mesh_probe,70,fatigue_f:right_band_mean,0.8392792096011317,0.8258491628443367,0.983998118143332,0.842834738259432,1.0042364074048613,1.0205674064699595
mesh_probe,82,psi_plus:tip_2l0_mean,142.68146574508438,0.0002696706214919,1.8900185814867075e-06,0.0006625466048717,4.643536575769833e-06,2.4568735044488363
mesh_probe,82,psi_plus:right_band_mean,11.519157829231238,3.8505550037370995e-05,3.3427400343155786e-06,0.0081628700718283,0.0007086342762935,211.99203917113107
mesh_probe,82,alpha_bar:right_band_mean,0.6757047456844328,0.6833617687225342,1.0113319065568285,0.6707879900932312,0.9927235147857052,0.9816001140174871
mesh_probe,82,fatigue_f:right_band_mean,0.7286155084850381,0.7440453259314529,1.0211768995673685,0.741512987250656,1.0177013508708246,0.9965965263236796
reaction,1,dEel_dU / FEM_proxy,0.0767964,0.0801333226263523,1.0434515501553758,0.076268333941698,0.9931238175448076,0.9517680216172233
reaction,40,dEel_dU / FEM_proxy,0.0599355,0.0564346555620431,0.9415898017375876,0.0631308648735284,1.053313393123082,1.1186542071497827
reaction,70,dEel_dU / FEM_proxy,0.0318576,0.0250886660069227,0.787525300302682,0.0410666689276695,1.289069764441437,1.6368613985429914
reaction,80,dEel_dU / FEM_proxy,0.0172496,0.0002253909769933,0.013066446583884,0.0300636747851967,1.7428621408726452,133.38455330485735
reaction,82,dEel_dU / FEM_proxy,0.00119681,0.000189579623111,0.158404110185458,0.0274105696007609,22.903025209315544,144.58605387516698
v7_global,40,both_rms_t_over_ref,,0.0267180321957368,,0.0061878749731964,,0.23159920340928974
v7_global,40,abs_boundary_work/Eel,,0.1511705043759932,,0.0712100052362895,,0.4710575355307082
v7_global,70,both_rms_t_over_ref,,0.019742556221089,,0.008014138286932,,0.4059321496763067
v7_global,70,abs_boundary_work/Eel,,0.3619606169050922,,0.1155422763460949,,0.31921228705494953
v7_global,80,both_rms_t_over_ref,,0.0328756063435386,,0.0110203416672493,,0.3352133357508476
v7_global,80,abs_boundary_work/Eel,,2.525520695074533,,0.1864993290611361,,0.07384589222525938
v7_global,82,both_rms_t_over_ref,,0.0306079721848983,,0.0125061438844384,,0.40859106277575685
v7_global,82,abs_boundary_work/Eel,,2.5359919961876627,,0.2237320216772236,,0.08822268446176418
v7_global,90,both_rms_t_over_ref,,0.0318854005852106,,0.0233045312815174,,0.7308840677487594
v7_global,90,abs_boundary_work/Eel,,2.612878459657487,,0.5521844862192589,,0.21133186818480748
