archive,status,level,code,detail
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_psiHack_m1000_r0.02_cycle91_Nf81_real_fracture,FAIL,FAIL,resume_from_foreign,first x_tip=0.2327 > 0.05 (strong evidence the run inherited a non-fresh checkpoint)
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_spAlphaT_b0.5_r0.1_cycle86_Nf76_real_fracture,PASS,PASS,ok,
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_spAlphaT_b0.8_r0.03,WARN,WARN,no_x_tip_history,best_models/x_tip*_vs_cycle.npy missing — cannot verify fresh start
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_spAlphaT_b0.8_r0.03,WARN,WARN,no_checkpoint,no best_models/checkpoint_step_*.pt — incomplete or pre-checkpoint format
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_spAlphaT_b0.8_r0.03_cycle90_Nf80_real_fracture,PASS,PASS,ok,
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_tipw_b2.0_p1.0,WARN,WARN,no_x_tip_history,best_models/x_tip*_vs_cycle.npy missing — cannot verify fresh start
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_williams_std,WARN,WARN,no_x_tip_history,best_models/x_tip*_vs_cycle.npy missing — cannot verify fresh start
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_williams_std,WARN,WARN,no_checkpoint,no best_models/checkpoint_step_*.pt — incomplete or pre-checkpoint format
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_williams_std_v2_cycle12_failed,FAIL,FAIL,known_bad,name contains '_failed' (renamed/marked as invalid)
hl_8_Neurons_400_activation_TrainableReLU_coeff_1.0_Seed_1_PFFmodel_AT1_gradient_numerical_fatigue_on_carrara_asy_aT0.5_N300_R0.0_Umax0.12_williams_std_v3_cycle69_Kt15p6_fallback_false_stop,FAIL,FAIL,known_bad,name contains '_fallback_false_stop' (renamed/marked as invalid)
