cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
1,1,0,-1,damage_alpha,crack_strip_mean,0.21703000817748133,0.1986236572265625,0.9151898343206687,1.0926694795974046
1,1,0,-1,damage_alpha,domain_mean,0.004274232448982488,0.007923937402665615,1.853885463003297,0.5394076494779773
1,1,0,-1,damage_alpha,max,1.000079870223999,1.0007238388061523,1.000643917152346,0.9993564972101379
1,1,0,-1,damage_alpha,p99,0.9979155778884887,0.9634914994239807,0.9655040173464907,1.0357284713825585
1,1,0,-1,damage_alpha,p999,0.9999323940277098,1.0006064176559448,1.0006740691993385,0.9993263848638768
1,1,0,-1,damage_alpha,right_band_mean,-3.966301678226875e-06,-2.1399308025138453e-05,5.395279976460327,0.18534719316940218
1,1,0,-1,damage_alpha,tip_2l0_integral,0.0001695177505033132,0.00039550551446154714,2.333121536165129,0.4286103336235391
1,1,0,-1,damage_alpha,tip_2l0_mean,0.3118212349698559,0.3140885829925537,1.0072713073018167,0.9927811829354156
1,1,0,-1,damage_alpha,tip_4l0_integral,0.0003158236544777051,0.0007141324458643794,2.2611746642137347,0.4422480119852768
1,1,0,-1,damage_alpha,tip_4l0_mean,0.14607790628640072,0.14225727319717407,0.9738452365155351,1.0268572073916467
1,1,0,-1,damage_alpha,tip_l0_integral,7.669597190015169e-05,0.0001800211612135172,2.347204902075974,0.4260386466965687
1,1,0,-1,damage_alpha,tip_l0_mean,0.5729458450570166,0.5743619203567505,1.0024715691927095,0.9975345244008267
1,1,0,-1,damage_alpha,top1_mean,0.9992091074639324,0.9921857118606567,0.9929710452488753,1.0070787106882486
1,1,0,-1,psi_plus_raw,crack_strip_mean,22.470369214789454,49.69015121459961,2.2113633621068742,0.45220971692650774
1,1,0,-1,psi_plus_raw,domain_mean,0.44721847532746334,1.991434931755066,4.452935291407388,0.22457097050784705
1,1,0,-1,psi_plus_raw,max,684.29248046875,3881.93701171875,5.672920750290239,0.17627603910187495
1,1,0,-1,psi_plus_raw,p99,466.364837646481,1.2401738166809082,0.002659235252253298,376.047963094898
1,1,0,-1,psi_plus_raw,p999,661.7947705078144,3087.899658203125,4.66594750489444,0.21431874210994226
1,1,0,-1,psi_plus_raw,right_band_mean,0.009071614811447158,0.0086212158203125,0.9503507368317364,1.0522430943061964
1,1,0,-1,psi_plus_raw,tip_2l0_integral,0.0014174171474106378,0.0076635596342384815,5.406707297310749,0.1849554534785694
1,1,0,-1,psi_plus_raw,tip_2l0_mean,2.6072830960814164,6.08597469329834,2.334220899312844,0.4284084682363968
1,1,0,-1,psi_plus_raw,tip_4l0_integral,0.00480425965379388,0.02553591877222061,5.31526616219736,0.18813733301110827
1,1,0,-1,psi_plus_raw,tip_4l0_mean,2.222114086555793,5.086829662322998,2.289184742178303,0.43683673998649725
1,1,0,-1,psi_plus_raw,tip_l0_integral,0.000542525200218012,0.0020667773205786943,3.8095508185576756,0.26249813892195495
1,1,0,-1,psi_plus_raw,tip_l0_mean,4.052853775792902,6.594103813171387,1.627027319010865,0.6146178299009386
