cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
1,1,0,-1,damage_alpha,crack_strip_mean,0.21625153528421673,0.19601646065711975,0.9064280648897948,1.1032315069829417
1,1,0,-1,damage_alpha,domain_mean,0.008654876544287829,0.00782331358641386,0.9039197204467584,1.1062929344054517
1,1,0,-1,damage_alpha,max,1.000079870223999,0.9993865489959717,0.9993067341432719,1.000693746807703
1,1,0,-1,damage_alpha,p99,0.9866672110557566,0.933085024356842,0.9456937596602806,1.057424763339062
1,1,0,-1,damage_alpha,p999,0.9998491406440735,0.9987998604774475,0.9989505615157602,1.001050540962355
1,1,0,-1,damage_alpha,right_band_mean,-3.970308575254807e-06,-2.113208029186353e-05,5.322528436094495,0.18788063079542114
1,1,0,-1,damage_alpha,tip_2l0_integral,0.0001970158149315067,0.0004023523651994765,2.0422338447264035,0.4896598901160456
1,1,0,-1,damage_alpha,tip_2l0_mean,0.31573045411603595,0.3183167278766632,1.0081913978424037,0.9918751559873117
1,1,0,-1,damage_alpha,tip_4l0_integral,0.00036637857703005004,0.0007248965557664633,1.9785451475974478,0.5054218758739483
1,1,0,-1,damage_alpha,tip_4l0_mean,0.14631732458052654,0.14405733346939087,0.9845541796392547,1.015688136498902
1,1,0,-1,damage_alpha,tip_l0_integral,9.41657408184582e-05,0.0001878621696960181,1.9950161073781272,0.5012490858102451
1,1,0,-1,damage_alpha,tip_l0_mean,0.5605103179136093,0.5798214673995972,1.0344527992952384,0.966694662802681
1,1,0,-1,damage_alpha,top1_mean,0.9974781126446194,0.9702008962631226,0.9726538196320152,1.0281150187415402
1,1,0,-1,psi_plus_raw,crack_strip_mean,22.395444501365994,46.20393753051758,2.0630953552942164,0.48470857027226005
1,1,0,-1,psi_plus_raw,domain_mean,0.9005507647544769,1.8526675701141357,2.05726055945246,0.48608329917438853
1,1,0,-1,psi_plus_raw,max,684.29248046875,2795.072265625,4.0846163671276,0.2448210333895381
1,1,0,-1,psi_plus_raw,p99,151.601978302013,0.05773216858506203,0.00038081408456327147,2625.9532946288705
1,1,0,-1,psi_plus_raw,p999,649.9269409179688,2548.80126953125,3.9216735129202003,0.25499318000477017
