cycle,fem_cycle,pidl_saved_index,pidl_cycle_offset,field,metric,FEM_projected_to_PIDL,PIDL_native,PIDL_over_FEM_projected,FEM_projected_over_PIDL
1,1,0,-1,damage_alpha,crack_strip_mean,0.21703000817748133,0.19969822466373444,0.920141073304603,1.0867898727839536
1,1,0,-1,damage_alpha,domain_mean,0.004274232448982488,0.007953440770506859,1.8607880749209682,0.5374067114238531
1,1,0,-1,damage_alpha,max,1.000079870223999,1.0016812086105347,1.0016012104974945,0.9984013492788221
1,1,0,-1,damage_alpha,p99,0.9979155778884887,0.9661830067634583,0.9682011466419093,1.03284323042622
1,1,0,-1,damage_alpha,p999,0.9999323940277098,1.0008505582809448,1.000918226330819,0.999082616035293
1,1,0,-1,damage_alpha,right_band_mean,-3.966301678226875e-06,-3.4086617233697325e-05,8.594055621340345,0.11635949824630505
1,1,0,-1,damage_alpha,tip_2l0_integral,0.0001695177505033132,0.00039033027132973075,2.3025923254102043,0.43429311778925134
1,1,0,-1,damage_alpha,tip_2l0_mean,0.3118212349698559,0.3099786937236786,0.9940910334526915,1.0059440899761318
1,1,0,-1,damage_alpha,tip_4l0_integral,0.0003158236544777051,0.0007069822167977691,2.23853472269816,0.44672079010446436
1,1,0,-1,damage_alpha,tip_4l0_mean,0.14607790628640072,0.14083293080329895,0.964094669642797,1.0372425359124806
1,1,0,-1,damage_alpha,tip_l0_integral,7.669597190015169e-05,0.0001793121627997607,2.337960630229735,0.4277231990436627
1,1,0,-1,damage_alpha,tip_l0_mean,0.5729458450570166,0.5720998644828796,0.9985234545613071,1.0014787288490299
1,1,0,-1,damage_alpha,top1_mean,0.9992091074639324,0.9933561682701111,0.9941424280962805,1.0058920852165383
1,1,0,-1,psi_plus_raw,crack_strip_mean,22.470369214789454,51.304744720458984,2.2832177001654,0.43797838459624694
1,1,0,-1,psi_plus_raw,domain_mean,0.44721847532746334,2.0560076236724854,4.59732264452409,0.21751790712168276
1,1,0,-1,psi_plus_raw,max,684.29248046875,5298.3740234375,7.742849986906241,0.12915141087468793
1,1,0,-1,psi_plus_raw,p99,466.364837646481,0.2811819612979889,0.0006029227304463582,1658.5873272014076
1,1,0,-1,psi_plus_raw,p999,661.7947705078144,3112.929931640625,4.70376931091792,0.2125954599174113
1,1,0,-1,psi_plus_raw,right_band_mean,0.009071614811447158,0.008695765398442745,0.9585686318459927,1.0432221197080271
1,1,0,-1,psi_plus_raw,tip_2l0_integral,0.0014174171474106378,0.008966156281530857,6.325700445991067,0.15808526004954174
1,1,0,-1,psi_plus_raw,tip_2l0_mean,2.6072830960814164,7.120424747467041,2.7309749210465846,0.366169602032366
1,1,0,-1,psi_plus_raw,tip_4l0_integral,0.00480425965379388,0.02964554913341999,6.170680035998714,0.16205669296838718
1,1,0,-1,psi_plus_raw,tip_4l0_mean,2.222114086555793,5.90548038482666,2.6575954945589535,0.3762799876984127
1,1,0,-1,psi_plus_raw,tip_l0_integral,0.000542525200218012,0.002691353438422084,4.9607897243124786,0.2015808078095048
1,1,0,-1,psi_plus_raw,tip_l0_mean,4.052853775792902,8.58682918548584,2.1187118165411505,0.4719849071463266
1,1,0,-1,psi_plus_raw,top1_mean,582.9489106209047,1768.4888916015625,3.033694478848802,0.3296310841358918
1,1,0,-1,psi_plus_active,crack_strip_mean,0.007396034082917214,0.007387364283204079,0.9988277772092532,1.001173598509667
1,1,0,-1,psi_plus_active,domain_mean,0.004869010083024703,0.004823090508580208,0.9905690122506444,1.0095207780908952
1,1,0,-1,psi_plus_active,max,0.24880101566345167,0.34418785572052,1.3833860557309632,0.722864016054877
1,1,0,-1,psi_plus_active,p99,0.04066257861503373,0.04584876447916031,1.1275419818606671,0.8868849374014459
1,1,0,-1,psi_plus_active,p999,0.11658625720159828,0.16018058359622955,1.373923371767986,0.727842629762666
