method,cycle,pidl_saved_index,damage_tip2,alpha_tip2,alpha_p99,active_psi_tip2,active_psi_p99
baseline_geom2,1,0,1.007271307301817,1.0077865643604604,0.5023021125447483,1.0350376175557805,1.1104131462170583
baseline_geom2,20,19,1.03298808273071,1.0174199007205151,1.017112317022444,2.473989686498825,1.0400975293167314
baseline_geom2,40,39,1.0843693841763689,0.8695751956576052,0.4661216341433686,0.342126876460715,0.9974116658266824
baseline_geom2,69,68,1.1421697282914556,0.5173356726014317,0.2093108103435437,0.049672184462244,1.3630055911450232
femmesh_softHist0,1,0,1.0081913978424035,0.9850900344419112,0.4209759151221756,1.0130394714654345,1.0532095047212158
femmesh_softHist0,20,19,0.9960189068776149,0.9458222572231928,0.927593264736599,1.1496561665622604,1.0180819409297437
femmesh_softHist0,40,39,1.002248435099516,0.7915608149863774,0.4299074619058391,0.2448506793975528,0.99372565377609
femmesh_softHist0,69,68,1.0123774536694394,0.4660403315992714,0.1905580449042409,0.0287383941343292,1.3736090504882883
psiHack,1,0,1.007271307301817,1.0077865643604604,0.5023021125447483,1.0350376175557805,1.1104131462170583
psiHack,20,19,1.03298808273071,1.0174199007205151,1.017112317022444,2.473989686498825,1.0400975293167314
psiHack,40,39,1.0843693841763689,0.8695751956576052,0.4661216341433686,0.342126876460715,0.9974116658266824
psiHack,69,68,1.437061374680035,5.64953031461581,0.4789300421018326,0.0273196901939412,1.373786199844906
spAlphaT_b08,1,0,1.0137119170994662,1.0119242324058817,0.5016191406648888,1.0392871702164543,1.108903335816201
spAlphaT_b08,20,19,1.0285647302949343,0.5855953367763238,0.9339227579413248,1.421678966200305,1.0152080440717264
spAlphaT_b08,40,39,1.07524519778159,0.5066992477689959,0.441396401720092,0.2314109285026219,0.9800821890950984
spAlphaT_b08,69,68,1.1494827296928871,0.305148604233052,0.2003836591947383,0.0380714911916656,1.378280998197311
williams_v4,1,0,0.9940910334526916,1.002557160857394,0.5100504450987423,1.029666808364167,1.1275419818606671
williams_v4,20,19,0.6044037267920331,0.8898894361178096,0.9858597976671392,62.75831109142972,1.5820009315669494
williams_v4,40,39,0.6389849513585526,0.7760577189394684,0.4410628689469385,28.660107922895833,2.6186487984669244
williams_v4,69,68,0.3673149331272805,0.4635242447528648,0.1971079604618228,56.99777876285843,10.680357239877264
