case,field,metric,PIDL,FEM22_projected,PIDL_over_FEM
frozen_alpha_elastic,eps_xx,tip_2l0_mean,-0.035945410639065305,0.021920472389393573,-1.6398100369615132
frozen_alpha_elastic,eps_xx,domain_mean,-0.03435235030460645,-0.021898129985381615,1.5687344228725837
frozen_alpha_elastic,eps_xx,p99,0.0,0.013530538417398538,0.0
frozen_alpha_elastic,eps_xx,p999,0.0,0.06901426240801811,0.0
frozen_alpha_elastic,eps_xx,max,0.1284802258014679,1.0241675190627566,0.12544844804201916
frozen_alpha_elastic,eps_xx,min,-0.2120741605758667,-9.563449071720243,0.02217548909242212
frozen_alpha_elastic,eps_yy,tip_2l0_mean,0.4870523718433289,0.8097780953880537,0.6014639993564269
frozen_alpha_elastic,eps_yy,domain_mean,0.11999999391072876,0.11999999650767822,0.9999999783587539
frozen_alpha_elastic,eps_yy,p99,5.788076877593994,15.265393438747646,0.37916329512361663
frozen_alpha_elastic,eps_yy,p999,7.305147840023043,31.141319371235994,0.2345805504557562
frozen_alpha_elastic,eps_yy,max,7.348875522613525,31.8707004189491,0.23058406078343247
frozen_alpha_elastic,eps_yy,min,0.06148548051714897,-0.018021169429024066,-3.4118474252910183
frozen_alpha_elastic,eps_xy,tip_2l0_mean,6.951741384978896e-05,-3.2275779575800175e-06,-21.538570024784754
frozen_alpha_elastic,eps_xy,domain_mean,-6.629748789617737e-06,-1.405442170707595e-10,47171.97852601699
frozen_alpha_elastic,eps_xy,p99,0.04175427276641122,0.06976310908794418,0.5985150792774344
frozen_alpha_elastic,eps_xy,p999,0.08553841565549584,0.16058423812501585,0.532670059367244
frozen_alpha_elastic,eps_xy,max,0.44518887996673584,5.079905997263263,0.08763722797362311
frozen_alpha_elastic,eps_xy,min,-0.44519972801208496,-5.079906200990076,0.087639359940409
frozen_alpha_elastic,eps_trace,tip_2l0_mean,0.45110696277734413,0.8316985677774472,0.5423923765828284
frozen_alpha_elastic,eps_trace,domain_mean,0.08564764359224664,0.0981018665222966,0.8730480532985642
frozen_alpha_elastic,eps_trace,p99,5.668743133544907,15.19884645007414,0.3729719325848742
frozen_alpha_elastic,eps_trace,p999,7.255527997970582,31.106013573938952,0.23325161807456302
frozen_alpha_elastic,eps_trace,max,7.300233840942383,32.030867179855676,0.22791246331081305
frozen_alpha_elastic,eps_trace,min,0.020011499524116516,-0.019007595255970955,-1.0528159535504735
frozen_alpha_elastic,eps_eq,tip_2l0_mean,0.5120068051604719,0.8817975951126987,0.580639829364736
frozen_alpha_elastic,eps_eq,domain_mean,0.1279192950802034,0.13137322151499992,0.9737090527661136
frozen_alpha_elastic,eps_eq,p99,5.788546018600464,15.26583920748479,0.37918295482650954
frozen_alpha_elastic,eps_eq,p999,7.305327617645267,31.141321869303304,0.2345863045989159
frozen_alpha_elastic,eps_eq,max,7.349119186401367,34.033600800343166,0.21593716249757694
frozen_alpha_elastic,eps_eq,min,0.07145977765321732,0.0005361438915633318,133.2846998309523
frozen_alpha_elastic,psi_raw,tip_2l0_mean,0.7207849648791437,2.8790210039561908,0.2503576611246257
frozen_alpha_elastic,psi_raw,domain_mean,0.07046614155359862,0.9048060665071079,0.07787982879648946
frozen_alpha_elastic,psi_raw,p99,22.097362327575507,156.2744430541712,0.14140099875393985
frozen_alpha_elastic,psi_raw,p999,35.7093521308899,651.2774658203125,0.05482970623881851
frozen_alpha_elastic,psi_raw,max,36.14392852783203,685.90625,0.052695143874009066
frozen_alpha_elastic,psi_raw,min,0.002229230245575309,1.609998321328021e-07,13846.165030386546
frozen_alpha_elastic,psi_active,tip_2l0_mean,0.02817540603455545,0.05526433389245597,0.5098298314675176
frozen_alpha_elastic,psi_active,domain_mean,0.007187365054252385,0.004801877274287023,1.4967823298481855
frozen_alpha_elastic,psi_active,p99,0.11649143844842497,0.033885182105004706,3.4378283134922167
frozen_alpha_elastic,psi_active,p999,0.5692439172863961,0.10800871253013611,5.270351844325227
frozen_alpha_elastic,psi_active,max,0.5797017216682434,0.2543211281299591,2.279408423243599
frozen_alpha_elastic,psi_active,min,0.002140489174053073,1.6100027266929828e-07,13294.941297706575
coupled_resstiff_c1,eps_xx,tip_2l0_mean,0.02128442004323,0.0219204709698605,0.9709837016045388
